"campagne";"npp";"xl93";"yl93"
2008;"60561-10000-9-8T";696627;6914373
2008;"63555-18020-6-2T";675632;6551262
2008;"63556-18020-2-2T";675586;6491052
2008;"63565-10080-6-4T";701850;6548620
2008;"63565-13080-7-4T";731412;6538073
2008;"67592-12040-5-6T";1020407;6853789
2008;"69575-12040-9-6T";817750;6515454
2008;"71574-10000-7-8T";794881;6634256
2008;"72533-18020-8-2T";477826;6732491
2008;"74585-18080-5-4T";981921;6556123
2008;"80551-16080-3-4T";665813;6978888
2008;"81557-14020-9-2T";633662;6321964
2008;"82548-17060-0-0T";568386;6314449
2008;"83588-19060-6-0T";986617;6250861
2008;"84577-16060-5-0T";858144;6361814
2008;"89563-10080-3-4T";703551;6778620
2009;"01575-16080-5-0T";861410;6560944
2009;"01585-12020-6-8T";915164;6542558
2009;"02562-11060-0-6T";712932;6906138
2009;"02562-11060-2-6T";712675;6886152
2009;"05586-19020-8-8T";984146;6422544
2009;"07576-13040-8-2T";826851;6430206
2009;"11559-12000-2-4T";611052;6189849
2009;"19556-13000-6-4T";622949;6449803
2009;"21574-10040-4-2T";798504;6670177
2009;"23545-19040-6-2T";587812;6551780
2009;"23555-14020-5-8T";636258;6555189
2009;"30567-19000-5-4T";782406;6358513
2009;"32538-15060-2-6T";447964;6289340
2009;"32538-18040-1-2T";476069;6303033
2009;"33536-19000-9-4T";482997;6420748
2009;"39584-10000-9-4T";894216;6616877
2009;"57582-14060-2-6T";942242;6884751
2009;"63555-17040-9-2T";667854;6521085
2009;"63555-19060-8-6T";689386;6526471
2009;"67592-12000-6-4T";1016562;6845396
2009;"68593-11020-7-8T";1007504;6731568
2009;"68593-12000-5-4T";1015663;6756229
2009;"69575-11060-7-6T";809862;6535497
2009;"70583-11020-9-8T";907357;6712819
2009;"72543-11040-3-2T";509704;6782279
2009;"74585-17080-3-0T";972095;6580774
2009;"81558-16020-1-8T";654136;6295189
2009;"81558-17060-3-6T";667998;6277644
2009;"88583-12020-1-8T";917366;6792312
2010;"07566-19020-9-4T";784662;6418267
2010;"11558-15040-5-8T";645406;6255410
2010;"11568-11040-7-8T";705279;6235073
2010;"19556-14030-5-4T";636353;6459183
2010;"24546-15070-6-2T";550145;6451811
2010;"26576-16090-6-6T";861976;6445678
2010;"34568-13080-6-6T";729170;6246778
2010;"38586-10090-1-6T";901907;6495052
2010;"39584-10030-7-4T";897851;6637119
2010;"43566-13030-6-4T";725869;6448917
2010;"43576-10010-6-0T";793622;6451718
2010;"48567-11060-1-2T";708526;6400750
2010;"48567-13020-4-4T";724275;6368631
2010;"51562-16030-3-4T";759886;6877704
2010;"55572-15010-1-0T";847389;6900820
2010;"63555-18070-8-2T";680451;6530521
2010;"69575-12050-4-8T";818706;6564100
2010;"69575-12090-9-6T";822755;6515614
2010;"70583-15090-6-6T";953898;6744311
2010;"70583-16030-8-4T";958506;6726569
2010;"73586-16000-4-0T";953006;6470590
2010;"74585-19090-6-6T";992136;6544153
2010;"77553-18090-1-6T";685093;6796279
2010;"79535-12010-3-0T";415756;6584751
2010;"86535-19090-2-6T";493103;6588599
2010;"88583-16090-1-6T";964889;6794714
2010;"89563-10070-9-2T";702530;6720750
2011;"08571-11030-4-0T";810744;6971388
2011;"08571-15050-8-4T";851656;6926807
2011;"11559-17030-0-0T";662962;6213443
2011;"11568-10090-9-2T";698984;6221069
2011;"15556-17010-6-6T";663797;6447104
2011;"17536-13010-3-6T";424071;6479261
2011;"19556-10030-4-0T";595941;6473496
2011;"19556-10070-5-8T";600234;6455293
2011;"19556-12070-2-8T";619990;6485737
2011;"23555-15050-9-4T";648735;6519388
2011;"2A510-13191-2-2T";1227323;6086592
2011;"2B519-12071-1-8T";1216147;6190647
2011;"2B519-12091-1-2T";1218194;6196645
2011;"2B519-14051-2-4T";1234141;6184614
2011;"33536-13010-9-6T";423874;6419108
2011;"33536-17010-6-6T";464319;6448565
2011;"33537-14070-1-8T";439610;6396670
2011;"36544-15070-6-8T";551894;6646145
2011;"39574-18090-6-2T";883559;6649213
2011;"39584-10030-9-0T";897420;6620759
2011;"39584-11030-5-0T";907374;6660622
2011;"42565-19010-9-6T";784544;6516401
2011;"43566-16070-9-8T";759847;6414667
2011;"48567-11070-0-8T";708565;6404742
2011;"51562-14050-6-4T";741471;6848473
2011;"54582-11050-3-4T";911068;6876438
2011;"54582-12030-6-0T";919565;6850550
2011;"62550-17090-8-2T";676840;7031010
2011;"62551-14030-0-0T";640973;7012685
2011;"63566-17070-3-8T";769823;6474587
2011;"64528-19070-8-8T";388155;6227759
2011;"67592-15090-5-2T";1055212;6857631
2011;"69575-13010-8-6T";824818;6525727
2011;"70583-13050-4-4T";930959;6766714
2011;"70583-16030-5-0T";958738;6760343
2011;"71574-16010-7-6T";855375;6635091
2011;"73586-16030-2-0T";955824;6490909
2011;"74585-17050-4-4T";968505;6566054
2011;"76541-18010-5-6T";578455;6957330
2011;"81558-15030-4-0T";643586;6273404
2011;"87545-16070-7-8T";560461;6535673
2011;"87555-10090-9-2T";602499;6521875
2011;"88583-19030-5-0T";988459;6759900
2012;"12-02-187-1-035T";780566;6956051
2012;"12-03-220-1-148T";763509;6584295
2012;"12-11-075-1-150T";629183;6215337
2012;"12-12-065-1-094T";656649;6393391
2012;"12-12-083-1-116T";687749;6308968
2012;"12-18-182-1-128T";669980;6682907
2012;"12-19-176-1-196T";582590;6485531
2012;"12-19-178-1-204T";580531;6459802
2012;"12-19-189-1-183T";634461;6511330
2012;"12-19-194-1-184T";648388;6503319
2012;"12-24-170-1-204T";556610;6467801
2012;"12-31-187-1-283T";525974;6214691
2012;"12-38-262-1-172T";864206;6469293
2012;"12-38-278-1-170T";913942;6458729
2012;"12-38-283-1-177T";921858;6433265
2012;"12-43-242-1-192T";783479;6429910
2012;"12-45-176-1-110T";670403;6742661
2012;"12-46-181-1-211T";581776;6435808
2012;"12-47-168-1-242T";511558;6356749
2012;"12-48-081-1-088T";710567;6394581
2012;"12-48-087-1-100T";716171;6352548
2012;"12-48-093-1-098T";736003;6353086
2012;"12-48-095-1-100T";740529;6344819
2012;"12-55-233-1-065T";886577;6819276
2012;"12-57-266-1-040T";1011014;6859951
2012;"12-57-267-1-043T";1011256;6849801
2012;"12-63-204-1-178T";684224;6510975
2012;"12-63-218-1-180T";724336;6490654
2012;"12-64-134-1-292T";358969;6241482
2012;"12-65-180-1-288T";500396;6207166
2012;"12-66-082-1-155T";644583;6193662
2012;"12-68-276-1-066T";1014448;6771514
2012;"12-68-280-1-066T";1026225;6768094
2012;"12-74-273-1-143T";926905;6544622
2012;"12-74-289-1-137T";980558;6546697
2012;"12-88-251-1-061T";944624;6812147
2012;"12-89-187-1-107T";706286;6740919
2013;"13-02-174-1-055T";719857;6910444
2013;"13-05-284-1-191T";908251;6391317
2013;"13-10-192-1-077T";750773;6825717
2013;"13-22-067-1-122T";331100;6819925
2013;"13-23-187-1-178T";632586;6529753
2013;"13-24-151-1-222T";479849;6434985
2013;"13-26-280-1-205T";881581;6353338
2013;"13-27-133-1-066T";585838;6919506
2013;"13-30-264-1-215T";823632;6339561
2013;"13-33-149-1-238T";457608;6389130
2013;"13-36-157-1-144T";577796;6661658
2013;"13-39-259-1-128T";899417;6605024
2013;"13-40-154-1-253T";457563;6338650
2013;"13-45-163-1-116T";624361;6739019
2013;"13-48-222-1-209T";704600;6400573
2013;"13-48-232-1-209T";734729;6390962
2013;"13-51-186-1-057T";753565;6891766
2013;"13-55-215-1-056T";841831;6865549
2013;"13-63-197-1-178T";663013;6519473
2013;"13-63-214-1-169T";723086;6528360
2013;"13-64-149-1-288T";406681;6239917
2013;"13-67-274-1-047T";1026814;6832078
