sl|npp|disti|xi|yi|repi|flpi
1|25-62-121-1-013T|1|606979|7089850|1|H
1|25-62-125-1-030T|28|602180|7035184|1|B
1|25-62-136-1-018T|4|646887|7060333|1|0
1|25-62-140-1-022T|20|655264|7043756|1|0
1|25-62-141-1-029T|28|650831|7021521|1|C
1|25-62-144-1-024T|-1|664498|7033763|1|C
1|25-63-200-1-186T|-16|666538|6491744|1|C
1|25-63-201-1-184T|6|671865|6496574|1|C
1|25-63-209-1-177T|0|702506|6509869|1|H
1|25-63-215-1-180T|0|717676|6494176|1|0
1|25-63-216-1-186T|7|714280|6475495|1|B
2|25-64-150-1-283T|3|417710|6253105|1|0
1|25-64-150-1-283T|-14|417705|6253089|1|0
1|25-64-154-1-274T|7|438659|6276105|1|A
1|25-66-238-1-280T|-14|683755|6172326|1|0
1|25-66-238-1-283T|-30|680228|6163264|1|C
1|25-66-248-1-283T|30|710188|6153090|1|C
1|25-67-259-1-036T|-13|996791|6879785|1|C
1|25-67-278-1-054T|-4|1035087|6806321|1|0
1|25-69-248-1-164T|-17|831976|6508845|1|C
1|25-71-227-1-132T|19|802657|6626068|1|H
2|25-71-227-1-142T|-4|791877|6596339|1|B
1|25-71-227-1-142T|-16|791874|6596351|1|B
1|25-71-243-1-145T|18|836673|6570373|1|H
1|25-72-110-1-131T|-3|453502|6748349|1|B
1|25-72-116-1-128T|-20|474914|6751799|1|C
1|25-72-121-1-134T|7|483626|6728165|1|H
1|25-72-125-1-110T|17|519784|6795739|1|0
1|25-74-272-1-139T|-28|930116|6559022|1|C
1|25-74-280-1-148T|-11|944614|6523536|1|C
2|25-74-280-1-148T|19|944637|6523517|1|C
1|25-74-286-1-139T|19|971830|6544784|1|C
1|25-76-103-1-064T|-5|501635|6955713|1|0
1|25-76-130-1-060T|-5|585993|6940195|1|0
1|25-77-169-1-070T|-13|692216|6870943|1|C
1|25-79-119-1-161T|-8|449394|6649766|1|C
2|25-79-121-1-183T|26|433769|6581893|1|H
1|25-79-121-1-183T|-7|433766|6581860|1|H
1|25-79-123-1-164T|-16|458573|6637145|1|H
2|25-79-129-1-175T|-12|465023|6597840|1|H
1|25-79-129-1-175T|-4|465031|6597836|1|H
1|25-79-130-1-177T|21|466786|6590360|1|H
1|25-81-202-1-253T|7|603411|6289763|1|C
1|25-81-203-1-246T|12|613713|6309807|1|0
1|25-81-212-1-261T|30|625675|6255655|1|C
1|25-81-215-1-253T|-5|642843|6276487|1|0
2|25-81-218-1-250T|2|654571|6282620|1|B
1|25-81-218-1-250T|-12|654567|6282634|1|B
1|25-82-177-1-244T|17|537847|6342750|1|B
1|25-84-290-1-215T|2|905738|6313666|1|C
2|25-85-084-1-170T|-15|335820|6658571|1|B
1|25-85-084-1-170T|6|335835|6658585|1|H
1|25-85-086-1-174T|15|337928|6644587|1|C
2|25-85-097-1-168T|-10|376755|6651739|1|C
1|25-85-097-1-168T|3|376764|6651731|1|C
1|25-85-106-1-185T|12|385976|6591350|1|0
2|25-85-114-1-181T|-21|414243|6594955|1|H
1|25-85-114-1-181T|-7|414246|6594969|1|H
1|25-86-141-1-176T|12|500027|6582812|1|C
1|25-87-177-1-182T|20|601599|6527401|1|C
1|25-88-249-1-068T|0|933447|6794225|1|H
1|25-89-198-1-100T|16|748394|6750822|1|0
1|25-01-253-1-137T|2|874597|6584752|1|B
1|25-01-270-1-137T|7|925854|6566437|1|H
1|25-01-271-1-133T|-5|932904|6577989|1|0
1|25-02-178-1-027T|20|763252|6989796|1|C
1|25-02-186-1-028T|27|786791|6978920|1|B
1|25-03-186-1-157T|-27|654197|6592793|1|H
1|25-03-194-1-152T|1|683186|6599543|1|H
1|25-03-194-1-159T|-3|676032|6578483|1|H
1|25-03-199-1-153T|-23|696706|6591688|1|H
1|25-03-201-1-147T|3|709338|6608130|1|H
1|25-03-202-1-156T|-23|703448|6579829|1|H
1|25-03-203-1-146T|-27|716026|6608988|1|B
1|25-03-210-1-143T|15|740625|6610120|1|H
2|25-03-214-1-141T|-20|754196|6612622|1|C
1|25-03-214-1-141T|-30|754189|6612629|1|H
1|25-08-189-1-034T|-2|789191|6957428|1|B
1|25-08-205-1-028T|7|843346|6959373|1|A
1|25-09-199-1-275T|-24|572084|6227552|1|C
1|25-09-206-1-277T|16|591410|6213893|1|B
1|25-10-211-1-081T|-24|806657|6794533|1|H
1|25-11-211-1-270T|-21|613250|6229696|1|C
1|25-11-213-1-262T|-21|627053|6252043|1|B
1|25-11-216-1-261T|-2|637796|6251622|1|B
1|25-12-199-1-224T|-4|624641|6379603|1|B
1|25-12-209-1-217T|29|661722|6390019|1|C
1|25-12-216-1-233T|-11|665571|6335092|1|H
1|25-12-217-1-213T|8|689700|6394241|1|C
1|25-12-217-1-229T|14|673149|6345862|1|0
1|25-12-220-1-216T|22|695674|6381734|1|C
1|25-12-226-1-222T|10|707222|6357836|1|B
1|25-13-273-1-230T|30|839062|6285415|1|B
1|25-13-274-1-229T|-16|843345|6287736|1|H
1|25-14-085-1-093T|9|417510|6887419|1|B
1|25-14-097-1-091T|14|456019|6881193|1|B
1|25-14-105-1-078T|-13|493497|6912645|1|0
1|25-14-106-1-073T|22|501510|6926368|1|0
2|25-14-106-1-083T|-14|490683|6895880|1|H
1|25-14-106-1-083T|27|490688|6895839|1|H
1|25-14-111-1-080T|9|508617|6900350|1|0
1|25-14-111-1-086T|0|502533|6882578|1|0
1|25-14-114-1-087T|-11|510879|6876052|1|B
1|25-15-200-1-207T|9|645196|6429442|1|B
1|25-15-202-1-207T|8|650930|6427154|1|A
1|25-15-204-1-212T|-10|651396|6410742|1|H
1|25-16-153-1-185T|14|527398|6543273|1|B
1|25-18-176-1-149T|-1|632963|6627354|1|B
1|25-18-181-1-150T|10|646611|6618879|1|H
1|25-19-173-1-199T|-16|572192|6480761|1|H
1|25-19-195-1-201T|-6|636061|6452661|1|B
1|25-21-220-1-110T|18|804477|6698405|1|H
1|25-21-221-1-102T|9|814833|6721185|1|0
1|25-21-221-1-113T|17|804386|6688305|1|H
1|25-21-224-1-113T|-27|812912|6685919|1|B
1|25-21-224-1-114T|-15|811865|6682799|1|H
1|25-21-226-1-109T|-18|822844|6695687|1|C
1|25-21-232-1-101T|10|848775|6713128|1|H
1|25-21-235-1-106T|5|853363|6695421|1|A
2|25-22-029-1-120T|-8|222688|6864706|1|H
1|25-22-029-1-120T|-16|222688|6864714|1|H
1|25-22-031-1-124T|27|225135|6850875|1|B
1|25-22-035-1-127T|-22|233449|6837533|1|B
1|25-22-051-1-122T|23|286231|6835670|1|B
1|25-22-052-1-122T|30|289030|6835290|1|C
1|25-22-054-1-132T|26|285665|6803464|1|H
1|25-22-055-1-121T|27|299289|6834911|1|C
1|25-22-057-1-118T|29|308890|6841742|1|H
1|25-22-060-1-126T|4|309746|6814951|1|0
1|25-23-165-1-169T|28|578835|6578578|1|H
1|25-23-176-1-174T|13|606651|6552302|1|C
1|25-23-178-1-163T|-28|624009|6583127|1|B
1|25-23-187-1-170T|-17|643521|6552774|1|B
3|25-23-192-1-166T|15|662695|6559735|1|C
2|25-23-192-1-166T|27|662697|6559746|1|H
2|25-23-192-1-170T|-23|659107|6548167|1|H
1|25-23-192-1-170T|-11|659113|6548177|1|H
1|25-24-150-1-209T|10|493001|6474755|1|B
1|25-25-264-1-090T|27|956386|6713798|1|B
1|25-25-271-1-090T|-19|976967|6706400|1|A
1|25-25-273-1-086T|-25|987368|6716048|1|0
1|25-26-264-1-184T|16|859768|6432434|1|0
1|25-27-117-1-074T|18|532617|6911565|1|B
1|25-29-009-1-130T|13|152347|6854797|1|0
1|25-29-016-1-127T|14|177007|6857036|1|C
1|25-29-018-1-131T|5|178737|6843025|1|C
1|25-29-020-1-132T|21|183715|6837990|1|H
1|25-29-020-1-144T|-28|171096|6802086|1|0
1|25-29-022-1-143T|30|178352|6802456|1|H
1|25-29-026-1-126T|-1|207624|6849525|1|B
1|25-29-028-1-128T|12|211643|6841934|1|B
1|25-29-036-1-146T|21|216867|6779161|1|0
1|25-30-266-1-231T|3|817605|6290436|1|B
1|25-31-188-1-270T|10|544107|6252918|1|B
1|25-33-135-1-233T|-15|424254|6418301|1|A
1|25-35-066-1-112T|17|341154|6850349|1|0
1|25-35-070-1-146T|-2|318929|6744996|1|H
1|25-35-073-1-128T|-6|346206|6795729|1|H
2|25-35-073-1-134T|28|339688|6777239|1|B
1|25-35-073-1-134T|16|339682|6777229|1|B
1|25-35-076-1-119T|15|364527|6819571|1|H
1|25-35-077-1-123T|23|363433|6806355|1|H
1|25-36-150-1-158T|25|546034|6626634|1|H
1|25-36-153-1-159T|20|553741|6621201|1|B
1|25-36-154-1-153T|-7|562206|6638160|1|H
1|25-36-158-1-163T|-9|564756|6603588|1|B
2|25-36-161-1-164T|-17|572138|6598162|1|H
1|25-36-161-1-164T|-3|572151|6598166|1|H
2|25-36-178-1-152T|-4|635863|6616387|1|B
1|25-36-178-1-152T|-17|635851|6616394|1|H
1|25-37-124-1-134T|-16|492060|6725464|1|B
1|25-38-263-1-156T|-3|885172|6516829|1|0
1|25-39-257-1-120T|18|904706|6631301|1|B
2|25-39-257-1-125T|22|899339|6615922|1|B
1|25-39-257-1-125T|-22|899302|6615898|1|C
1|25-39-259-1-133T|24|897184|6589833|1|H
1|25-39-266-1-118T|8|933024|6627431|1|B
1|25-40-148-1-270T|30|424636|6294150|1|B
1|25-42-225-1-155T|9|772620|6558752|1|H
1|25-42-231-1-167T|-1|778608|6517254|1|0
1|25-42-232-1-157T|-12|791332|6546151|1|C
1|25-42-236-1-161T|-26|799807|6530147|1|B
1|25-42-236-1-171T|11|789328|6500446|1|H
1|25-42-236-1-176T|-9|784340|6485235|1|H
1|25-42-237-1-173T|-23|789953|6492924|1|B
1|25-42-245-1-171T|8|816034|6490489|1|B
1|25-42-245-1-174T|-25|813068|6481492|1|H
2|25-43-224-1-187T|19|736857|6464572|1|H
1|25-43-224-1-187T|10|736856|6464563|1|H
1|25-43-227-1-190T|-24|743347|6452847|1|B
1|25-43-238-1-187T|-15|778866|6450313|1|B
1|25-43-239-1-188T|14|781022|6445896|1|B
3|25-43-242-1-180T|18|798164|6467229|1|0
2|25-43-242-1-180T|5|798154|6467237|1|0
1|25-43-242-1-180T|-14|798139|6467249|1|0
1|25-44-077-1-158T|25|327419|6701812|1|B
1|25-44-080-1-160T|-26|334118|6692472|1|H
1|25-44-092-1-165T|4|365020|6665036|1|H
1|25-44-095-1-157T|-8|381828|6686250|1|H
1|25-46-184-1-226T|-25|577356|6388959|1|B
1|25-49-098-1-152T|-3|396058|6698387|1|H
1|25-49-099-1-144T|0|407232|6720875|1|0
1|25-49-100-1-153T|-23|401336|6692915|1|H
1|25-49-101-1-161T|19|396100|6667836|1|C
1|25-49-102-1-146T|-12|414365|6712265|1|B
1|25-49-108-1-137T|22|441697|6733152|1|0
2|25-50-066-1-082T|-19|372243|6940221|1|H
1|25-50-066-1-082T|12|372254|6940250|1|H
2|25-50-068-1-076T|30|384101|6955971|1|C
1|25-50-068-1-076T|-7|384068|6955987|1|B
1|25-50-068-1-081T|-7|379584|6941372|1|B
1|25-50-069-1-080T|14|383128|6942942|1|B
1|25-50-073-1-099T|-5|375875|6882633|1|0
1|25-50-077-1-109T|-15|377668|6848053|1|C
1|25-50-077-1-111T|2|375337|6842376|1|H
2|25-50-078-1-090T|-28|400099|6903899|1|C
1|25-50-078-1-090T|26|400151|6903912|1|0
1|25-50-079-1-094T|-25|398600|6890920|1|0
1|25-50-079-1-102T|18|390639|6866702|1|B
2|25-50-081-1-110T|7|388645|6841443|1|B
1|25-50-081-1-110T|17|388648|6841452|1|0
2|25-50-082-1-094T|10|407800|6887961|1|0
1|25-50-082-1-094T|-4|407792|6887973|1|0
1|25-50-089-1-110T|30|412848|6833141|1|C
1|25-52-216-1-064T|3|839642|6840118|1|C
1|25-52-224-1-068T|26|858649|6820134|1|B
1|25-52-233-1-078T|10|875592|6781278|1|B
1|25-52-235-1-089T|28|870698|6746236|1|B
1|25-53-093-1-116T|-20|418196|6810735|1|B
1|25-53-094-1-135T|-25|401557|6752661|1|H
2|25-53-097-1-127T|-1|418560|6773592|1|H
1|25-53-097-1-127T|-16|418550|6773604|1|C
1|25-53-101-1-128T|-3|429878|6766472|1|H
1|25-54-246-1-052T|8|941280|6845237|1|H
1|25-54-251-1-056T|2|952182|6828747|1|H
1|25-55-216-1-052T|1|851874|6876665|1|H
1|25-55-230-1-063T|9|882400|6828649|1|H
1|25-56-044-1-142T|1|245549|6783587|1|A
2|25-56-048-1-146T|-28|253276|6767562|1|H
1|25-56-048-1-146T|2|253287|6767590|1|H
1|25-56-057-1-153T|9|273005|6737384|1|C
1|25-56-060-1-153T|-20|281862|6734195|1|B
1|25-56-069-1-143T|8|319272|6754339|1|0
2|25-58-203-1-129T|7|733456|6659198|1|H
1|25-58-203-1-129T|1|733455|6659192|1|H
2|25-58-204-1-129T|28|736328|6658012|1|B
1|25-58-204-1-129T|-9|736291|6658015|1|0
1|25-58-204-1-141T|19|724663|6622735|1|H
2|25-58-205-1-131T|17|737724|6650952|1|H
1|25-58-205-1-131T|-2|737715|6650969|1|H
1|25-58-206-1-117T|6|754690|6691962|1|B
1|25-58-207-1-140T|-24|734864|6622347|1|B
1|25-58-216-1-132T|26|769047|6636843|1|H
1|25-59-175-1-023T|-28|758647|7005455|1|A
1|25-59-178-1-024T|-8|766278|6998998|1|H
1|25-60-139-1-059T|4|613978|6934206|1|H
1|25-60-140-1-060T|24|615690|6930472|1|H
1|25-60-158-1-064T|-8|666170|6899417|1|0
1|25-61-097-1-101T|27|445214|6851535|1|B
1|25-61-097-1-108T|6|437984|6830905|1|H
1|25-61-099-1-098T|15|454233|6858991|1|B
1|25-61-108-1-091T|22|488221|6870240|1|B
1|25-61-110-1-097T|9|488616|6850689|1|B
1|25-61-114-1-095T|22|502546|6851719|1|B
1|25-62-125-1-031T|-30|601148|7032716|1|H
3|25-62-134-1-026T|-21|632534|7038507|1|H
2|25-62-134-1-026T|-14|632541|7038506|1|H
1|25-62-134-1-026T|15|632570|7038504|1|H
1|25-62-143-1-026T|11|659886|7028296|1|B
1|25-63-196-1-165T|-3|675498|6559315|1|H
1|25-63-197-1-162T|15|681771|6566881|1|H
1|25-63-198-1-183T|-30|663035|6502903|1|C
1|25-63-199-1-186T|-27|663269|6492799|1|B
1|25-63-200-1-160T|-27|692710|6570264|1|H
1|25-63-200-1-162T|25|691326|6564251|1|H
1|25-63-205-1-167T|-27|701272|6544176|1|H
3|25-63-207-1-169T|-18|705027|6535970|1|0
2|25-63-207-1-169T|25|705052|6536004|1|0
1|25-63-207-1-169T|3|705039|6535986|1|0
2|25-63-217-1-169T|25|734225|6525171|1|0
1|25-63-217-1-169T|2|734202|6525167|1|0
1|25-63-217-1-170T|-1|733128|6522187|1|B
1|25-63-217-1-174T|16|729271|6510435|1|H
2|25-63-221-1-165T|-18|750747|6533249|1|B
1|25-63-221-1-165T|13|750754|6533279|1|H
1|25-63-226-1-174T|-28|756736|6501804|1|B
1|25-64-145-1-286T|-22|399198|6249092|1|B
1|25-64-156-1-276T|27|442866|6268671|1|H
1|25-68-277-1-068T|17|1017325|6766125|1|B
1|25-69-235-1-147T|14|811102|6572503|1|H
1|25-69-238-1-155T|-30|811890|6545633|1|B
1|25-69-245-1-166T|-28|821078|6505499|1|H
1|25-69-247-1-167T|-23|826736|6500994|1|H
1|25-69-248-1-166T|-14|830191|6502423|1|H
1|25-70-257-1-090T|6|935191|6720491|1|B
1|25-70-268-1-080T|-14|977812|6739722|1|C
1|25-71-213-1-136T|4|756306|6627782|1|H
1|25-71-219-1-127T|-22|783959|6648686|1|H
2|25-71-222-1-141T|20|777854|6604459|1|H
1|25-71-222-1-141T|13|777850|6604453|1|H
1|25-71-223-1-146T|-25|776284|6588073|1|A
1|25-71-224-1-132T|3|793092|6628863|1|H
2|25-71-225-1-151T|0|777297|6571242|1|H
1|25-71-225-1-151T|-28|777296|6571214|1|H
1|25-71-226-1-128T|-9|803321|6638989|1|H
1|25-71-228-1-144T|-24|793549|6589203|1|H
1|25-71-232-1-142T|15|807466|6590708|1|H
1|25-71-236-1-145T|-14|816313|6577851|1|H
2|25-71-238-1-139T|29|827987|6594056|1|H
1|25-71-238-1-139T|-14|827958|6594089|1|H
1|25-72-109-1-117T|4|465309|6791439|1|H
1|25-72-109-1-125T|5|456824|6767569|1|B
2|25-72-109-1-133T|-7|449042|6743761|1|H
1|25-72-109-1-133T|26|449068|6743781|1|H
1|25-72-113-1-114T|-26|479714|6796608|1|H
1|25-72-114-1-123T|17|474315|6768886|1|C
1|25-72-115-1-105T|-2|495108|6821197|1|B
1|25-72-116-1-121T|-24|481944|6772315|1|0
1|25-72-118-1-121T|-14|487427|6770795|1|B
1|25-72-124-1-133T|-2|493661|6728439|1|H
1|25-73-272-1-154T|13|914660|6514432|1|A
1|25-74-271-1-141T|10|924855|6554200|1|C
1|25-74-274-1-141T|-30|933646|6550641|1|B
1|25-74-280-1-127T|-14|966085|6586423|1|0
1|25-76-131-1-061T|16|587726|6936229|1|H
1|25-77-173-1-067T|23|707916|6875189|1|0
1|25-79-111-1-163T|16|424326|6651928|1|B
1|25-79-112-1-162T|-25|428122|6654004|1|H
1|25-79-113-1-161T|-11|432097|6655791|1|B
1|25-79-114-1-169T|-18|426876|6631162|1|B
1|25-79-124-1-171T|-4|454936|6614668|1|B
1|25-79-125-1-172T|29|456219|6610619|1|B
1|25-80-134-1-041T|-28|617114|6993067|1|H
1|25-81-198-1-248T|30|597446|6308452|1|H
2|25-81-202-1-246T|-21|611085|6310463|1|0
1|25-81-202-1-246T|22|611128|6310461|1|0
1|25-81-209-1-254T|-25|623756|6280029|1|B
1|25-81-213-1-256T|-22|633173|6269707|1|C
2|25-81-219-1-248T|15|659329|6287796|1|B
1|25-81-219-1-248T|-14|659306|6287779|1|B
1|25-81-220-1-244T|-21|666764|6298647|1|H
1|25-82-196-1-234T|7|605128|6352692|1|H
1|25-83-324-1-219T|8|1003521|6266014|1|0
1|25-84-286-1-215T|12|893420|6316892|1|0
1|25-85-081-1-175T|-21|321774|6646941|1|H
1|25-85-092-1-173T|-7|357054|6641165|1|C
1|25-85-101-1-172T|-10|385203|6635351|1|C
1|25-85-104-1-174T|22|391910|6626543|1|B
2|25-85-110-1-174T|21|409524|6620001|1|H
1|25-85-110-1-174T|2|409507|6620010|1|H
1|25-85-111-1-170T|25|417155|6631193|1|B
1|25-86-128-1-164T|-18|473832|6631599|1|B
1|25-86-133-1-169T|3|483550|6611107|1|H
1|25-86-135-1-171T|-2|487521|6603218|1|C
1|25-86-148-1-171T|24|526163|6589924|1|C
1|25-86-154-1-166T|-20|549071|6599139|1|B
1|25-87-157-1-173T|-4|551081|6575051|1|H
1|25-87-158-1-173T|-19|553848|6574063|1|C
1|25-87-159-1-170T|21|559836|6581754|1|B
2|25-87-161-1-173T|20|562778|6571330|1|H
1|25-87-161-1-173T|8|562767|6571334|1|H
1|25-87-162-1-176T|-1|563394|6561166|1|H
1|25-87-164-1-186T|0|558419|6528812|1|B
1|25-87-165-1-174T|-16|573860|6563700|1|H
1|25-89-190-1-109T|5|715344|6732502|1|H
1|25-89-201-1-109T|-8|748129|6720770|1|B
3|25-89-211-1-111T|11|776079|6705363|1|H
2|25-89-211-1-111T|18|776085|6705357|1|H
1|25-89-213-1-112T|12|781469|6699951|1|H
1|25-90-273-1-083T|3|990323|6724874|1|0
2|25-92-156-1-079T|6|644275|6857416|1|0
1|25-92-156-1-079T|-5|644265|6857420|1|A
1|25-01-260-1-139T|-6|894113|6571211|1|H
1|25-02-164-1-034T|-18|714433|6983294|1|H
2|25-02-180-1-029T|23|767719|6982044|1|B
1|25-02-180-1-029T|-5|767694|6982033|1|B
2|25-02-182-1-054T|-16|747326|6904816|1|B
1|25-02-182-1-054T|-29|747313|6904816|1|C
1|25-03-187-1-159T|8|655119|6586166|1|H
2|25-03-193-1-150T|27|682399|6606916|1|H
1|25-03-193-1-150T|11|682399|6606900|1|H
2|25-03-197-1-155T|2|689660|6587563|1|B
1|25-03-197-1-155T|-24|689646|6587541|1|H
1|25-04-290-1-210T|-3|910628|6328178|1|C
1|25-05-291-1-198T|-14|926388|6363288|1|C
1|25-05-293-1-192T|-27|938316|6379108|1|0
1|25-07-256-1-200T|17|819814|6393258|1|C
1|25-11-224-1-265T|20|657269|6231192|1|B
1|25-11-227-1-272T|11|658952|6207342|1|H
2|25-12-204-1-225T|-19|638471|6371743|1|B
1|25-12-204-1-225T|7|638485|6371721|1|B
1|25-12-208-1-227T|7|648773|6361117|1|C
1|25-12-211-1-222T|-15|662841|6373212|1|B
1|25-12-215-1-233T|11|662664|6336200|1|H
1|25-12-223-1-221T|-4|699652|6363804|1|B
2|25-12-225-1-218T|15|708121|6371263|1|0
1|25-12-225-1-218T|-13|708114|6371236|1|C
1|25-12-226-1-237T|17|692156|6313290|1|B
1|25-12-227-1-228T|-14|704527|6338533|1|B
2|25-13-273-1-221T|-25|848616|6312894|1|B
1|25-13-273-1-221T|-8|848626|6312908|1|B
2|25-13-279-1-231T|-6|856241|6277034|1|B
1|25-13-279-1-231T|14|856252|6277049|1|C
1|25-15-206-1-205T|-7|665204|6429473|1|B
1|25-15-214-1-196T|13|697783|6447500|1|B
2|25-15-214-1-202T|17|692269|6430376|1|B
1|25-15-214-1-202T|-25|692228|6430368|1|B
1|25-15-215-1-202T|5|695270|6428990|1|B
1|25-16-142-1-185T|-10|494114|6554675|1|B
1|25-16-143-1-185T|29|496602|6553410|1|B
1|25-16-145-1-182T|1|505771|6559962|1|B
3|25-16-145-1-186T|21|501705|6548034|1|0
2|25-16-145-1-186T|-8|501697|6548063|1|B
1|25-16-145-1-186T|0|501699|6548055|1|B
1|25-17-106-1-189T|29|382508|6579418|1|B
1|25-17-117-1-193T|-12|411336|6556086|1|H
2|25-17-119-1-199T|-14|411158|6535886|1|C
1|25-17-119-1-199T|23|411172|6535851|1|B
1|25-17-119-1-201T|-17|408842|6529727|1|C
1|25-17-119-1-204T|29|405633|6521443|1|0
2|25-17-129-1-198T|24|442069|6528461|1|B
1|25-17-129-1-198T|-18|442029|6528473|1|B
1|25-19-178-1-207T|3|578836|6452240|1|C
2|25-19-185-1-208T|-20|599187|6441568|1|B
1|25-19-185-1-208T|6|599213|6441565|1|B
2|25-21-221-1-110T|-5|806959|6698217|1|H
1|25-21-221-1-110T|8|806970|6698210|1|H
2|25-21-236-1-099T|1|863334|6715506|1|C
1|25-21-236-1-099T|25|863343|6715529|1|C
1|25-22-038-1-119T|4|251043|6858194|1|B
1|25-22-041-1-115T|14|263714|6867123|1|H
1|25-22-046-1-121T|8|272649|6843728|1|B
1|25-22-047-1-126T|20|270821|6828248|1|B
1|25-22-053-1-131T|30|283533|6807512|1|C
1|25-22-055-1-131T|-6|289044|6804789|1|B
1|25-22-057-1-129T|9|297708|6808582|1|B
1|25-23-172-1-163T|9|606206|6589099|1|H
1|25-23-172-1-180T|30|589306|6539176|1|B
1|25-24-156-1-200T|-30|520437|6495716|1|H
1|25-24-156-1-215T|30|505598|6450484|1|C
2|25-25-271-1-100T|18|966593|6676209|1|B
1|25-25-271-1-100T|1|966580|6676219|1|H
2|25-26-263-1-206T|10|834043|6367718|1|0
1|25-26-263-1-206T|-19|834014|6367715|1|A
1|25-26-268-1-205T|-2|850493|6365696|1|B
1|25-26-272-1-198T|14|869779|6382785|1|C
2|25-27-112-1-077T|19|515319|6908014|1|0
1|25-27-112-1-077T|9|515312|6908021|1|H
1|25-27-119-1-084T|12|528330|6880177|1|H
1|25-27-126-1-088T|13|545340|6860368|1|H
1|25-29-007-1-135T|-5|141860|6841907|1|C
1|25-29-010-1-130T|26|155863|6854402|1|H
1|25-29-013-1-136T|-4|158841|6833257|1|0
2|25-29-013-1-140T|10|154687|6821185|1|0
1|25-29-013-1-140T|-1|154679|6821177|1|0
1|25-29-018-1-124T|1|185501|6864169|1|H
1|25-29-021-1-143T|3|175517|6804359|1|C
1|25-29-026-1-142T|-4|191203|6801831|1|C
1|25-29-027-1-126T|3|210607|6849038|1|H
1|25-29-028-1-138T|4|201883|6811524|1|C
1|25-29-030-1-147T|30|198165|6782720|1|H
1|25-2B-354-1-230T|23|1210056|6158824|1|H
1|25-2B-358-1-227T|-20|1224494|6163598|1|C
1|25-30-261-1-221T|-22|812604|6324538|1|0
2|25-31-180-1-274T|4|516633|6249975|1|B
1|25-31-180-1-274T|-16|516625|6249993|1|B
1|25-31-182-1-293T|-13|502917|6190568|1|0
1|25-31-184-1-256T|-16|546662|6299098|1|B
1|25-31-184-1-259T|12|543563|6290260|1|C
1|25-31-185-1-279T|-2|526729|6229442|1|C
1|25-31-188-1-257T|-24|557382|6291772|1|C
1|25-32-170-1-270T|2|491192|6271396|1|0
1|25-32-176-1-263T|21|515661|6287058|1|H
1|25-32-181-1-260T|17|533655|6290187|1|B
1|25-32-181-1-261T|0|532519|6287098|1|B
1|25-33-121-1-247T|-30|367505|6390423|1|H
1|25-33-134-1-222T|11|432441|6452304|1|0
1|25-33-136-1-237T|16|423203|6405434|1|B
1|25-33-140-1-234T|24|437913|6409618|1|B
1|25-34-239-1-256T|24|711252|6243358|1|0
1|25-34-257-1-238T|-22|783494|6278740|1|B
2|25-35-065-1-132T|-2|318613|6792156|1|C
1|25-35-065-1-132T|19|318630|6792169|1|B
1|25-35-075-1-136T|28|343886|6769431|1|0
1|25-35-079-1-130T|30|362294|6783106|1|C
1|25-35-079-1-136T|3|356265|6765011|1|H
1|25-35-080-1-136T|-1|358746|6764137|1|H
1|25-35-083-1-123T|-1|381259|6799860|1|B
2|25-36-173-1-148T|-25|624359|6633705|1|B
1|25-36-173-1-148T|-12|624372|6633701|1|C
1|25-37-128-1-138T|26|499933|6708921|1|0
1|25-37-133-1-138T|-27|515558|6704331|1|H
1|25-38-262-1-154T|-24|883986|6524280|1|H
1|25-38-265-1-162T|4|885065|6497032|1|C
1|25-38-268-1-168T|-29|887981|6476404|1|B
1|25-38-272-1-169T|17|898900|6469615|1|B
1|25-38-283-1-183T|-2|917643|6415728|1|C
2|25-38-284-1-185T|-26|918756|6409155|1|C
1|25-38-284-1-185T|-7|918760|6409173|1|C
1|25-39-253-1-130T|-3|882395|6605443|1|H
1|25-39-262-1-131T|-4|908140|6592859|1|H
1|25-41-138-1-112T|-19|556527|6777130|1|0
1|25-33-142-1-220T|20|458073|6449993|1|C
1|25-41-156-1-136T|4|586171|6686811|1|C
1|25-42-222-1-153T|0|765712|6568342|1|C
1|25-42-230-1-151T|8|792276|6566058|1|0
1|25-42-235-1-165T|2|792327|6518531|1|H
1|25-43-227-1-197T|-30|736193|6431392|1|H
1|25-43-234-1-191T|25|763188|6441946|1|B
3|25-44-067-1-159T|-27|296125|6709468|1|B
2|25-44-067-1-159T|29|296177|6709448|1|H
1|25-44-067-1-159T|-8|296143|6709461|1|C
1|25-44-084-1-138T|-20|368864|6754245|1|B
2|25-44-089-1-150T|-25|371442|6713628|1|C
1|25-44-089-1-150T|-4|371442|6713649|1|0
1|25-44-091-1-149T|-24|378863|6714724|1|H
1|25-44-097-1-148T|7|397398|6710978|1|0
1|25-45-175-1-100T|13|679539|6774375|1|0
2|25-45-175-1-114T|16|665443|6732997|1|C
1|25-45-175-1-114T|-1|665436|6732981|1|C
2|25-46-193-1-224T|14|606493|6386075|1|B
1|25-46-193-1-224T|-12|606475|6386093|1|B
1|25-47-163-1-237T|0|503738|6377706|1|H
2|25-47-164-1-233T|-30|510487|6388129|1|B
1|25-47-164-1-233T|23|510540|6388127|1|C
1|25-47-164-1-239T|8|504330|6370989|1|C
1|25-47-164-1-242T|29|501922|6361482|1|B
1|25-47-165-1-230T|30|516478|6396430|1|C
