npp|nppg|occ|auteurpi|datepi|note|cso|dbpi|pbpi|uspi|ufpi|tfpi|phpi|blpi|efpi|dupi|evof
25-49-110-1-135C|49533-F5040-7-8T|1|106|2024-05-20||1|2|1|X||1|0|0||0|
25-49-111-1-146C|49534-F4060-1-2T|1|106|2024-05-20||6A||2||0|||0|||
25-51-183-1-068C|51562-F4000-5-0T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-51-192-1-046C|51561-F8090-9-3T|1|82|2024-05-14||1|0|2|X||2|0|0||0|
25-51-192-1-068C|51562-F6070-5-9T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-51-196-1-059C|51562-F8080-3-6T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-51-200-1-049C|51572-F1000-1-0T|1|82|2024-05-14||6A||2||0|||0|||
25-51-200-1-053C|51572-F0060-2-2T|1|82|2024-05-14||3|5|2|X||2|0|0||0|
25-51-207-1-063C|51572-F1070-5-9T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-51-208-1-060C|51572-F2030-5-1T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-51-210-1-046C|51572-F4030-1-1T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-51-212-1-051C|51572-F4040-2-8T|1|82|2024-05-14||1|0|2|X||2|0|0||0|
25-52-226-1-085C|52573-F5020-4-4T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-52-230-1-088C|52573-F6010-5-7T|1|82|2024-05-14||1|0|2|X||2|0|0||0|
25-52-232-1-089C|52573-F6060-6-2T|1|82|2024-05-14||1|0|2|X||2|0|0||0|
25-52-238-1-087C|52573-F8060-6-2T|1|82|2024-05-14||1|0|2|X||2|0|0||0|
25-53-100-1-131C|53533-F2080-5-6T|1|106|2024-05-20||6A||2||0|||0|||
25-53-104-1-121C|53533-F5000-3-0T|1|106|2024-05-20||6A||2||0|||0|||
25-54-232-1-042C|54582-F1030-2-1T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-55-214-1-035C|55571-F6060-8-2T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-55-214-1-038C|55571-F6030-9-1T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-55-223-1-054C|55572-F7040-4-8T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-55-225-1-055C|55572-F7090-5-3T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-55-229-1-054C|55572-F9020-5-4T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-56-031-1-141C|56513-F1010-1-7T|1|106|2024-05-21||1|0|2|X||2|0|0||0|
25-56-057-1-138C|56513-F9020-3-4T|1|106|2024-05-21||6A||2||0|||0|||
25-56-066-1-147C|56523-F1000-7-0T|1|106|2024-05-21||6A||2||0|||0|||
25-57-235-1-031C|57581-F3030-9-1T|1|82|2024-05-14||1|0|2|X||2|0|0||0|
25-57-250-1-032C|57582-F7070-0-9T|1|82|2024-05-14||6A||2||0|||0|||
25-57-268-1-046C|57592-F1070-6-9T|1|82|2024-05-14||6A||2||0|||0|||
25-58-196-1-120C|58564-F2070-1-9T|1|169|2024-05-03||6A||2||0|||0|||
25-58-202-1-138C|58564-F2070-7-9T|1|169|2024-05-03||1|0|2|X||2|0|0||0|
25-59-152-1-008C|59560-F0070-3-9T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-60-168-1-063C|60562-F0000-2-0T|1|82|2024-05-14||1|0|2|X||2|0|0||0|
25-61-096-1-106C|61532-F4010-7-7T|1|106|2024-05-21||1|0|2|X||2|0|0||0|
25-61-098-1-106C|61532-F4070-7-9T|1|106|2024-05-21||1|0|2|X||2|0|0||0|
25-61-108-1-106C|61532-F7070-8-9T|1|106|2024-05-21||6H||2||0|||0|||
25-62-148-1-024C|62550-F7090-8-3T|1|82|2024-05-14||1|0|2|X||2|0|0||0|
25-62-154-1-023C|62550-F9080-8-6T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-63-200-1-184C|63556-F7050-1-5T|1|169|2024-05-03||1|0|2|X||2|0|0||0|
25-63-218-1-171C|63565-F4020-9-4T|1|169|2024-05-03||6A||2||0|||0|||
25-64-126-1-286C|64528-F5010-4-7T|1|101|2024-03-22||1|0|2|X||2|0|0||0|
25-64-141-1-290C|64528-F9020-7-4T|1|101|2024-03-22||1|0|2|X||2|0|0||0|
25-64-143-1-289C|64528-F9090-7-3T|1|101|2024-03-22||4L|0|1|X|0|2||0||0|
25-64-152-1-298C|64539-F1070-0-9T|1|101|2024-03-22||6H||2||0|||0|||
25-65-164-1-275C|65538-F7060-5-2T|1|101|2024-03-22||1|0|2|X||2|0|0||0|
25-65-166-1-285C|65538-F7020-8-4T|1|101|2024-03-22||6A||2||0|||0|||
25-65-169-1-278C|65538-F8080-6-6T|1|101|2024-03-22||1|0|2|X||2|0|0||0|
25-65-180-1-286C|65549-F1030-0-1T|1|101|2024-03-22||1|0|2|X||2|0|0||0|
25-66-220-1-287C|66559-F3020-4-4T|1|138|2024-04-09||3|0|2|X||2|0|0||0|
25-66-232-1-291C|66559-F6040-6-8T|1|138|2024-04-09||1|0|2|X||2|0|0||0|
25-66-235-1-276C|66559-F8080-2-6T|1|138|2024-04-09||4L|0|2|X|0|2||0||0|
25-67-268-1-048C|67592-F1050-7-5T|1|82|2024-05-14||1|0|2|X||2|0|0||0|
25-67-272-1-033C|67592-F4020-3-4T|1|82|2024-05-14||1|0|2|X||2|0|0||0|
25-67-280-1-029C|67592-F7000-3-0T|1|82|2024-05-14||1|0|2|X||2|0|0||0|
25-68-282-1-084C|68593-F2010-9-7T|1|82|2024-05-14||1|0|2|X||2|0|0||0|
25-69-239-1-157C|69575-F1090-7-3T|1|169|2024-05-03||1|0|2|X||2|0|0||0|
25-69-249-1-158C|69575-F4080-8-6T|1|169|2024-05-03||3|0|2|U||1|0|0||0|
25-71-224-1-129C|71574-F0020-7-4T|1|169|2024-05-06||6A||1||0|||0|||
25-71-229-1-135C|71574-F1010-9-7T|1|169|2024-05-06|coupe récente|1|0|2|X||2|0|0||0|
25-71-234-1-131C|71574-F3000-9-0T|1|169|2024-05-06||7||2||0|||0|||
25-71-240-1-120C|71574-F5090-6-3T|1|169|2024-05-06||6A||2||0|||0|||
25-73-277-1-153C|73585-F3070-9-9T|1|169|2024-05-06||1|0|2|X||2|0|0||0|
25-73-288-1-158C|73586-F6050-2-5T|1|169|2024-05-06||1|0|2|X||2|0|0||0|
25-73-300-1-163C|73586-F9060-5-2T|1|169|2024-05-06||1|4|2|X||2|0|0||0|
25-74-273-1-144C|74585-F3040-6-8T|1|169|2024-05-06||1|0|2|X||2|0|0||0|
25-74-281-1-136C|74585-F6060-5-2T|1|169|2024-05-06||6A||2||0|||0|||
25-76-109-1-065C|76541-F2010-6-7T|1|208|2024-04-19|<auto>|6A||2||0|||0|||
25-76-109-1-067C|76541-F1090-7-3T|1|208|2024-04-19|<auto>|6A||2||0|||0|||
25-76-128-1-068C|76541-F7050-9-5T|1|106|2024-05-21||6A||2||0|||0|||
25-76-129-1-061C|76541-F8050-7-5T|1|106|2024-05-21||1|0|2|X||2|0|0||0|
25-76-131-1-053C|76541-F9090-5-3T|1|106|2024-05-21||6A||2||0|||0|||
25-77-170-1-092C|77553-F7070-0-9T|1|106|2024-05-21|<pb resolu> |1|0|2|X||2|0|0||0|
25-77-182-1-081C|77562-F2040-8-8T|1|106|2024-05-21||6A||2||0|||0|||
25-78-147-1-082C|78552-F1080-5-6T|1|106|2024-05-21||6A||2||0|||0|||
25-78-151-1-092C|78552-F2000-9-0T|1|106|2024-05-21||6A||2||0|||0|||
25-79-110-1-165C|79534-F2040-6-8T|1|101|2024-03-22||9||2|||||0|||
25-79-115-1-174C|79535-F3000-0-0T|1|101|2024-03-22||1|0|2|X||1|0|0||0|
25-79-120-1-172C|79534-F4070-9-9T|1|101|2024-03-22||1|0|2|X||2|0|0||0|
25-80-149-1-040C|80551-F6060-3-2T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-81-195-1-240C|81557-F0040-7-8T|1|138|2024-04-08||1|0|2|X||2|0|0||0|
25-81-200-1-248C|81558-F1010-0-7T|1|138|2024-04-08||6A||2||0|||0|||
25-81-211-1-248C|81558-F4040-1-8T|1|138|2024-04-08||1|0|2|X||2|0|0||0|
25-83-311-1-219C|83588-F7030-3-1T|1|138|2024-04-09||7||2||0|||0|||
25-84-283-1-217C|84577-F9010-9-7T|1|138|2024-04-03||1|0|2|U||1|0|0||0|
25-85-109-1-168C|85534-F1080-7-6T|1|106|2024-05-21||6A||2||0|||0|||
25-86-141-1-182C|86545-F0000-5-0T|1|101|2024-04-03||6H||2||0|||0|||
25-86-142-1-164C|86544-F2010-9-7T|1|101|2024-04-02||6A||2||0|||0|||
25-87-159-1-195C|87546-F4010-0-7T|1|101|2024-04-17||1|0|2|X||2|0|0||0|
25-87-175-1-185C|87545-F9090-9-3T|1|101|2024-04-17||1|0|2|X||2|0|0||0|
25-87-179-1-187C|87556-F0090-0-3T|1|101|2024-04-17||1|0|2|X||2|0|0||0|
25-88-253-1-074C|88583-F4040-3-8T|1|82|2024-05-14||1|0|2|X||2|0|0||0|
25-88-261-1-071C|88583-F7010-3-7T|1|82|2024-05-14||1|0|2|X||2|0|0||0|
25-88-263-1-072C|88583-F7060-4-2T|1|82|2024-05-14||1|0|2|X||2|0|0||0|
25-88-269-1-066C|88593-F0000-3-0T|1|82|2024-05-14||1|0|2|X||2|0|0||0|
25-89-190-1-096C|89563-F3030-4-1T|1|169|2024-05-06||1|0|2|X||2|0|0||0|
25-90-277-1-082C|90593-F0080-8-6T|1|169|2024-05-06||1|0|2|X||2|0|0||0|
25-76-132-1-052C|76551-F0030-5-1T|1|106|2024-05-20|<ctb> auto|6A||2||0|||0|||
20-19-175-1-205C|20-19-0472-0653T|1|101|2024-04-22||3|T|2|X||2|0|0||0|
20-19-195-1-192C|20-19-0545-0634T|1|101|2024-04-22||1|0|2|X||2|0|0||0|
20-21-225-1-097C|20-21-0730-0379T|1|169|2024-05-03||6A||2||0|||0|||
20-21-227-1-096C|20-21-0737-0378T|1|169|2024-05-03||6A||2||0|||0|||
20-58-216-1-119C|20-58-0681-0436T|1|169|2024-05-03||1|0|2|X||2|0|0||0|
20-58-217-1-136C|20-58-0667-0488T|1|169|2024-05-03||1|0|2|X||2|0|0||0|
20-71-242-1-117C|20-71-0761-0456T|1|169|2024-05-03||1|0|2|X||2|0|0||0|
25-01-250-1-150C|01575-F5090-6-3T|1|169|2024-05-02||6A||2||0|||0|||
25-01-251-1-146C|01575-F6060-5-2T|1|169|2024-05-02||6A||2||0|||0|||
25-01-252-1-154C|01575-F6010-7-7T|1|169|2024-05-02||6A||2||0|||0|||
25-01-253-1-148C|01575-F7000-6-0T|1|169|2024-05-02||6A||2||0|||0|||
25-01-261-1-141C|01585-F0010-4-7T|1|169|2024-05-02||1|0|2|X||2|0|0||0|
25-01-265-1-136C|01585-F1080-3-6T|1|169|2024-05-02||1|0|2|X||2|0|0||0|
25-01-266-1-149C|01585-F0080-7-6T|1|169|2024-05-02||6A||2||0|||0|||
25-02-172-1-045C|02561-F3000-7-0T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-02-175-1-032C|02561-F5020-3-4T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-02-176-1-066C|02562-F2010-3-7T|1|106|2024-05-21||6A||2||0|||0|||
25-02-183-1-040C|02561-F6080-6-6T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-03-209-1-155C|03565-F3010-3-7T|1|169|2024-05-03||6A||2||0|||0|||
25-04-288-1-205C|04587-F1080-6-6T|1|138|2024-03-26||4L|5|2|X|0|2||0||0|
25-04-294-1-203C|04587-F3080-6-6T|1|138|2024-03-26||9||2|||||0|||
25-04-294-1-206C|04587-F3050-7-5T|1|138|2024-03-26||1|0|2|X||2|0|0||0|
25-04-303-1-204C|04587-F6040-7-8T|1|138|2024-03-26||1|0|2|X||2|0|0||0|
25-04-307-1-193C|04587-F8070-4-9T|1|138|2024-03-26||8||2|||||0|||
25-04-318-1-201C|04597-F1020-8-4T|1|138|2024-03-26||1|0|2|X||2|0|0||0|
25-05-296-1-189C|05587-F5080-2-6T|1|138|2024-03-27||1|0|2|X||2|0|0||0|
25-05-298-1-188C|05587-F6050-2-5T|1|138|2024-03-27||1|0|2|X||2|0|0||0|
25-05-303-1-179C|05587-F8090-0-3T|1|138|2024-03-27||3|0|2|X||2|0|0||0|
25-06-323-1-211C|06598-F1070-1-9T|1|138|2024-03-27||1|0|2|X||2|0|0||0|
25-06-328-1-207C|06598-F3060-1-2T|1|138|2024-03-27||7||2||0|||0|||
25-06-336-1-199C|06597-F6080-9-6T|1|138|2024-03-27||1|0|2|X||2|0|0||0|
25-07-243-1-205C|07567-F8030-2-1T|1|138|2024-03-27||1|0|2|X||2|0|0||0|
25-07-246-1-206C|07567-F9010-2-7T|1|138|2024-03-27||1|0|2|X||2|0|0||0|
25-07-250-1-192C|07576-F1070-8-9T|1|138|2024-03-27||1|0|2|X||2|0|0||0|
25-07-253-1-201C|07577-F1070-1-9T|1|138|2024-03-27||1|2|2|X||2|0|0||0|
25-07-259-1-200C|07577-F3060-2-2T|1|138|2024-03-27||1|0|2|X||2|0|0||0|
25-07-260-1-203C|07577-F3060-3-2T|1|138|2024-03-27||1|0|2|X||2|0|0||0|
25-07-261-1-200C|07577-F4020-2-4T|1|138|2024-03-27||1|0|2|X||2|0|0||0|
25-08-194-1-038C|08571-F0030-7-1T|1|82|2024-05-14||1|0|2|X||2|0|0||0|
25-08-196-1-028C|08571-F1090-4-3T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-08-197-1-042C|08571-F0080-8-6T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-08-200-1-024C|08571-F3050-3-5T|1|82|2024-05-14||1|R|2|X||2|0|0||0|
25-08-201-1-036C|08571-F2060-7-2T|1|82|2024-05-14||1|0|2|X||2|0|0||0|
25-09-199-1-286C|09549-F7000-2-0T|1|138|2024-03-27||1|0|2|X||2|0|0||0|
25-09-204-1-277C|09548-F9040-9-8T|1|138|2024-03-27||7||2||0|||0|||
25-09-207-1-285C|09549-F9050-2-5T|1|138|2024-03-27||1|0|2|X||2|0|0||U|
25-09-213-1-278C|09559-F2000-1-0T|1|138|2024-03-27||1|0|2|X||2|0|0||0|
25-09-216-1-286C|09559-F2010-3-7T|1|138|2024-03-27||1|0|2|X||2|0|0||0|
25-10-195-1-081C|10563-F6030-0-1T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
25-10-196-1-083C|10563-F6040-0-8T|1|82|2024-05-14|<auto>|6A||2||0|||0|||
