campagne;idp;dep;csa;utip;bois;tform;gest;dist;iti;pentexp;portance;asperite;pro_psg;u_ex_ap_uicn;expl;st_x;st_y;visite;passage
2018;1300408;38;1;X;1;2;0;2;1;2;1;0;1;1;3;928022.3375350689;6475887.161787656;1;1
2018;1300424;9;1;X;1;2;0;3;2;4;NULL;NULL;2;2;3;587967.4225217937;6193057.241867699;1;1
2018;1300430;45;1;X;1;2;2;NULL;0;0;1;0;1;0;0;680537.9588195531;6747777.205911891;1;1
2018;1300445;30;3;X;1;2;0;1;2;0;1;1;3;0;3;746743.9411284408;6305600.692355828;1;1
2018;1300456;4;1;X;1;2;0;3;2;4;NULL;NULL;2;0;3;946866.6116675246;6343851.806280745;1;1
2018;1300471;26;1;X;1;2;0;2;1;3;1;0;1;0;3;875508.87983268;6410399.61572021;1;1
2018;1300475;33;1;X;1;2;2;1;1;0;1;0;2;3;1;430128.936084236;6434120.066848024;1;1
2018;1300480;36;1;X;1;2;1;1;1;0;1;0;2;1;1;543569.8918112307;6620019.608309839;1;1
2018;1300495;62;3;X;1;2;0;NULL;0;0;1;0;2;0;0;692956.6229297495;7035506.77506268;1;1
2018;1300500;36;1;X;1;2;2;2;1;0;1;0;2;0;1;589354.7563592657;6598655.044683307;1;1
2018;1300542;71;1;X;1;2;1;2;1;0;1;0;1;1;1;787638.8788364414;6650941.419735166;1;1
2018;1300558;7;1;X;1;2;0;NULL;0;1;1;0;2;0;1;807204.7796462192;6367025.203240111;1;1
2018;1300569;36;1;X;1;2;1;1;1;0;1;0;2;2;1;565609.1761151702;6626830.640719018;1;1
2018;1300571;19;1;X;1;2;0;1;1;0;1;0;2;1;1;650494.7876015066;6502224.712418856;1;1
2018;1300581;42;1;X;1;2;1;2;1;0;1;0;2;1;1;820094.5164081167;6472814.946746641;1;1
2018;1300584;40;1;X;1;2;0;NULL;0;0;1;0;2;0;0;346937.3012320686;6278957.992278253;1;1
2018;1300590;24;1;X;1;2;0;1;2;0;1;0;2;2;3;472152.6802805341;6441765.699742661;1;1
2018;1300601;45;1;X;1;2;2;NULL;0;0;1;0;2;0;0;686583.9309859966;6753722.14256397;1;1
2018;1300608;11;1;X;1;2;2;2;1;0;1;0;1;0;1;642422.9001259;6254534.116087939;1;1
2018;1300612;15;1;X;1;2;2;NULL;0;1;1;0;1;1;1;672288.9633280763;6480061.330323056;1;1
2018;1300623;52;1;X;1;2;2;NULL;0;0;1;0;4;0;0;890375.6904244303;6745992.590654096;1;1
2018;1300639;21;1;X;1;2;1;1;1;0;1;0;2;0;1;864224.7482761376;6726231.120466417;1;1
2018;1300644;58;1;X;1;2;1;1;1;0;1;0;1;0;1;745877.4681545568;6675277.471580818;1;1
2018;1300650;8;1;X;1;2;2;1;1;1;1;0;4;2;2;834437.111047203;6982328.924124842;1;1
2018;1300664;45;1;X;1;2;2;NULL;0;0;1;0;3;0;0;620751.2811756254;6768266.067400601;1;1
2018;1300679;9;1;X;1;2;0;1;1;1;0;0;2;2;3;604182.201076091;6220891.027331676;1;1
2018;1300690;44;1;X;1;2;2;NULL;0;0;1;0;1;0;0;322616.49659350945;6726759.773720025;1;1
2018;1300714;52;1;X;1;2;2;NULL;0;2;1;0;2;3;3;872852.3854893273;6800105.986617744;1;1
2018;1300732;72;1;X;1;2;2;1;1;1;1;0;1;0;2;452828.38165016496;6763665.4351118095;1;1
2018;1300737;15;1;X;1;2;1;2;1;1;1;2;2;1;3;670307.7214571325;6482076.188371978;1;1
2018;1300742;40;1;X;1;2;2;1;1;0;1;0;2;0;1;429076.0043783897;6306254.981819044;1;1
2018;1300743;48;1;X;1;2;1;NULL;0;1;1;1;2;2;1;751196.3488772884;6359508.678545788;1;1
2018;1300757;36;1;X;1;2;0;1;1;0;1;0;2;0;1;569772.3556077969;6646780.293095282;1;1
2018;1300760;87;3;X;1;2;0;NULL;0;0;1;0;2;0;0;575000.3787083423;6554811.187555959;1;1
2018;1300772;24;1;X;1;2;0;NULL;0;4;NULL;NULL;2;0;3;535939.3745787756;6423254.284156961;1;1
2018;1300780;74;1;X;1;2;1;1;2;3;1;0;2;0;3;922733.0841086507;6557860.709093393;1;1
2018;1300784;68;1;X;1;2;2;NULL;0;0;1;0;4;0;0;1022046.6910646402;6718874.982665727;1;1
2018;1300805;55;1;X;1;2;2;NULL;0;0;1;0;4;1;0;893524.4107558297;6879877.840895146;1;1
2018;1300827;29;1;X;1;2;2;2;2;0;0;0;2;1;3;171572.9958843151;6831909.367278839;1;1
2018;1300847;40;1;X;1;2;2;2;1;0;1;0;4;0;1;383552.4698400747;6358576.2079282245;1;1
2018;1300858;43;1;X;1;2;2;NULL;0;1;1;0;2;0;1;755970.3168131164;6451380.22383784;1;1
2018;1300868;33;1;X;1;2;2;2;1;0;1;0;1;1;1;391724.3581581279;6380487.521091439;1;1
2018;1300877;18;1;X;1;2;2;1;1;0;1;0;2;2;1;646194.6494924682;6704097.619664913;1;1
2018;1300884;56;1;X;1;2;1;NULL;0;0;1;0;2;0;0;264938.5307474341;6761204.642791219;1;1
2018;1300895;70;1;X;1;2;2;1;1;0;1;0;3;0;1;906071.0398720874;6711882.381864953;1;1
2018;1300910;3;1;X;1;2;2;1;1;0;1;0;1;0;1;697461.4170443377;6621728.655705891;1;1
2018;1300915;89;1;X;1;2;0;NULL;0;0;1;0;2;0;0;776345.1257151389;6732976.378121361;1;1
2018;1300920;21;1;X;1;2;2;NULL;0;1;1;0;4;3;1;827605.0338668663;6650600.992543314;1;1
2018;1300921;25;1;X;1;2;2;1;2;1;1;0;2;0;3;945780.2386170937;6681562.94572268;1;1
2018;1300950;71;1;X;1;2;2;1;1;0;1;0;4;0;1;801729.1192721096;6662812.275593476;1;1
2018;1300962;55;1;X;1;2;2;NULL;0;0;1;0;4;0;0;871659.2829214104;6894057.396602414;1;1
2018;1300964;70;1;X;1;2;2;NULL;0;0;1;0;4;0;0;882261.8806551176;6732072.242294564;1;1
2018;1300974;82;1;X;1;2;2;1;1;0;1;0;2;0;1;591199.0010407664;6340873.751961896;1;1
2018;1300991;83;1;X;1;2;1;NULL;0;4;NULL;NULL;2;2;3;971976.7998586153;6243739.935690764;1;1
2018;1301009;51;1;X;1;2;2;1;1;1;1;0;2;0;2;757378.2200564563;6853058.337158791;1;1
2018;1301010;24;1;X;1;2;0;2;1;1;1;0;2;1;2;520552.62993550324;6495315.955894804;1;1
2018;1301016;16;1;X;1;1;1;NULL;0;0;1;0;2;0;0;508762.76817896444;6519392.629846108;1;1
2018;1301020;41;1;X;1;2;1;1;1;0;1;0;1;0;1;562245.2884682635;6702801.072613692;1;1
2018;1301070;46;1;X;1;2;0;NULL;0;0;1;0;2;1;0;587836.9571989346;6416827.798347972;1;1
2018;1301083;1;1;X;1;2;0;1;2;4;NULL;NULL;2;2;3;916566.8176398741;6537930.778940199;1;1
2018;1301084;34;1;X;1;2;0;NULL;0;1;1;0;2;0;1;690401.7810305575;6258126.6838994175;1;1
2018;1301087;88;1;X;1;2;2;NULL;0;2;1;1;2;1;3;986542.6805063847;6773144.065585476;1;1
2018;1301093;26;1;X;1;2;1;1;2;4;NULL;NULL;2;0;3;861318.369251091;6386544.162828094;1;1
2018;1301097;7;1;X;1;2;2;3;1;3;1;0;2;1;3;797708.0348657246;6425050.264477034;1;1
2018;1301099;29;1;X;1;2;0;NULL;0;0;1;0;2;3;0;201535.36502390984;6829670.063802989;1;1
2018;1301137;46;1;X;1;2;1;1;2;0;1;0;1;1;3;599707.8923085206;6402741.990920864;1;1
2018;1301138;58;1;X;1;2;2;NULL;0;1;1;0;3;0;1;714021.8184803856;6689536.426938296;1;1
2018;1301147;23;1;X;1;2;2;1;1;0;1;0;1;2;1;620690.6510079567;6522456.963059923;1;1
2018;1301148;65;1;X;1;2;2;2;1;0;1;0;4;0;1;478591.7088814591;6253900.571505438;1;1
2018;1301159;10;1;X;1;2;2;1;1;0;1;0;1;0;1;794722.4427986508;6778788.27732184;1;1
2018;1301173;33;1;X;1;2;0;1;1;0;1;0;2;0;1;445865.69287644303;6404018.905590891;1;1
2018;1301191;72;1;X;1;2;2;NULL;0;0;1;0;2;0;0;482970.8072892849;6783402.950466818;1;1
2018;1301195;10;5;X;1;2;NULL;1;1;0;1;0;2;0;1;737155.2180267205;6825247.154009346;1;1
2018;1301221;24;1;X;1;2;1;NULL;0;0;1;0;2;0;0;502453.9746981485;6481478.442632724;1;1
2018;1301250;71;1;X;1;2;2;2;1;0;1;0;1;0;1;861507.8000347681;6642317.706632735;1;1
2018;1301253;3;1;X;1;2;2;2;1;0;1;0;3;0;1;675413.2456685437;6613920.840560912;1;1
2018;1301254;15;1;X;1;2;2;1;1;3;1;0;2;2;3;717805.7213048637;6427725.406273655;1;1
2018;1301257;3;1;X;1;2;0;3;1;3;1;1;2;0;3;752888.5637557454;6559310.978588419;1;1
2018;1301266;44;1;X;1;2;2;NULL;0;0;1;0;2;0;0;346516.0660830819;6716571.867672371;1;1
2018;1301274;52;1;X;1;2;0;1;1;0;1;0;2;0;1;910531.95419147;6765805.3485469;1;1
2018;1301287;71;5;X;1;2;NULL;NULL;0;0;1;0;2;0;0;832302.2149066371;6615588.554876971;1;1
2018;1301288;89;1;X;1;2;2;NULL;0;3;1;0;2;3;3;754141.8995555883;6707183.635898286;1;1
2018;1301289;15;1;X;1;2;1;3;1;2;1;0;2;1;3;701737.8191288458;6417870.4863533415;1;1
2018;1301292;2A;1;X;1;2;0;4;2;4;NULL;NULL;4;1;3;1202688.9305231045;6125862.126028783;1;1
2018;1301328;80;1;X;1;2;2;NULL;0;0;1;0;2;0;0;614563.0398087619;6984190.023448752;1;1
2018;1301352;4;1;X;1;2;0;4;2;3;1;1;2;0;3;990594.4991493007;6317500.901126751;1;1
2018;1301376;26;1;X;1;2;2;3;2;2;1;0;2;0;3;858005.8661546282;6466496.799268516;1;1
