"CAMPAGNE";"VISITE";"IDP"
2005;1;1445
2005;1;1446
2005;1;1447
2005;1;1453
2005;1;1464
2005;1;1465
2005;1;1467
2005;1;1485
2005;1;1490
2005;1;1512
2005;1;1518
2005;1;1548
2005;1;1558
2005;1;1559
2005;1;1576
2005;1;1591
2005;1;1592
2005;1;1607
2005;1;1609
2005;1;1616
2005;1;1629
2005;1;1630
2005;1;1649
2005;1;1656
2005;1;1657
2005;1;1659
2005;1;1661
2005;1;1685
2005;1;1696
2005;1;1711
2005;1;1718
2005;1;1723
2005;1;1726
2005;1;1729
2005;1;1755
2005;1;1770
2005;1;1784
2005;1;1788
2005;1;1838
2005;1;1843
2005;1;1846
2005;1;1849
2005;1;1850
2005;1;1856
2005;1;1866
2005;1;1874
2005;1;1884
2005;1;1886
2005;1;1890
2005;1;1891
2005;1;1893
2005;1;1896
2005;1;1901
2005;1;1905
2005;1;1923
2005;1;1924
2005;1;1932
2005;1;1934
2005;1;1941
2005;1;1942
2005;1;1947
2005;1;1948
2005;1;1949
2005;1;1959
2005;1;1972
2005;1;1980
2005;1;1990
2005;1;1993
2005;1;1999
2005;1;2008
2005;1;2016
2005;1;2040
2005;1;2044
2005;1;2052
2005;1;2056
2005;1;2066
2005;1;2070
2005;1;2095
2005;1;2114
2005;1;2122
2005;1;2123
2005;1;2132
2005;1;2136
2005;1;2141
2005;1;2143
2005;1;2153
2005;1;2155
2005;1;2157
2005;1;2159
2005;1;2164
2005;1;2185
2005;1;2226
2005;1;2228
2005;1;2235
2005;1;2243
2005;1;2247
2005;1;2260
2005;1;2261
2005;1;2272
2005;1;2278
2005;1;2283
2005;1;2286
2005;1;2292
2005;1;2299
2005;1;2310
2005;1;2312
2005;1;2319
2005;1;2320
2005;1;2322
2005;1;2324
2005;1;2326
2005;1;2351
2005;1;2359
2005;1;2364
2005;1;2382
2005;1;2383
2005;1;2390
2005;1;2394
2005;1;2418
2005;1;2426
2005;1;2432
2005;1;2436
2005;1;2438
2005;1;2442
2005;1;2445
2005;1;2455
2005;1;2456
2005;1;2461
2005;1;2481
2005;1;2483
2005;1;2494
2005;1;2496
2005;1;2501
2005;1;2502
2005;1;2510
2005;1;2512
2005;1;2525
2005;1;2539
2005;1;2542
2005;1;2547
2005;1;2548
2005;1;2552
2005;1;2553
2005;1;2560
2005;1;2564
2005;1;2566
2005;1;2575
2005;1;2586
2005;1;2595
2005;1;2597
2005;1;2599
2005;1;2612
2005;1;2615
2005;1;2616
2005;1;2618
2005;1;2621
2005;1;2633
2005;1;2653
2005;1;2660
2005;1;2675
2005;1;2677
2005;1;2684
2005;1;2690
2005;1;2695
2005;1;2697
2005;1;2702
2005;1;2709
2005;1;2727
2005;1;2732
2005;1;2740
2005;1;2747
2005;1;2749
2005;1;2762
2005;1;2774
2005;1;2776
2005;1;2785
2005;1;2795
2005;1;2796
2005;1;2797
2005;1;2831
2005;1;2845
2005;1;2846
2005;1;2847
2005;1;2851
2005;1;2866
2005;1;2867
2005;1;2868
2005;1;2889
2005;1;2905
2005;1;2920
2005;1;2922
2005;1;2923
2005;1;2927
2005;1;2928
2005;1;2931
2005;1;2936
2005;1;2953
2005;1;2954
2005;1;2958
2005;1;2961
2005;1;2963
2005;1;2965
2005;1;2973
2005;1;2975
2005;1;2983
2005;1;2986
2005;1;2997
2005;1;3020
2005;1;3033
2005;1;3042
2005;1;3048
2005;1;3065
2005;1;3076
2005;1;3078
2005;1;3089
2005;1;3096
2005;1;3101
2005;1;3107
2005;1;3109
2005;1;3122
2005;1;3133
2005;1;3135
2005;1;3143
2005;1;3149
2005;1;3153
2005;1;3155
2005;1;3173
2005;1;3175
2005;1;3178
2005;1;3189
2005;1;3190
2005;1;3203
2005;1;3225
2005;1;3231
2005;1;3241
2005;1;3251
2005;1;3263
2005;1;3265
2005;1;3274
2005;1;3295
2005;1;3300
2005;1;3302
2005;1;3305
2005;1;3328
2005;1;3340
2005;1;3341
2005;1;3344
2005;1;3346
2005;1;3361
2005;1;3378
2005;1;3395
2005;1;3405
2005;1;3408
2005;1;3436
2005;1;3453
2005;1;3454
2005;1;3456
2005;1;3467
2005;1;3470
2005;1;3491
2005;1;3498
2005;1;3500
2005;1;3510
2005;1;3511
2005;1;3513
2005;1;3527
2005;1;3540
2005;1;3542
2005;1;3555
2005;1;3567
2005;1;3571
2005;1;3574
2005;1;3590
2005;1;3593
2005;1;3608
2005;1;3624
2005;1;3626
2005;1;3640
2005;1;3645
2005;1;3671
2005;1;3672
2005;1;3678
2005;1;3682
2005;1;3686
2005;1;3688
2005;1;3693
2005;1;3697
2005;1;3721
2005;1;3722
2005;1;3728
2005;1;3733
2005;1;3735
2005;1;3769
2005;1;3774
2005;1;3803
2005;1;3804
2005;1;3816
2005;1;3817
2005;1;3830
2005;1;3835
2005;1;3842
2005;1;3843
2005;1;3849
2005;1;3854
2005;1;3857
2005;1;3858
2005;1;3864
2005;1;3868
2005;1;3880
2005;1;3883
2005;1;3930
2005;1;3933
2005;1;3944
2005;1;3973
2005;1;3976
2005;1;4000
2005;1;4009
2005;1;4017
2005;1;4018
2005;1;4034
2005;1;4039
2005;1;4041
2005;1;4051
2005;1;4054
2005;1;4058
2005;1;4060
2005;1;4078
2005;1;4085
2005;1;4095
2005;1;4097
2005;1;4106
2005;1;4110
2005;1;4125
2005;1;4133
2005;1;4139
2005;1;4143
2005;1;4180
2005;1;4185
2005;1;4195
2005;1;4224
2005;1;4234
2005;1;4248
2005;1;4270
2005;1;4271
2005;1;4279
2005;1;4283
2005;1;4300
2005;1;4303
2005;1;4318
2005;1;4331
2005;1;4338
2005;1;4356
2005;1;4357
2005;1;4361
2005;1;4366
2005;1;4369
2005;1;4375
2005;1;4379
2005;1;4383
2005;1;4384
2005;1;4385
2005;1;4404
2005;1;4408
2005;1;4422
2005;1;4424
2005;1;4427
2005;1;4428
2005;1;4430
2005;1;4435
2005;1;4437
2005;1;4442
2005;1;4446
2005;1;4456
2005;1;4461
2005;1;4474
2005;1;4495
2005;1;4498
2005;1;4528
2005;1;4531
2005;1;4536
2005;1;4546
2005;1;4550
2005;1;4558
2005;1;4577
2005;1;4579
2005;1;4580
2005;1;4586
2005;1;4588
2005;1;4593
2005;1;4612
2005;1;4614
2005;1;4615
2005;1;4618
2005;1;4625
2005;1;4633
2005;1;4638
2005;1;4645
2005;1;4654
2005;1;4657
2005;1;4667
2005;1;4671
2005;1;4673
2005;1;4675
2005;1;4677
2005;1;4679
2005;1;4686
2005;1;4701
2005;1;4707
2005;1;4715
2005;1;4716
2005;1;4720
2005;1;4726
2005;1;4740
2005;1;4742
2005;1;4743
2005;1;4760
2005;1;4783
2005;1;4789
2005;1;4793
2005;1;4798
2005;1;4820
2005;1;4827
2005;1;4831
2005;1;4836
2005;1;4841
2005;1;4860
2005;1;4863
2005;1;4866
2005;1;4869
2005;1;4875
2005;1;4876
2005;1;4889
2005;1;4897
2005;1;4926
2005;1;4930
2005;1;4933
2005;1;4938
2005;1;4942
2005;1;4950
2005;1;4960
2005;1;4968
2005;1;4971
2005;1;4981
2005;1;5002
2005;1;5007
2005;1;5008
2005;1;5012
2005;1;5017
2005;1;5022
2005;1;5049
2005;1;5051
2005;1;5058
2005;1;5062
2005;1;5066
2005;1;5067
2005;1;5073
2005;1;5079
2005;1;5083
2005;1;5088
2005;1;5129
2005;1;5148
2005;1;5152
2005;1;5166
2005;1;5180
2005;1;5189
2005;1;5198
2005;1;5209
2005;1;5213
2005;1;5217
2005;1;5222
2005;1;5231
2005;1;5248
2005;1;5261
2005;1;5265
2005;1;5277
2005;1;5282
2005;1;5283
2005;1;5286
2005;1;5327
2005;1;5340
2005;1;5342
2005;1;5354
2005;1;5355
2005;1;5362
2005;1;5364
2005;1;5370
2005;1;5383
2005;1;5386
2005;1;5400
2005;1;5410
2005;1;5412
2005;1;5413
2005;1;5420
2005;1;5424
2005;1;5428
2005;1;5476
2005;1;5479
2005;1;5497
2005;1;5505
2005;1;5506
2005;1;5508
2005;1;5515
2005;1;5535
2005;1;5543
2005;1;5547
2005;1;5548
2005;1;5549
2005;1;5557
2005;1;5558
2005;1;5578
2005;1;5580
2005;1;5600
2005;1;5601
2005;1;5606
2005;1;5607
2005;1;5611
2005;1;5615
2005;1;5655
2005;1;5656
2005;1;5658
2005;1;5674
2005;1;5677
2005;1;5682
2005;1;5696
2005;1;5699
2005;1;5724
2005;1;5735
2005;1;5736
2005;1;5741
2005;1;5742
2005;1;5747
2005;1;5763
2005;1;5775
2005;1;5784
2005;1;5790
2005;1;5795
2005;1;5797
2005;1;5799
2005;1;5805
2005;1;5833
2005;1;5843
2005;1;5845
2005;1;5866
2005;1;5867
2005;1;5869
2005;1;5870
2005;1;5873
2005;1;5876
2005;1;5889
2005;1;5892
2005;1;5897
2005;1;5903
2005;1;5913
2005;1;5934
2005;1;5937
2005;1;5946
2005;1;5961
2005;1;5962
2005;1;5976
2005;1;5983
2005;1;5986
2005;1;5988
2005;1;5994
2005;1;5996
2005;1;5998
2005;1;6011
2005;1;6013
2005;1;6036
2005;1;6083
2005;1;6100
2005;1;6134
2005;1;6138
2005;1;6139
2005;1;6149
2005;1;6161
2005;1;6185
2005;1;6194
2005;1;6197
2005;1;6199
2005;1;6201
2005;1;6205
2005;1;6206
2005;1;6208
2005;1;6209
2005;1;6214
2005;1;6215
2005;1;6230
2005;1;6243
2005;1;6267
2005;1;6286
2005;1;6289
2005;1;6292
2005;1;6294
2005;1;6318
2005;1;6321
2005;1;6323
2005;1;6325
2005;1;6329
2005;1;6330
2005;1;6335
2005;1;6340
2005;1;6362
2005;1;6377
2005;1;6380
2005;1;6384
2005;1;6401
2005;1;6416
2005;1;6419
2005;1;6421
2005;1;6432
2005;1;6433
2005;1;6440
2005;1;6448
2005;1;6456
2005;1;6463
2005;1;6490
2005;1;6494
2005;1;6499
2005;1;6516
2005;1;6518
2005;1;6521
2005;1;6536
2005;1;6537
2005;1;6554
2005;1;6555
2005;1;6559
2005;1;6565
2005;1;6573
2005;1;6575
2005;1;6587
2005;1;6596
2005;1;6600
2005;1;6601
2005;1;6608
2005;1;6614
2005;1;6615
2005;1;6616
2005;1;6617
2005;1;6622
2005;1;6625
2005;1;6631
2005;1;6635
2005;1;6647
2005;1;6662
2005;1;6667
2005;1;6668
2005;1;6677
2005;1;6682
2005;1;6702
2005;1;6744
2005;1;6753
2005;1;6758
2005;1;6763
2005;1;6769
2005;1;6780
2005;1;6786
2005;1;6787
2005;1;6798
2005;1;6822
2005;1;6831
2005;1;6839
2005;1;6841
2005;1;6848
2005;1;6851
2005;1;6855
2005;1;6857
2005;1;6859
2005;1;6867
2005;1;6886
2005;1;6891
2005;1;6897
2005;1;6909
2005;1;6912
2005;1;6922
2005;1;6925
2005;1;6927
2005;1;6936
2005;1;6945
2005;1;6949
2005;1;6958
2005;1;6977
2005;1;6998
2005;1;7021
2005;1;7037
2005;1;7038
2005;1;7047
2005;1;7052
2005;1;7090
2005;1;7096
2005;1;7104
2005;1;7108
2005;1;7109
2005;1;7113
2005;1;7114
2005;1;7116
2005;1;7125
2005;1;7146
2005;1;7152
2005;1;7155
2005;1;7157
2005;1;7158
2005;1;7168
2005;1;7202
2005;1;7221
2005;1;7223
2005;1;7235
2005;1;7273
2005;1;7281
2005;1;7284
2005;1;7288
2005;1;7289
2005;1;7295
2005;1;7299
2005;1;7305
2005;1;7312
2005;1;7319
2005;1;7321
2005;1;7325
2005;1;7326
2005;1;7333
2005;1;7340
2005;1;7359
2005;1;7362
2005;1;7376
2005;1;7379
2005;1;7381
2005;1;7382
2005;1;7392
2005;1;7397
2005;1;7414
2005;1;7415
2005;1;7426
2005;1;7436
2005;1;7449
2005;1;7453
2005;1;7458
2005;1;7474
2005;1;7494
2005;1;7501
2005;1;7502
2005;1;7505
2005;1;7509
2005;1;7511
2005;1;7513
2005;1;7515
2005;1;7528
2005;1;7536
2005;1;7543
2005;1;7546
2005;1;7571
2005;1;7572
2005;1;7581
2005;1;7583
2005;1;7588
2005;1;7589
2005;1;7593
2005;1;7604
2005;1;7615
2005;1;7617
2005;1;7622
2005;1;7624
2005;1;7628
2005;1;7632
2005;1;7635
2005;1;7636
2005;1;7640
2005;1;7641
2005;1;7642
2005;1;7650
2005;1;7654
2005;1;7656
2005;1;7660
2005;1;7666
2005;1;7706
2005;1;7713
2005;1;7724
2005;1;7727
2005;1;7730
2005;1;7742
2005;1;7743
2005;1;7756
2005;1;7757
2005;1;7764
2005;1;7775
2005;1;7777
2005;1;7782
2005;1;7784
2005;1;7814
2005;1;7818
2005;1;7821
2005;1;7828
2005;1;7840
2005;1;7857
2005;1;7868
2005;1;7871
2005;1;7881
2005;1;7885
2005;1;7890
2005;1;7891
2005;1;7899
2005;1;7903
2005;1;7912
2005;1;7919
2005;1;7921
2005;1;7922
2005;1;7924
2005;1;7931
2005;1;7933
2005;1;7940
2005;1;7948
2005;1;7955
2005;1;7964
2005;1;7969
2005;1;7982
2005;1;7992
2005;1;7997
2005;1;8000
2005;1;8028
2005;1;8029
2005;1;8030
2005;1;8035
2005;1;8049
2005;1;8067
2005;1;8068
2005;1;8072
2005;1;8077
2005;1;8081
2005;1;8083
2005;1;8084
2005;1;8098
2005;1;8105
2005;1;8106
2005;1;8129
2005;1;8139
2005;1;8145
2005;1;8150
2005;1;8154
2005;1;8157
2005;1;8167
2005;1;8173
2005;1;8185
2005;1;8191
2005;1;8196
2005;1;8206
2005;1;8207
2005;1;8210
2005;1;8217
2005;1;8219
2005;1;8220
2005;1;8221
2005;1;8224
2005;1;8236
2005;1;8243
2005;1;8244
2005;1;8265
2005;1;8277
2005;1;8295
2005;1;8305
2005;1;8307
2005;1;8318
2005;1;8322
2005;1;8334
2005;1;8347
2005;1;8350
2005;1;8363
2005;1;8378
2005;1;8385
2005;1;8386
2005;1;8428
2005;1;8455
2005;1;8467
2005;1;8468
2005;1;8474
2005;1;8483
2005;1;8486
2005;1;8495
2005;1;8499
2005;1;8503
2005;1;8515
2005;1;8522
2005;1;8526
2005;1;8539
2005;1;8557
2005;1;8565
2005;1;8576
2005;1;8577
2005;1;8583
2005;1;8586
2005;1;8591
2005;1;8604
2005;1;8611
2005;1;8613
2005;1;8619
2005;1;8625
2005;1;8626
2005;1;8636
2005;1;8645
2005;1;8648
2005;1;8653
2005;1;8657
2005;1;8680
2005;1;8688
2005;1;8703
2005;1;8707
2005;1;8710
2005;1;8718
2005;1;8722
2005;1;8726
2005;1;8734
2005;1;8743
2005;1;8748
2005;1;8754
2005;1;8763
2005;1;8770
2005;1;8777
2005;1;8787
2005;1;8794
2005;1;8798
2005;1;8800
2005;1;8817
2005;1;8818
2005;1;8820
2005;1;8824
2005;1;8843
2005;1;8852
2005;1;8857
2005;1;8861
2005;1;8866
2005;1;8867
2005;1;8868
2005;1;8870
2005;1;8881
2005;1;8886
2005;1;8895
2005;1;8905
2005;1;8919
2005;1;8920
2005;1;8921
2005;1;8925
2005;1;8931
2005;1;8932
2005;1;8936
2005;1;8948
2005;1;8955
2005;1;8967
2005;1;8968
2005;1;8976
2005;1;8983
2005;1;8991
2005;1;8995
2005;1;8997
2005;1;8998
2005;1;9010
2005;1;9025
2005;1;9037
2005;1;9068
2005;1;9072
2005;1;9078
2005;1;9100
2005;1;9113
2005;1;9114
2005;1;9116
2005;1;9130
2005;1;9137
2005;1;9151
2005;1;9171
2005;1;9175
2005;1;9203
2005;1;9204
2005;1;9213
2005;1;9220
2005;1;9239
2005;1;9248
2005;1;9250
2005;1;9277
2005;1;9285
2005;1;9288
2005;1;9292
2005;1;9311
2005;1;9323
2005;1;9324
2005;1;9338
2005;1;9340
2005;1;9341
2005;1;9345
2005;1;9347
2005;1;9355
2005;1;9373
2005;1;9385
2005;1;9386
2005;1;9390
2005;1;9391
2005;1;9399
2005;1;9400
2005;1;9412
2005;1;9414
2005;1;9421
2005;1;9426
2005;1;9433
2005;1;9440
2005;1;9443
2005;1;9461
2005;1;9473
2005;1;9480
2005;1;9484
2005;1;9491
2005;1;9495
2005;1;9496
2005;1;9501
2005;1;9522
2005;1;9524
2005;1;9525
2005;1;9528
2005;1;9529
2005;1;9531
2005;1;9544
2005;1;9553
2005;1;9556
2005;1;9558
2005;1;9565
2005;1;9580
2005;1;9589
2005;1;9628
2005;1;9648
2005;1;9649
2005;1;9659
2005;1;9696
2005;1;9698
2005;1;9714
2005;1;9719
2005;1;9723
2005;1;9732
2005;1;9756
2005;1;9760
2005;1;9762
2005;1;9763
2005;1;9772
2005;1;9780
2005;1;9787
2005;1;9791
2005;1;9810
2005;1;9822
2005;1;9824
2005;1;9828
2005;1;9830
2005;1;9831
2005;1;9838
2005;1;9842
2005;1;9843
2005;1;9853
2005;1;9857
2005;1;9859
2005;1;9871
2005;1;9882
2005;1;9925
2005;1;9927
2005;1;9928
2005;1;9931
2005;1;9941
2005;1;9946
2005;1;9947
2005;1;9949
2005;1;9953
2005;1;9962
2005;1;9974
2005;1;9983
2005;1;9985
2005;1;9986
2005;1;9990
2005;1;9993
2005;1;9999
2005;1;10000
2005;1;10002
2005;1;10012
2005;1;10014
2005;1;10017
2005;1;10022
2005;1;10035
2005;1;10052
2005;1;10057
2005;1;10058
2005;1;10079
2005;1;10100
2005;1;10125
2005;1;10129
2005;1;10131
2005;1;10136
2005;1;10140
2005;1;10151
2005;1;10159
2005;1;10160
2005;1;10164
2005;1;10166
2005;1;10176
2005;1;10205
2005;1;10219
2005;1;10226
2005;1;10228
2005;1;10235
2005;1;10267
2005;1;10277
2005;1;10286
2005;1;10290
2005;1;10308
2005;1;10313
2005;1;10316
2005;1;10321
2005;1;10325
2005;1;10328
2005;1;10330
2005;1;10333
2005;1;10337
2005;1;10366
2005;1;10388
2005;1;10393
2005;1;10398
2005;1;10404
2005;1;10405
2005;1;10410
2005;1;10430
2005;1;10442
2005;1;10443
2005;1;10444
2005;1;10446
2005;1;10447
2005;1;10449
2005;1;10457
2005;1;10460
2005;1;10466
2005;1;10469
2005;1;10472
2005;1;10486
2005;1;10491
2005;1;10500
2005;1;10512
2005;1;10537
2005;1;10546
2005;1;10548
2005;1;10550
2005;1;10566
2005;1;10579
2005;1;10580
2005;1;10583
2005;1;10588
2005;1;10590
2005;1;10592
2005;1;10596
2005;1;10608
2005;1;10612
2005;1;10616
2005;1;10621
2005;1;10648
2005;1;10671
2005;1;10682
2005;1;10724
2005;1;10729
2005;1;10733
2005;1;10734
2005;1;10745
2005;1;10749
2005;1;10761
2005;1;10765
2005;1;10768
2005;1;10772
2005;1;10776
2005;1;10789
2005;1;10790
2005;1;10794
2005;1;10808
2005;1;10809
2005;1;10812
2005;1;10815
2005;1;10827
2005;1;10847
2005;1;10864
2005;1;10865
2005;1;10874
2005;1;10878
2005;1;10880
2005;1;10884
2005;1;10889
2005;1;10893
2005;1;10896
2005;1;10903
2005;1;10904
2005;1;10913
2005;1;10919
2005;1;10927
2005;1;10941
2005;1;10966
2005;1;10975
2005;1;10980
2005;1;10982
2005;1;10983
2005;1;10996
2005;1;11000
2005;1;11002
2005;1;11004
2005;1;11014
2005;1;11015
2005;1;11016
2005;1;11021
2005;1;11034
2005;1;11035
2005;1;11049
2005;1;11050
2005;1;11053
2005;1;11056
2005;1;11069
2005;1;11073
2005;1;11075
2005;1;11091
2005;1;11096
2005;1;11103
2005;1;11117
2005;1;11123
2005;1;11125
2005;1;11132
2005;1;11135
2005;1;11137
2005;1;11142
2005;1;11158
2005;1;11162
2005;1;11163
2005;1;11172
2005;1;11180
2005;1;11186
2005;1;11194
2005;1;11201
2005;1;11212
2005;1;11229
2005;1;11251
2005;1;11264
2005;1;11294
2005;1;11299
2005;1;11307
2005;1;11324
2005;1;11329
2005;1;11338
2005;1;11339
2005;1;11343
2005;1;11349
2005;1;11353
2005;1;11355
2005;1;11361
2005;1;11389
2005;1;11408
2005;1;11409
2005;1;11411
2005;1;11412
2005;1;11418
2005;1;11420
2005;1;11426
2005;1;11448
2005;1;11449
2005;1;11458
2005;1;11506
2005;1;11508
2005;1;11516
2005;1;11528
2005;1;11533
2005;1;11539
2005;1;11542
2005;1;11555
2005;1;11557
2005;1;11561
2005;1;11564
2005;1;11565
2005;1;11577
2005;1;11579
2005;1;11589
2005;1;11596
2005;1;11598
2005;1;11603
2005;1;11609
2005;1;11635
2005;1;11636
2005;1;11648
2005;1;11652
2005;1;11653
2005;1;11655
2005;1;11671
2005;1;11673
2005;1;11674
2005;1;11696
2005;1;11700
2005;1;11705
2005;1;11718
2005;1;11719
2005;1;11724
2005;1;11728
2005;1;11741
2005;1;11748
2005;1;11750
2005;1;11751
2005;1;11753
2005;1;11755
2005;1;11760
2005;1;11773
2005;1;11779
2005;1;11802
2005;1;11803
2005;1;11814
2005;1;11816
2005;1;11820
2005;1;11828
2005;1;11835
2005;1;11841
2005;1;11844
2005;1;11846
2005;1;11850
2005;1;11856
2005;1;11857
2005;1;11860
2005;1;11882
2005;1;11888
2005;1;11900
2005;1;11921
2005;1;11946
2005;1;11952
2005;1;11969
2005;1;11977
2005;1;11986
2005;1;11993
2005;1;12016
2005;1;12019
2005;1;12031
2005;1;12045
2005;1;12055
2005;1;12071
2005;1;12072
2005;1;12076
2005;1;12080
2005;1;12085
2005;1;12091
2005;1;12107
2005;1;12113
2005;1;12116
2005;1;12121
2005;1;12122
2005;1;12125
2005;1;12129
2005;1;12148
2005;1;12171
2005;1;12177
2005;1;12179
2005;1;12185
2005;1;12186
2005;1;12197
2005;1;12208
2005;1;12215
2005;1;12218
2005;1;12221
2005;1;12244
2005;1;12258
2005;1;12278
2005;1;12298
2005;1;12316
2005;1;12322
2005;1;12323
2005;1;12346
2005;1;12347
2005;1;12348
2005;1;12368
2005;1;12371
2005;1;12381
2005;1;12384
2005;1;12385
2005;1;12388
2005;1;12394
2005;1;12411
2005;1;12412
2005;1;12430
2005;1;12434
2005;1;12435
2005;1;12439
2005;1;12452
2005;1;12467
2005;1;12483
2005;1;12511
2005;1;12543
2005;1;12566
2005;1;12570
2005;1;12592
2005;1;12600
2005;1;12605
2005;1;12611
2005;1;12617
2005;1;12627
2005;1;12631
2005;1;12645
2005;1;12660
2005;1;12664
2005;1;12667
2005;1;12676
2005;1;12685
2005;1;12686
2005;1;12691
2005;1;12701
2005;1;12703
2005;1;12708
2005;1;12715
2005;1;12716
2005;1;12717
2005;1;12718
2005;1;12721
2005;1;12734
2005;1;12736
2005;1;12737
2005;1;12751
2005;1;12752
2005;1;12754
2005;1;12758
2005;1;12771
2005;1;12778
2005;1;12792
2005;1;12794
2005;1;12795
2005;1;12798
2005;1;12800
2005;1;12816
2005;1;12835
2005;1;12836
2005;1;12838
2005;1;12840
2005;1;12841
2005;1;12845
2005;1;12853
2005;1;12861
2005;1;12881
2005;1;12885
2005;1;12893
2005;1;12899
2005;1;12922
2005;1;12926
2005;1;12928
2005;1;12935
2005;1;12936
2005;1;12955
2005;1;13010
2005;1;13017
2005;1;13022
2005;1;13026
2005;1;13034
2005;1;13042
2005;1;13047
2005;1;13056
2005;1;13060
2005;1;13063
2005;1;13070
2005;1;13071
2005;1;13078
2005;1;13086
2005;1;13091
2005;1;13099
2005;1;13105
2005;1;13111
2005;1;13112
2005;1;13134
2005;1;13136
2005;1;13137
2005;1;13155
2005;1;13160
2005;1;13162
2005;1;13195
2005;1;13196
2005;1;13215
2005;1;13224
2005;1;13234
2005;1;13236
2005;1;13251
2005;1;13254
2005;1;13269
2005;1;13270
2005;1;13288
2005;1;13291
2005;1;13296
2005;1;13314
2005;1;13315
2005;1;13316
2005;1;13318
2005;1;13353
2005;1;13365
2005;1;13375
2005;1;13389
2005;1;13391
2005;1;13396
2005;1;13409
2005;1;13410
2005;1;13429
2005;1;13457
2005;1;13476
2005;1;13486
2005;1;13499
2005;1;13506
2005;1;13524
2005;1;13560
2005;1;13579
2005;1;13585
2005;1;13593
2005;1;13598
2005;1;13604
2005;1;13608
2005;1;13609
2005;1;13620
2005;1;13625
2005;1;13628
2005;1;13637
2005;1;13645
2005;1;13646
2005;1;13648
2005;1;13655
2005;1;13660
2005;1;13665
2005;1;13671
2005;1;13672
2005;1;13675
2005;1;13676
2005;1;13683
2005;1;13686
2005;1;13706
2005;1;13709
2005;1;13714
2005;1;13715
2005;1;13737
2005;1;13744
2005;1;13748
2005;1;13754
2005;1;13756
2005;1;13761
2005;1;13765
2005;1;13788
2005;1;13793
2005;1;13798
2005;1;13827
2005;1;13845
2005;1;13862
2005;1;13863
2005;1;13899
2005;1;13902
2005;1;13914
2005;1;13916
2005;1;13923
2005;1;13932
2005;1;13939
2005;1;13944
2005;1;13946
2005;1;13950
2005;1;13955
