"dir";"type_point";"npp";"nph";"type_res";"nom_site"
DIRCE;nouveau;"25-38-276-1-181T";"252761181";réserve naturelle nationale;Hauts Plateaux Du Vercors
DIRCE;nouveau;"25-38-276-1-183T";"252761183";réserve naturelle nationale;Hauts Plateaux Du Vercors
DIRCE;nouveau;"25-38-279-1-160T";"252791160";réserve naturelle nationale;Hauts De Chartreuse
DIRCE;nouveau;"25-38-279-1-164T";"252791164";réserve naturelle nationale;Hauts De Chartreuse
DIRCE;nouveau;"25-63-197-1-184T";"251971184";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-63-199-1-184T";"251991184";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-63-200-1-181T";"252001181";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;nouveau;"25-63-201-1-186T";"252011186";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;nouveau;"25-63-202-1-185T";"252021185";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;nouveau;"25-63-202-1-187T";"252021187";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;nouveau;"25-63-203-1-186T";"252031186";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;nouveau;"25-63-203-1-188T";"252031188";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;nouveau;"25-63-204-1-189T";"252041189";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;nouveau;"25-63-206-1-185T";"252061185";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;nouveau;"25-63-208-1-185T";"252081185";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;nouveau;"25-73-283-1-152T";"252831152";réserve nationale de chasse et faune sauvage;Les Bauges
DIRCE;nouveau;"25-74-291-1-132T";"252911132";réserve naturelle nationale;Sixt-Fer-à-Cheval-Passy
DIRCE;nouveau;"25-74-293-1-142T";"252931142";réserve naturelle nationale;Contamines-Montjoie
DIRCE;nouveau;"25-74-295-1-134T";"252951134";réserve naturelle nationale;Aiguilles Rouges
DIRCE;visite2;"20-01-271-1-131T";"202711131";réserve naturelle nationale;Haute Chaîne du Jura
DIRCE;visite2;"20-01-271-1-135T";"202711135";réserve naturelle nationale;Haute Chaîne du Jura
DIRCE;visite2;"20-01-272-1-130T";"202721130";réserve naturelle nationale;Haute Chaîne du Jura
DIRCE;visite2;"20-01-273-1-127T";"202731127";réserve naturelle nationale;Haute Chaîne du Jura
DIRCE;visite2;"20-03-215-1-139T";"202151139";réserve naturelle régionale;Val de Loire Bourbonnais
DIRCE;visite2;"20-07-262-1-192T";"202621192";réserve naturelle régionale;Réseau de grottes à chauves-souris en Drôme et en Ardèche (grottes de Baume Sourde et de Meysset)
DIRCE;visite2;"20-15-197-1-199T";"201971199";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;visite2;"20-15-198-1-196T";"201981196";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;visite2;"20-15-198-1-204T";"201981204";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;visite2;"20-15-199-1-201T";"201991201";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;visite2;"20-15-199-1-203T";"201991203";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;visite2;"20-15-199-1-205T";"201991205";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;visite2;"20-15-199-1-207T";"201991207";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;visite2;"20-15-200-1-202T";"202001202";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;visite2;"20-15-200-1-204T";"202001204";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;visite2;"20-15-201-1-193T";"202011193";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;visite2;"20-15-201-1-195T";"202011195";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;visite2;"20-15-201-1-201T";"202011201";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;visite2;"20-15-201-1-205T";"202011205";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;visite2;"20-15-201-1-209T";"202011209";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;visite2;"20-15-202-1-188T";"202021188";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;visite2;"20-15-203-1-189T";"202031189";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;visite2;"20-15-203-1-193T";"202031193";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;visite2;"20-15-203-1-195T";"202031195";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;visite2;"20-15-203-1-203T";"202031203";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;visite2;"20-15-204-1-190T";"202041190";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;visite2;"20-15-204-1-208T";"202041208";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;visite2;"20-15-205-1-189T";"202051189";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;visite2;"20-15-205-1-201T";"202051201";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;visite2;"20-15-205-1-207T";"202051207";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;visite2;"20-15-206-1-192T";"202061192";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;visite2;"20-15-207-1-189T";"202071189";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;visite2;"20-15-207-1-197T";"202071197";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;visite2;"20-15-207-1-203T";"202071203";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;visite2;"20-15-208-1-190T";"202081190";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;visite2;"20-15-208-1-200T";"202081200";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;visite2;"20-15-208-1-202T";"202081202";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;visite2;"20-15-208-1-206T";"202081206";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;visite2;"20-15-208-1-210T";"202081210";réserve biosphère;Bassin de la Dordogne (zone de transition)
DIRCE;visite2;"20-15-209-1-189T";"202091189";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;visite2;"20-15-209-1-191T";"202091191";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;visite2;"20-15-209-1-197T";"202091197";réserve biosphère;Bassin de la Dordogne (zone tampon)
DIRCE;visite2;"20-15-209-1-201T";"202091201";réserve biosphère;Bassin de la Dordogne (zone tampon)
