"dir";"type_point";"npp";"nph";"nom";"type_reserve"
DIRNE;nouveau;"25-52-225-1-084T";"252251084";Réserve intégrale d'Arc-Châteauvillain;integrale PN
DIRNE;nouveau;"25-52-227-1-084T";"252271084";Réserve intégrale d'Arc-Châteauvillain;integrale PN
DIRNE;visite2;"20-52-228-1-084T";"202281084";Réserve intégrale d'Arc-Châteauvillain;integrale PN
DIRNE;visite2;"20-52-229-1-083T";"202291083";Réserve intégrale d'Arc-Châteauvillain;integrale PN
