"NPP","A","Type de correction","MORTB_NEW","MA_NEW","MORTB_OLD","MA_OLD"
"24-40-127-1-275T",4,"correction code EM",0,"1",2,2
"24-40-127-1-275T",5,"correction code EM",0,"0",2,2
"24-40-127-1-275T",6,"correction code EM",0,"0",2,2
"24-40-127-1-275T",7,"correction code EM",0,"0",2,2
"24-40-127-1-275T",8,"correction code EM",0,"0",3,3
"24-40-127-1-275T",9,"correction code EM",0,"0",2,2
"24-40-127-1-275T",10,"correction code EM",0,"1",2,2
"24-40-127-1-275T",11,"correction code EM",0,"0",2,2
"24-40-127-1-275T",12,"correction code EM",0,"0",1,1
"24-40-127-1-275T",13,"correction code EM",0,"0",1,1
"24-40-129-1-253T",1,"correction code EM",0,"0",2,2
"24-40-129-1-253T",3,"correction code EM",0,"0",1,2
"24-40-129-1-253T",5,"correction code EM",0,"0",1,2
"24-40-129-1-253T",6,"correction code EM",0,"0",1,3
"24-40-129-1-253T",7,"correction code EM",0,"0",1,2
"24-40-129-1-253T",8,"correction code EM",0,"0",1,2
"24-40-129-1-253T",10,"correction code EM",0,"0",1,2
"24-40-129-1-253T",12,"correction code EM",0,"0",1,2
"24-40-129-1-257T",2,"correction code EM",0,"0",1,1
"24-40-129-1-257T",6,"correction code EM",0,"0",1,2
"24-40-129-1-265T",1,"correction code EM",0,"1",1,1
"24-40-129-1-265T",2,"correction code EM",0,"0",1,1
"24-40-129-1-265T",3,"correction code EM",0,"0",1,2
"24-40-129-1-265T",5,"correction code EM",0,"0",2,2
"24-40-129-1-265T",6,"correction code EM",0,"1",2,3
"24-40-129-1-265T",7,"correction code EM",0,"2",1,2
"24-40-129-1-273T",1,"correction code EM",0,"1",1,2
"24-40-129-1-273T",3,"correction code EM",0,"1",2,3
"24-40-131-1-261T",2,"correction code EM",0,"2",1,3
"24-40-131-1-261T",3,"correction code EM",0,"1",2,3
"24-40-131-1-261T",4,"correction code EM",0,"0",1,3
"24-40-131-1-261T",7,"correction code EM",0,"1",1,4
"24-40-131-1-261T",8,"correction code EM",0,"2",1,1
"24-40-131-1-271T",1,"correction code EM",0,"0",2,3
"24-40-131-1-271T",2,"correction code EM",0,"0",1,2
"24-40-131-1-271T",3,"correction code EM",0,"1",2,3
"24-40-131-1-271T",4,"correction code EM",0,"0",1,2
"24-40-131-1-271T",5,"correction code EM",0,"0",1,2
"24-40-131-1-271T",6,"correction code EM",0,"1",1,2
"24-40-131-1-271T",7,"correction code EM",0,"1",2,3
"24-40-131-1-271T",8,"correction code EM",0,"1",1,2
"24-40-131-1-271T",9,"correction code EM",0,"2",2,3
"24-40-133-1-249T",1,"correction code EM",0,"0",1,1
"24-40-133-1-249T",4,"correction code EM",0,"0",2,2
"24-40-133-1-249T",5,"correction code EM",0,"1",2,2
"24-40-133-1-249T",6,"correction code EM",0,"0",2,2
"24-40-133-1-249T",17,"correction code EM",0,"1",2,2
"24-40-133-1-249T",18,"correction code EM",0,"0",1,1
"24-40-133-1-269T",1,"correction code EM",0,"0",2,2
"24-40-133-1-269T",2,"correction code EM",0,"2",2,2
"24-40-133-1-269T",3,"correction code EM",0,"1",2,2
"24-40-135-1-265T",1,"correction code EM",0,"0",2,2
"24-40-135-1-265T",2,"correction code EM",0,"0",2,2
"24-40-135-1-265T",3,"correction code EM",0,"1",2,2
"24-40-135-1-265T",4,"correction code EM",0,"1",2,2
"24-40-135-1-265T",7,"correction code EM",0,"0",2,2
"24-40-135-1-269T",1,"correction code EM",0,"2",1,1
"24-40-135-1-269T",3,"correction code EM",0,"2",1,1
"24-40-135-1-269T",5,"correction code EM",0,"0",1,1
"24-40-135-1-269T",6,"correction code EM",0,"0",1,1
"24-40-137-1-247T",1,"correction code EM",0,"0",1,1
"24-40-137-1-247T",2,"correction code EM",0,"0",1,1
"24-40-137-1-247T",5,"correction code EM",0,"0",1,1
"24-40-137-1-247T",6,"correction code EM",0,"2",1,1
"24-40-137-1-247T",8,"correction code EM",0,"2",1,1
"24-40-137-1-247T",9,"correction code EM",0,"2",1,1
"24-40-139-1-249T",1,"correction code EM",0,"0",0,1
"24-40-139-1-249T",2,"correction code EM",0,"0",1,1
"24-40-139-1-249T",5,"correction code EM",0,"0",1,1
"24-40-139-1-249T",6,"correction code EM",0,"0",1,1
"24-40-139-1-249T",7,"correction code EM",0,"0",1,1
"24-40-139-1-249T",8,"correction code EM",0,"0",1,1
"24-40-139-1-249T",9,"correction code EM",0,"2",1,1
"24-40-139-1-251T",1,"correction code EM",0,"0",0,1
"24-40-139-1-251T",2,"correction code EM",0,"0",1,1
"24-40-139-1-251T",3,"correction code EM",0,"0",2,2
"24-40-139-1-251T",4,"correction code EM",0,"1",1,1
"24-40-139-1-251T",5,"correction code EM",0,"0",1,1
"24-40-139-1-251T",7,"correction code EM",0,"0",1,2
"24-40-139-1-251T",8,"correction code EM",0,"1",1,1
"24-40-139-1-251T",9,"correction code EM",0,"1",1,1
"24-40-139-1-251T",10,"correction code EM",0,"2",1,1
"24-40-139-1-259T",15,"correction code EM",0,"0",2,2
"24-40-139-1-259T",18,"correction code EM",0,"1",2,2
"24-40-139-1-259T",19,"correction code EM",0,"0",2,2
"24-40-141-1-261T",1,"correction code EM",0,"1",2,2
"24-40-141-1-261T",2,"correction code EM",0,"0",2,2
"24-40-141-1-261T",4,"correction code EM",0,"0",1,1
"24-40-141-1-261T",6,"correction code EM",0,"0",1,1
"24-40-141-1-261T",8,"correction code EM",0,"0",1,1
"24-40-141-1-261T",9,"correction code EM",0,"0",1,1
"24-40-141-1-261T",10,"correction code EM",0,"0",2,1
"24-40-141-1-261T",11,"correction code EM",0,"0",2,2
"24-40-141-1-261T",12,"correction code EM",0,"0",1,1
"24-40-141-1-261T",14,"correction code EM",0,"0",1,1
"24-64-137-1-279T",6,"correction code EM",0,"0",1,2
"24-40-121-1-249Z",1,"correction terrain SB",0,"0",2,2
"24-40-121-1-249Z",2,"correction terrain SB",0,"1",2,3
"24-40-121-1-249Z",3,"correction terrain SB",0,"0",2,2
"24-40-121-1-249Z",4,"correction terrain SB",0,"1",2,3
"24-40-121-1-249Z",6,"correction terrain SB",0,"0",2,2
"24-40-121-1-249Z",7,"correction terrain SB",0,"1",2,3
"24-40-121-1-249Z",8,"correction terrain SB",0,"1",2,2
"24-40-121-1-249Z",9,"correction terrain SB",0,"2",2,3
"24-40-121-1-249Z",10,"correction terrain SB",0,"1",2,3
"24-40-121-1-249Z",11,"correction terrain SB",0,"0",2,3
"24-40-121-1-249Z",12,"correction terrain SB",0,"1",2,3
"24-40-121-1-249Z",13,"correction terrain SB",0,"2",3,3
"24-40-121-1-249Z",14,"correction terrain SB",0,"1",2,3
"24-40-123-1-259Z",1,"correction terrain SB",0,"0",1,1
"24-40-123-1-259Z",2,"correction terrain SB",0,"0",1,1
"24-40-123-1-259Z",4,"correction terrain SB",0,"0",1,2
"24-40-123-1-259Z",5,"correction terrain SB",0,"0",1,1
"24-40-123-1-259Z",6,"correction terrain SB",0,"0",1,1
"24-40-123-1-267Z",4,"correction terrain SB",0,"0",2,4
"24-40-123-1-267Z",5,"correction terrain SB",0,"0",2,3
"24-40-123-1-267Z",6,"correction terrain SB",0,"1",3,3
"24-40-123-1-267Z",9,"correction terrain SB",0,"0",2,2
"24-40-123-1-267Z",10,"correction terrain SB",0,"0",2,3
"24-40-123-1-267Z",11,"correction terrain SB",0,"0",2,3
"24-40-123-1-267Z",14,"correction terrain SB",0,"1",3,4
"24-40-125-1-261Z",1,"correction terrain SB",0,"0",2,3
"24-40-125-1-261Z",2,"correction terrain SB",0,"0",1,2
"24-40-125-1-261Z",3,"correction terrain SB",0,"0",2,2
"24-40-125-1-261Z",4,"correction terrain SB",0,"0",2,3
"24-40-125-1-261Z",5,"correction terrain SB",0,"0",2,2
"24-40-125-1-261Z",6,"correction terrain SB",0,"0",2,3
"24-40-125-1-265Z",2,"correction terrain SB",0,"0",1,1
"24-40-125-1-265Z",3,"correction terrain SB",0,"1",2,3
"24-40-125-1-265Z",7,"correction terrain SB",0,"0",2,2
"24-40-125-1-279Z",2,"correction terrain SB",0,"0",0,0
"24-40-126-1-270Z",1,"correction terrain SB",0,"1",2,3
"24-40-126-1-270Z",2,"correction terrain SB",0,"0",2,1
"24-40-126-1-270Z",3,"correction terrain SB",0,"0",2,2
"24-40-126-1-270Z",4,"correction terrain SB",0,"0",1,2
"24-40-126-1-270Z",5,"correction terrain SB",0,"1",1,2
"24-40-126-1-270Z",6,"correction terrain SB",0,"1",1,2
"24-40-126-1-270Z",7,"correction terrain SB",0,"1",1,2
"24-40-126-1-270Z",8,"correction terrain SB",0,"1",1,2
"24-40-126-1-270Z",9,"correction terrain SB",0,"1",1,2
"24-40-126-1-270Z",10,"correction terrain SB",0,"0",1,2
"24-40-126-1-270Z",11,"correction terrain SB",0,"0",1,2
"24-40-126-1-270Z",12,"correction terrain SB",0,"0",1,2
"24-40-127-1-251Z",1,"correction terrain SB",0,"0",2,3
"24-40-127-1-251Z",2,"correction terrain SB",0,"1",2,3
"24-40-127-1-251Z",3,"correction terrain SB",0,"1",2,3
"24-40-127-1-251Z",4,"correction terrain SB",0,"0",2,3
"24-40-127-1-251Z",5,"correction terrain SB",0,"0",2,3
"24-40-127-1-251Z",6,"correction terrain SB",0,"0",2,3
"24-40-127-1-251Z",7,"correction terrain SB",0,"0",2,2
"24-40-127-1-251Z",8,"correction terrain SB",0,"0",2,3
"24-40-127-1-255Z",2,"correction terrain SB",0,"0",2,2
"24-40-127-1-255Z",4,"correction terrain SB",0,"1",2,2
"24-40-127-1-277Z",1,"correction terrain SB",0,"1",3,3
"24-40-127-1-277Z",2,"correction terrain SB",0,"0",2,2
"24-40-129-1-261Z",1,"correction terrain SB",0,"1",2,2
"24-40-129-1-261Z",2,"correction terrain SB",0,"1",2,3
"24-40-129-1-261Z",3,"correction terrain SB",0,"1",2,3
"24-40-129-1-261Z",4,"correction terrain SB",0,"0",2,2
"24-40-129-1-261Z",5,"correction terrain SB",0,"0",2,2
"24-40-129-1-261Z",6,"correction terrain SB",0,"0",2,2
"24-40-129-1-261Z",7,"correction terrain SB",0,"0",1,2
"24-40-129-1-261Z",8,"correction terrain SB",0,"0",1,2
"24-40-129-1-261Z",9,"correction terrain SB",0,"0",1,2
"24-40-129-1-263Z",1,"correction terrain SB",0,"0",1,2
"24-40-129-1-263Z",2,"correction terrain SB",0,"0",1,2
"24-40-129-1-263Z",3,"correction terrain SB",0,"0",1,2
"24-40-129-1-263Z",4,"correction terrain SB",0,"0",1,2
"24-40-129-1-263Z",5,"correction terrain SB",0,"1",1,2
"24-40-129-1-263Z",6,"correction terrain SB",0,"0",1,2
"24-40-129-1-263Z",7,"correction terrain SB",0,"0",1,2
"24-40-129-1-263Z",8,"correction terrain SB",0,"0",1,2
"24-40-129-1-263Z",9,"correction terrain SB",0,"1",1,2
"24-40-129-1-263Z",10,"correction terrain SB",0,"0",1,2
"24-40-129-1-263Z",11,"correction terrain SB",0,"0",1,2
"24-40-129-1-263Z",12,"correction terrain SB",0,"1",1,3
"24-40-129-1-263Z",13,"correction terrain SB",0,"0",1,2
"24-40-129-1-263Z",14,"correction terrain SB",0,"1",1,3
"24-40-129-1-269Z",5,"correction terrain SB",0,"1",1,2
"24-40-129-1-269Z",7,"correction terrain SB",0,"1",2,2
"24-40-129-1-269Z",10,"correction terrain SB",0,"0",1,2
"24-40-131-1-251Z",1,"correction terrain SB",0,"1",1,3
"24-40-131-1-251Z",2,"correction terrain SB",0,"0",1,3
"24-40-131-1-251Z",3,"correction terrain SB",0,"0",1,3
"24-40-131-1-251Z",4,"correction terrain SB",0,"0",1,3
"24-40-131-1-251Z",5,"correction terrain SB",0,"1",1,3
"24-40-131-1-251Z",6,"correction terrain SB",0,"1",1,3
"24-40-131-1-251Z",7,"correction terrain SB",0,"0",1,3
"24-40-131-1-251Z",8,"correction terrain SB",0,"2",1,3
"24-40-131-1-251Z",9,"correction terrain SB",0,"0",1,3
"24-40-131-1-251Z",10,"correction terrain SB",0,"0",1,3
"24-40-131-1-251Z",11,"correction terrain SB",0,"0",1,3
"24-40-131-1-263Z",2,"correction terrain SB",0,"0",2,2
"24-40-131-1-263Z",3,"correction terrain SB",0,"0",2,2
"24-40-131-1-263Z",4,"correction terrain SB",0,"0",3,3
"24-40-131-1-263Z",5,"correction terrain SB",0,"0",2,2
"24-40-131-1-263Z",6,"correction terrain SB",0,"0",2,2
"24-40-131-1-263Z",7,"correction terrain SB",0,"0",2,2
"24-40-131-1-273Z",1,"correction terrain SB",0,"0",1,2
"24-40-131-1-273Z",2,"correction terrain SB",0,"1",2,3
"24-40-131-1-273Z",3,"correction terrain SB",0,"1",2,3
"24-40-131-1-273Z",4,"correction terrain SB",0,"1",1,2
"24-40-131-1-273Z",5,"correction terrain SB",0,"2",2,3
"24-40-131-1-273Z",6,"correction terrain SB",0,"0",2,3
"24-40-131-1-273Z",7,"correction terrain SB",0,"0",1,2
"24-40-131-1-273Z",8,"correction terrain SB",0,"0",1,2
"24-40-131-1-273Z",9,"correction terrain SB",0,"2",1,2
"24-40-131-1-273Z",10,"correction terrain SB",0,"1",1,2
"24-40-131-1-273Z",11,"correction terrain SB",0,"0",1,2
"24-40-131-1-273Z",12,"correction terrain SB",0,"2",2,3
"24-40-133-1-265Z",1,"correction terrain SB",0,"1",2,2
"24-40-133-1-265Z",2,"correction terrain SB",0,"1",2,2
"24-40-133-1-265Z",3,"correction terrain SB",0,"0",2,2
"24-40-133-1-265Z",4,"correction terrain SB",0,"1",2,2
"24-40-133-1-265Z",5,"correction terrain SB",0,"0",2,2
"24-40-133-1-265Z",6,"correction terrain SB",0,"0",3,3
"24-40-133-1-265Z",7,"correction terrain SB",0,"1",2,2
"24-40-133-1-265Z",8,"correction terrain SB",0,"0",2,2
"24-40-133-1-265Z",10,"correction terrain SB",0,"1",2,2
"24-40-133-1-265Z",11,"correction terrain SB",0,"0",2,2
"24-40-135-1-253Z",1,"correction terrain SB",0,"0",2,2
"24-40-135-1-253Z",2,"correction terrain SB",0,"1",2,2
"24-40-135-1-253Z",4,"correction terrain SB",0,"1",2,2
"24-40-135-1-253Z",6,"correction terrain SB",0,"0",2,2
"24-40-135-1-253Z",8,"correction terrain SB",0,"1",2,2
"24-40-136-1-276Z",2,"correction terrain SB",0,"1",1,2
"24-40-143-1-261Z",1,"correction terrain SB",0,"0",2,2
"24-40-143-1-261Z",4,"correction terrain SB",0,"1",2,2
"24-40-143-1-261Z",5,"correction terrain SB",0,"0",3,3
"24-40-143-1-261Z",6,"correction terrain SB",0,"2",2,2
"24-40-143-1-261Z",7,"correction terrain SB",0,"0",2,2
"24-40-143-1-261Z",10,"correction terrain SB",0,"1",1,1
"24-40-143-1-261Z",11,"correction terrain SB",0,"1",2,2
"24-40-143-1-261Z",12,"correction terrain SB",0,"2",1,1
"24-40-143-1-261Z",13,"correction terrain SB",0,"0",2,2
