"dir","type_point","npp","nph","type_res","nom_site"
"DIRNE","nouveau","26-57-258-1-045T","262581045","réserve biosphère","Moselle sud (zone tampon)"
"DIRNE","nouveau","26-57-259-1-038T","262591038","réserve biosphère","Moselle sud (zone tampon)"
"DIRNE","nouveau","26-57-259-1-040T","262591040","réserve biosphère","Moselle sud (zone tampon)"
"DIRNE","nouveau","26-57-259-1-042T","262591042","réserve biosphère","Moselle sud (zone tampon)"
"DIRNE","nouveau","26-57-259-1-046T","262591046","réserve biosphère","Moselle sud (zone tampon)"
"DIRNE","nouveau","26-57-261-1-044T","262611044","réserve biosphère","Moselle sud (zone de transition)"
"DIRNE","nouveau","26-57-263-1-038T","262631038","réserve biosphère","Moselle sud (zone de transition)"
"DIRNE","nouveau","26-57-263-1-040T","262631040","réserve biosphère","Moselle sud (zone tampon)"
"DIRNE","nouveau","26-57-263-1-046T","262631046","réserve biosphère","Moselle sud (zone tampon)"
"DIRNE","nouveau","26-57-264-1-027T","262641027","réserve biosphère","Vosges du Nord (zone tampon)"
"DIRNE","nouveau","26-57-264-1-031T","262641031","réserve biosphère","Vosges du Nord (zone de transition)"
"DIRNE","nouveau","26-57-264-1-047T","262641047","réserve biosphère","Moselle sud (zone tampon)"
"DIRNE","nouveau","26-57-265-1-032T","262651032","réserve biosphère","Vosges du Nord (zone de transition)"
"DIRNE","nouveau","26-57-265-1-044T","262651044","réserve biosphère","Moselle sud (zone tampon)"
"DIRNE","nouveau","26-57-265-1-048T","262651048","réserve biosphère","Moselle sud (zone tampon)"
"DIRNE","nouveau","26-57-266-1-029T","262661029","réserve biosphère","Vosges du Nord (zone tampon)"
"DIRNE","nouveau","26-57-266-1-041T","262661041","réserve biosphère","Moselle sud (zone tampon)"
"DIRNE","nouveau","26-57-266-1-045T","262661045","réserve biosphère","Moselle sud (zone tampon)"
"DIRNE","nouveau","26-57-267-1-026T","262671026","réserve biosphère","Vosges du Nord (zone tampon)"
"DIRNE","nouveau","26-57-267-1-028T","262671028","réserve biosphère","Vosges du Nord (zone de transition)"
"DIRNE","nouveau","26-57-267-1-030T","262671030","réserve biosphère","Vosges du Nord (zone de transition)"
"DIRNE","nouveau","26-57-267-1-040T","262671040","réserve biosphère","Moselle sud (zone tampon)"
"DIRNE","nouveau","26-57-267-1-044T","262671044","réserve biosphère","Moselle sud (zone tampon)"
"DIRNE","nouveau","26-57-267-1-046T","262671046","réserve biosphère","Moselle sud (zone centrale)"
"DIRNE","nouveau","26-57-267-1-048T","262671048","réserve biosphère","Moselle sud (zone tampon)"
"DIRNE","nouveau","26-57-268-1-027T","262681027","réserve biosphère","Vosges du Nord (zone de transition)"
"DIRNE","nouveau","26-57-268-1-031T","262681031","réserve biosphère","Vosges du Nord (zone de transition)"
"DIRNE","nouveau","26-57-268-1-043T","262681043","réserve biosphère","Moselle sud (zone tampon)"
