"dir","type_point","npp","nph","nom","type_reserve"
"DIRNE","nouveau","26-52-227-1-084T",262271084,"Réserve intégrale d'Arc-Châteauvillain","integrale PN"
"DIRNE","visite2","21-52-227-1-084T",212271084,"Réserve intégrale d'Arc-Châteauvillain","integrale PN"
