"npp";"xl";"yl";"geom"
"24-56-055-1-153T";213430.99106693253;2300140.1334776785;POINT (213430.99106693253 2300140.1334776785)
"24-56-057-1-153T";218752.37694090168;2298785.7388841854;POINT (218752.37694090168 2298785.7388841854)
"24-83-309-1-237T";891462.4701572601;1794194.8617226887;POINT (891462.4701572601 1794194.8617226887)
"24-83-318-1-233T";921843.0073039623;1797285.4980892134;POINT (921843.0073039623 1797285.4980892134)
"24-2A-340-1-236T";1114565.9572666385;1723617.2199900323;POINT (1114565.9572666385 1723617.2199900323)
