OBJECTID,DEP,DEPB,CYCCARTE,TFIFN,FAO2,NUM_DEP,ZPOPCODE,CODE_ONF,FREQUENCY,SUM_Shape_Area
1,01,01,3,00,0,01,1,,1,2822864856.218572100000000
2,01,01,3,00,0,01,1,1O,1,523707.075377003000000
3,01,01,3,00,0,01,1,2M,1,14459352.644668402000000
4,01,01,3,00,0,01,1,2O,1,19857170.658318073000000
5,01,01,3,00,0,01,2,,1,1030750114.068107700000000
6,01,01,3,00,0,01,2,1O,1,26596.889450116607000
7,01,01,3,00,0,01,2,2M,1,692761.430283643770000
8,01,01,3,00,0,01,2,2O,1,1594570.814557225000000
9,01,01,3,00,0,38,1,,1,8.293067826649057
10,01,01,3,00,0,38,2,,1,24.633543968408674
11,01,01,3,00,0,38,2,2O,1,0.616021156607133
12,01,01,3,00,0,39,1,,1,169.162382064865800
13,01,01,3,00,0,39,1,2O,1,1.676154349475195
14,01,01,3,00,0,39,2,,1,53.459306312492203
15,01,01,3,00,0,69,1,,1,19.022521048046578
16,01,01,3,00,0,69,2,,1,20.694664683964437
17,01,01,3,00,0,71,1,,1,17.703755132634573
18,01,01,3,00,0,71,2,,1,37.963126778309331
19,01,01,3,00,0,73,1,,1,0.255449810356708
20,01,01,3,00,0,73,2,,1,4.141287271193603
21,01,01,3,CVM,1,01,1,,1,6945175.764884295900000
22,01,01,3,CVM,1,01,1,2O,1,17001655.794378214000000
23,01,01,3,CVM,1,39,1,,1,11.296509235910889
24,01,01,3,CWG,1,01,1,,1,62560471.658207491000000
25,01,01,3,CWG,1,01,1,1O,1,8597265.437384989100000
26,01,01,3,CWG,1,01,1,2O,1,97048533.239698887000000
27,01,01,3,CWG,1,01,2,,1,586140.549621794260000
28,01,01,3,CWG,1,39,1,,1,51.537133566438669
29,01,01,3,CWG,1,39,1,2O,1,7.616270457824364
30,01,01,3,CWJ,1,01,1,,1,35517598.544070683000000
31,01,01,3,CWJ,1,01,1,1O,1,1106611.554672011400000
32,01,01,3,CWJ,1,01,1,2O,1,33068031.523270272000000
33,01,01,3,CWJ,1,01,2,,1,2414694.481169705300000
34,01,01,3,CWJ,1,01,2,2O,1,587965.596538111450000
35,01,01,3,CWJ,1,39,1,,1,5.883736043771625
36,01,01,3,CWJ,1,39,1,2O,1,1.079648207682619
37,01,01,3,FW,1,01,1,,1,107129342.709948820000000
38,01,01,3,FW,1,01,1,1O,1,7557513.698219976400000
39,01,01,3,FW,1,01,1,2O,1,161747588.725072210000000
40,01,01,3,FW,1,01,2,,1,164457.340318902510000
41,01,01,3,FW,1,01,2,2O,1,630001.243365356350000
42,01,01,3,FW,1,39,1,,1,16.101226546757761
43,01,01,3,FW,1,39,1,2O,1,2.228547591307347
44,01,01,3,HA,1,01,1,,1,119843353.990235160000000
45,01,01,3,HA,1,01,1,1O,1,7056441.078245337100000
46,01,01,3,HA,1,01,1,2M,1,470045.406250000000000
47,01,01,3,HA,1,01,1,2O,1,13149173.109804709000000
48,01,01,3,HA,1,01,2,,1,41685133.718252800000000
49,01,01,3,HA,1,01,2,1O,1,3205163.509696128300000
50,01,01,3,HA,1,01,2,2O,1,4835381.155297363200000
51,01,01,3,HA,1,39,1,,1,6.850243765644905
52,01,01,3,HA,1,39,1,2O,1,7.665705964286475
53,01,01,3,HA,1,71,1,,1,0.303749935701489
54,01,01,3,HA,1,71,2,,1,0.537879417320012
55,01,01,3,HH,1,01,1,,1,108066145.532291830000000
56,01,01,3,HH,1,01,1,1O,1,2228973.841778073000000
57,01,01,3,HH,1,01,1,2O,1,65758725.354346298000000
