"npp","a","pds.ana","pds.syn","w.ana","w.syn","wac.ana","wac.syn"
"18-05-306-1-179T",1,1,1,88.4096084915425,88.4096084915425,88.4096084915425,88.4096084915425
"18-05-306-1-179T",2,1,1,88.4100961407569,88.4100961407569,88.4100961407569,88.4100961407569
"18-05-306-1-179T",3,1,1,88.3893723105263,88.3893723105263,88.3893723105263,88.3893723105263
"18-05-306-1-179T",4,1,1,88.4156480704279,88.4156480704279,88.4156480704279,88.4156480704279
"18-05-306-1-179T",5,1,1,88.413511391023,88.413511391023,88.413511391023,88.413511391023
"18-05-306-1-179T",6,1.23298260346826,1.23297382224433,48.4430427361507,48.4426977278718,40.9164448860569,40.916188783936
"18-05-306-1-179T",7,1.21748595482824,1.21747724382152,47.8341900157442,47.8338477662512,40.9164448860569,40.916188783936
"18-05-306-1-179T",8,1.06619697027949,1.06618966765905,94.2398327472962,94.2391872776989,88.3887643411636,88.3887643411636
"18-05-306-1-179T",9,1.1059191994312,1.10591119145525,43.4530668421625,43.4527521979152,40.918571464492,40.9183153490606
"18-05-306-1-179T",10,1.16638521026873,1.16637668209615,45.826801689215,45.8264666207741,40.9167350267355,40.9164789227985
"18-05-306-1-179T",11,1.34981447727595,1.34980592299999,19.0920339165475,19.0919129232337,18.2226492108694,18.2223836009881
"18-07-262-1-205T",1,1,1,88.4121366751881,88.4121366751881,88.4121366751881,88.4121366751881
"18-07-262-1-205T",2,1,1,88.4151749787596,88.4151749787596,88.4151749787596,88.4151749787596
"18-07-262-1-205T",3,1,1,88.4070392785804,88.4070392785804,88.4070392785804,88.4070392785804
"18-07-262-1-205T",4,1,1,88.4149446244519,88.4149446244519,88.4149446244519,88.4149446244519
"18-07-262-1-205T",5,1,1,88.4141809739823,88.4141809739823,88.4141809739823,88.4141809739823
"18-07-262-1-205T",6,1,1,88.4081239935608,88.4081239935608,88.4081239935608,88.4081239935608
"18-07-262-1-205T",7,1,1,88.4129627436496,88.4129627436496,88.4129627436496,88.4129627436496
"18-07-262-1-205T",8,1,1,88.4070392785804,88.4070392785804,88.4070392785804,88.4070392785804
"18-07-262-1-205T",9,1,1,88.3988482386822,88.3988482386822,88.3988482386822,88.3988482386822
"18-07-262-1-205T",10,1,1,88.4138139586554,88.4138139586554,88.4138139586554,88.4138139586554
"18-07-262-1-205T",11,1,1,88.4085439545816,88.4085439545816,88.4085439545816,88.4085439545816
"18-07-262-1-205T",12,1,1,88.415077001828,88.415077001828,88.415077001828,88.415077001828
"18-09-206-1-271T",1,1,1,88.4108505148331,88.4108505148331,88.4108505148331,88.4108505148331
"18-09-206-1-271T",2,1,1,88.3991332941386,88.3991332941386,88.3991332941386,88.3991332941386
"18-11-207-1-268T",1,1,1,88.4141085659714,88.4141085659714,88.4141085659714,88.4141085659714
"18-11-207-1-268T",2,1,1,14.1420503034075,14.1420503034075,14.1420503034075,14.1420503034075
"18-11-207-1-268T",3,1,1,88.4149779053809,88.4149779053809,88.4149779053809,88.4149779053809
"18-11-238-1-267T",1,1,1,88.4150440940692,88.4150440940692,88.4150440940692,88.4150440940692
"18-12-207-1-230T",1,1,1,39.2896926179481,39.2896926179481,39.2896926179481,39.2896926179481
"18-12-207-1-230T",2,1,1,88.4116171557011,88.4116171557011,88.4116171557011,88.4116171557011
"18-12-207-1-230T",3,1,1,88.4054371335868,88.4054371335868,88.4054371335868,88.4054371335868
"18-12-207-1-230T",4,1,1,88.3924028942817,88.3924028942817,88.3924028942817,88.3924028942817
"18-12-207-1-230T",5,1,1,88.3928923433503,88.3928923433503,88.3928923433503,88.3928923433503
"18-12-207-1-230T",6,1,1,88.3885895181032,88.3885895181032,88.3885895181032,88.3885895181032
"18-12-207-1-230T",7,1,1,88.3951173158244,88.3951173158244,88.3951173158244,88.3951173158244
"18-12-207-1-230T",8,1,1,88.3891992258516,88.3891992258516,88.3891992258516,88.3891992258516
"18-12-207-1-230T",9,1,1,39.2883239461421,39.2883239461421,39.2883239461421,39.2883239461421
"18-12-207-1-230T",10,1,1,88.4153992378871,88.4153992378871,88.4153992378871,88.4153992378871
"18-16-145-1-214T",1,1,1,39.2880887089451,39.2880887089451,39.2880887089451,39.2880887089451
"18-16-145-1-214T",2,1,1,39.2880240379415,39.2880240379415,39.2880240379415,39.2880240379415
"18-16-145-1-214T",3,1,1,39.2869364792086,39.2869364792086,39.2869364792086,39.2869364792086
"18-16-145-1-214T",4,1,1,39.2881745933495,39.2881745933495,39.2881745933495,39.2881745933495
"18-16-145-1-214T",5,1,1,39.288472096292,39.288472096292,39.288472096292,39.288472096292
"18-16-145-1-214T",6,1,1,39.2874543035846,39.2874543035846,39.2874543035846,39.2874543035846
"18-16-146-1-192T",1,1,1,88.4152073889543,88.4152073889543,88.4152073889543,88.4152073889543
"18-16-146-1-192T",2,1,1,88.4158294702329,88.4158294702329,88.4158294702329,88.4158294702329
"18-16-146-1-192T",3,1,1,88.4139990210876,88.4139990210876,88.4139990210876,88.4139990210876
"18-16-146-1-192T",4,1,1,88.414324297405,88.414324297405,88.414324297405,88.414324297405
"18-16-146-1-192T",5,1,1,88.4159772158229,88.4159772158229,88.4159772158229,88.4159772158229
"18-16-153-1-188T",1,1,1,39.2909510900627,39.2909510900627,39.2909510900627,39.2909510900627
"18-17-138-1-215T",1,1,1,88.4159479155004,88.4159479155004,88.4159479155004,88.4159479155004
"18-17-138-1-215T",2,1,1,88.4153675740467,88.4153675740467,88.4153675740467,88.4153675740467
"18-17-138-1-215T",3,1,1,88.4153992378871,88.4153992378871,88.4153992378871,88.4153992378871
"18-17-138-1-215T",4,1,1,88.4137765730278,88.4137765730278,88.4137765730278,88.4137765730278
"18-17-138-1-215T",5,1,1,88.4132792414394,88.4132792414394,88.4132792414394,88.4132792414394
"18-17-138-1-215T",6,1,1,88.4152073889543,88.4152073889543,88.4152073889543,88.4152073889543
"18-17-138-1-215T",7,1,1,88.4131614875749,88.4131614875749,88.4131614875749,88.4131614875749
"18-17-138-1-215T",8,1,1,88.4139253692571,88.4139253692571,88.4139253692571,88.4139253692571
"18-18-174-1-131T",1,1.15095446215133,1.15094604123127,101.761575036376,101.760830501195,88.4149446244519,88.4149446244519
"18-18-193-1-132T",1,1,1,88.4144304839385,88.4144304839385,88.4144304839385,88.4144304839385
"18-18-193-1-132T",2,1,1,88.4129627436496,88.4129627436496,88.4129627436496,88.4129627436496
"18-18-193-1-132T",3,1,1,88.4158294702329,88.4158294702329,88.4158294702329,88.4158294702329
"18-18-193-1-132T",4,1,1,88.4149779053809,88.4149779053809,88.4149779053809,88.4149779053809
"18-18-193-1-132T",5,1,1,88.4125145622713,88.4125145622713,88.4125145622713,88.4125145622713
"18-22-032-1-117T",1,1,1,88.4135496473013,88.4135496473013,88.4135496473013,88.4135496473013
"18-22-032-1-117T",2,1,1,88.4143952128121,88.4143952128121,88.4143952128121,88.4143952128121
"18-22-032-1-117T",3,1,1,88.4133182439772,88.4133182439772,88.4133182439772,88.4133182439772
"18-22-032-1-117T",4,1,1,88.4147763539705,88.4147763539705,88.4147763539705,88.4147763539705
"18-26-286-1-201T",1,1,1,88.403549649925,88.403549649925,88.403549649925,88.403549649925
"18-29-018-1-150T",1,1,1,88.4114844776729,88.4114844776729,88.4114844776729,88.4114844776729
"18-29-020-1-134T",1,1,1,14.1281965986089,14.1281965986089,14.1804002303271,14.1803538730056
"18-29-028-1-137T",1,1,1,88.4098538704812,88.4098538704812,88.4098538704812,88.4098538704812
"18-29-028-1-137T",2,1,1,88.393857827374,88.393857827374,88.393857827374,88.393857827374
"18-30-260-1-233T",1,1,1,88.4159184907798,88.4159184907798,88.4159184907798,88.4159184907798
"18-30-260-1-233T",2,1,1,88.41200847423,88.41200847423,88.41200847423,88.41200847423
"18-30-260-1-233T",3,1,1,88.4125145622713,88.4125145622713,88.4125145622713,88.4125145622713
"18-30-266-1-223T",1,1,1,88.4155246493126,88.4155246493126,104.132457136869,104.131698226137
"18-30-266-1-223T",2,1,1,88.4156174017416,88.4156174017416,104.132566377168,104.131807465639
"18-30-266-1-223T",3,1,1,88.4145355510055,88.4145355510055,104.131292214335,104.130533312092
"18-30-266-1-223T",4,1.05928530830471,1.05927819976797,93.6560323976329,93.6554039009083,104.131085241831,104.130326341097
"18-30-266-1-223T",5,1.16782684076758,1.16781831465509,103.253839389303,103.253085549933,104.132272139569,104.131513230184
"18-30-266-1-223T",6,1.36659127325643,1.366582785937,120.827926827689,120.827176416626,104.13249369681,104.13173478581
"18-30-266-1-223T",7,1.417673658027,1.41766545987358,125.343105401116,125.342380564337,104.131414639874,104.130655736739
"18-31-189-1-268T",1,1,1,88.406591468232,88.406591468232,88.406591468232,88.406591468232
"18-31-189-1-268T",2,1,1,39.2903825115593,39.2903825115593,39.2903825115593,39.2903825115593
"18-31-189-1-268T",3,1,1,88.4156786147188,88.4156786147188,88.4156786147188,88.4156786147188
"18-31-194-1-252T",1,1,1,88.4121791601097,88.4121791601097,88.4121791601097,88.4121791601097
"18-31-194-1-252T",2,1,1,88.4151424441735,88.4151424441735,88.4151424441735,88.4151424441735
"18-35-067-1-114T",1,1.75052618087788,1.75052165293834,24.7162619755085,24.7161980440226,22.537924919704,22.5378333357526
"18-35-067-1-114T",2,1.67810728772474,1.67810181961744,23.7200198931836,23.7199426015736,22.5629080701969,22.5628163847252
"18-35-067-1-114T",3,1.76243505695535,1.76243082946751,24.92882198431,24.9287621884659,22.5781514524094,22.5780597049955
"18-35-067-1-114T",4,1.74557308339364,1.74556848848994,24.6908447315967,24.690779737438,22.5786338266175,22.5785420772434
"18-35-067-1-114T",5,1.41305023473311,1.41304205468117,124.934805283121,124.93408204401,109.900683452777,109.899907065375
"18-35-067-1-114T",6,1.83625016679487,1.8362470688693,25.9540590977068,25.9540153107845,22.5617711325041,22.5616794516524
"18-35-067-1-114T",7,1.50021036048304,1.50020281520518,132.641745278728,132.641078159735,109.90124637705,109.900469985671
"18-35-079-1-141T",1,1.35952934128456,1.35952057275639,53.4033442266922,53.4029997922515,39.2807588663249,39.2807588663249
"18-35-079-1-141T",2,1.07970518116629,1.07969761290819,95.4612881743899,95.4606190327752,88.4142169914133,88.4142169914133
"18-35-088-1-117T",1,1,1,88.4153992378871,88.4153992378871,88.4153992378871,88.4153992378871
"18-35-088-1-117T",2,1,1,88.4159772158229,88.4159772158229,88.4159772158229,88.4159772158229
"18-35-088-1-117T",3,1,1,88.4156786147188,88.4156786147188,88.4156786147188,88.4156786147188
"18-35-088-1-117T",4,1,1,88.4134345053346,88.4134345053346,88.4134345053346,88.4134345053346
"18-39-252-1-105T",1,1,1,88.4159772158229,88.4159772158229,88.4159772158229,88.4159772158229
"18-39-252-1-105T",2,1,1,88.415303873187,88.415303873187,88.415303873187,88.415303873187
