npp,id,id_massif,surf_ilot_bdforet_ha
23-34-242-1-245T,88765.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,2253.360000000000127
23-34-243-1-246T,87950.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,51.609999999999999
23-34-244-1-237T,87488.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,18597.720000000001164
23-34-244-1-239T,87488.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,18597.720000000001164
23-34-244-1-247T,90694.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,99.599999999999994
23-34-245-1-240T,88698.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,53.700000000000003
23-34-245-1-242T,91092.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,22.960000000000001
23-34-246-1-229T,96079.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,634.000000000000000
23-34-246-1-231T,90799.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,882.080000000000041
23-34-246-1-235T,87488.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,18597.720000000001164
23-34-246-1-237T,88264.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,7080.220000000000255
23-34-246-1-239T,91635.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,0.980000000000000
23-34-248-1-229T,90787.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1454.619999999999891
23-34-248-1-233T,90827.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1802.500000000000000
23-34-248-1-235T,88264.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,7080.220000000000255
23-34-248-1-237T,90311.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,982.809999999999945
23-34-250-1-231T,90660.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,4237.630000000000109
23-34-250-1-233T,90856.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,288.680000000000007
23-34-250-1-235T,90264.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,113.370000000000005
23-34-250-1-237T,90983.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,3701.360000000000127
23-34-250-1-241T,87846.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,3886.929999999999836
23-34-252-1-233T,89652.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,218.750000000000000
23-34-252-1-239T,89078.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,73.480000000000004
23-34-254-1-231T,94325.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,181.090000000000003
23-34-254-1-233T,88220.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1034.150000000000091
23-34-256-1-235T,89089.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,349.819999999999993
23-34-257-1-232T,95075.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,37.450000000000003
23-34-258-1-235T,414797.000000000000000,44cc2bd8-c175-48d1-bd0f-f1e8a15c2dbf-000002,44.939999999999998
23-81-217-1-240T,35779.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1173.589999999999918
23-81-218-1-243T,34102.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,0.640000000000000
23-81-219-1-240T,166423.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1087.609999999999900
23-81-219-1-244T,33968.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,2971.750000000000000
23-81-220-1-241T,35847.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,601.299999999999955
23-81-224-1-245T,36509.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,2425.550000000000182
23-81-230-1-243T,166571.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,4906.159999999999854
23-11-222-1-257T,171931.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,814.269999999999982
23-11-222-1-259T,172400.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,3620.289999999999964
23-11-222-1-261T,172400.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,3620.289999999999964
23-11-224-1-257T,172213.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,4908.149999999999636
23-11-224-1-259T,172213.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,4908.149999999999636
