5020;6.325;93;10
9372;3.85;NA;34.25
9373;3;0;25.25
9379;3.4;33;22.75
3406;8.5;100;10
3407;5.6;70;10
3478;4.95;43;22.25
3453;6.15;90;11.25
3482;NA;NA;18.75
3487;6.3;100;10
3493;7.075;100;10
3484;6.25;87;14.25
0680;6.325;78;13.25
3499;6.25;86;10
3506;8.5;100;40
3508;8.5;100;10
3512;6.975;100;10
0393;4.45;47;40
4797;4.5;9;NA
3518;3;24;32
3526;6.475;100;10
3527;5.9;78;15.25
3528;6.675;100;11
3529;6.75;100;10
4832;4.1;0;27
3290;5.675;64;NA
3541;8.5;NA;NA
3544;8.5;100;NA
3543;7.7;100;NA
3549;3.925;26;NA
3551;4.25;43;38
3546;5.75;NA;NA
3548;4.65;40;NA
3550;NA;NA;40
3555;7.5;100;10
3554;6.1;100;NA
3556;6.725;88;15.75
3561;6.6;100;10
1782;6.525;100;10
5038;6.675;100;NA
3590;6.275;100;12.25
3563;6.25;100;13
3612;8.5;100;40
9397;NA;NA;15.5
3627;3;NA;40
9398;3;0;23.25
9380;7.05;NA;NA
3637;6.875;100;12.25
3640;7.45;NA;10
3641;6.825;84;10
3643;7.35;100;10
3647;8.5;100;10
0063;7.1;100;10
3664;6.5;100;10
3665;7.6;100;10
3677;6.85;100;NA
3679;8.1;100;NA
3684;6.3;100;14.25
3692;8.5;NA;NA
3693;7.125;98;NA
3696;8.5;100;NA
3698;NA;NA;17.25
3707;6.175;100;10
3710;6.375;100;NA
3716;4.75;54;24.25
3720;6.325;79;10
3731;5.8;68;12
3735;7.275;100;NA
3742;6.15;100;13.25
4833;5;NA;NA
3772;4.95;NA;NA
3773;5.7;61;NA
3815;8.325;100;10
3816;NA;NA;17
3818;8.5;100;10
3820;6.55;100;10
3882;6.375;100;NA
3906;6.725;100;10
3910;6.125;100;10
3937;6;NA;12.25
9374;3;40;33.75
5072;6.375;NA;NA
3975;5.95;82;10
3986;6.25;NA;10.25
4017;8.275;NA;NA
5028;5.4;NA;NA
4080;6.9;71;NA
4091;7.95;100;NA
2738;5.55;53;10.25
4141;7.425;NA;NA
4128;6.9;NA;16.5
4323;4.35;NA;31.75
4184;8.5;NA;NA
4187;6.725;73;10
4198;6.15;NA;NA
4204;6.05;NA;24.75
4214;8.5;NA;NA
4215;3;0;28.75
4217;6.55;100;16.5
4222;6.25;83;20
4278;6.15;85;10
4282;6.925;100;10
4283;8.5;NA;10
4297;5.55;73;10
4298;5.125;NA;NA
4299;5.125;57;10
4320;6.325;79;NA
4326;8.5;100;10
4328;6.6;100;10
4339;7.35;100;10
1099;7.25;100;NA
4343;7.525;100;10
4345;8.425;NA;NA
4355;8.5;100;NA
4366;4.75;45;22.75
4368;7.7;100;10
4375;8.5;100;10
9405;6.875;100;10
9406;5.475;NA;19.5
4412;8.5;100;10.25
4413;8.5;100;10
4415;6.525;90;10
4417;7.65;100;10
4476;6.875;NA;10
4478;7.15;100;10
4529;6.95;100;NA
4559;4.225;22;40
4560;3.4;9;35.25
4561;6.175;NA;NA
4564;7.05;100;10.25
4563;7.5;100;10
4562;7.375;100;10
4572;6.7;100;10
4583;3;0;30.75
4584;3;NA;30.25
4585;3;NA;31.5
4589;6;NA;10
4591;7.05;100;NA
4592;6.175;100;10
4596;NA;NA;40
4611;NA;NA;11.5
4635;6.15;77;10
4644;6.15;100;10
4646;5.575;NA;NA
4642;6.525;100;NA
4659;8.475;100;10
4660;6.675;100;10
4661;8.5;100;NA
4670;7.075;94;NA
4690;6.65;100;10
4697;NA;NA;10
4699;8.5;100;10
4700;7.875;100;NA
4703;6.55;100;NA
4716;8.225;100;10
4720;7.125;100;11
4722;8.5;100;10
4731;6.5;100;10
4728;5.65;64;10
5037;5.65;NA;10
9381;5.625;69;NA
