"npp","incref","dep","u_cha_zone","u_cha_strate"
"21-38-267-1-178T",16,"38",1,"FEU_H2"
"21-38-268-1-157T",16,"38",0,"FEU_H4"
"21-38-268-1-159T",16,"38",0,"FEU_H4"
"21-38-268-1-171T",16,"38",1,"FEU_H4"
"21-38-268-1-173T",16,"38",1,"FEU_H3"
"21-38-269-1-164T",16,"38",0,"CHT_TT"
"21-38-269-1-170T",16,"38",1,"FEU_H2"
"21-38-270-1-165T",16,"38",0,"FEU_H4"
"21-38-270-1-173T",16,"38",1,"FEU_H4"
"21-38-270-1-177T",16,"38",0,"FEU_H4"
"21-38-271-1-168T",16,"38",0,"CHT_TT"
"21-38-271-1-170T",16,"38",1,"FEU_H3"
"21-38-271-1-174T",16,"38",0,"FEU_H4"
"21-38-271-1-176T",16,"38",0,"FEU_H4"
"21-38-272-1-163T",16,"38",0,"FEU_H1"
"21-38-272-1-167T",16,"38",0,"FEU_H2"
"21-38-273-1-164T",16,"38",0,"FEU_H4"
"21-38-277-1-168T",16,"38",0,"FEU_H3"
"21-38-278-1-169T",16,"38",0,"MIX_TT"
"21-38-279-1-172T",16,"38",0,"FEU_H4"
"21-38-280-1-171T",16,"38",0,"FEU_H4"
"21-38-281-1-162T",16,"38",0,"FEU_H4"
"21-38-281-1-164T",16,"38",0,"FEU_H1"
"21-38-283-1-162T",16,"38",0,"FEU_H4"
