npp;idp;a;campagne;espar;ess;fr;c13;d13;htot;hdec;gtot;ir5;typdom;age13;clad;ori;lib;gest;dc;sver;lign1;lign2;clexpo;cai40;cailloux;htext;text1;text2;prof1;prof2;pent2;affroc;humus;roche;topo;pro_nm;xl;yl;zp;regn;ser_86;greco
05587-15090-0-2T;605994;5;2016;37;37;F;0.260;0.008276057040778557;5.0;2.4;0.005379437076506062;0.00240;0;45;8;0;1;0;0;3;1;4;2;4;4;;0;4;;4;70;2;99;210;4;1;950350;6408689;1718;55;H41;H
06597-10080-6-5R;672139;2;2016;52;52;R;0.670;0.021326762374313978;14.1;11.2;0.03572232697697591;0.01100;0;26;21;1;2;0;0;4;6;8;2;4;4;;0;6;;4;40;0;45;407;2;4;1000258;6345498;1113;62;H41;H
06597-10080-6-5R;672139;3;2016;52;52;R;0.270;0.008594366926962348;6.3;3.1;0.005801197675699586;0.00380;;;9;1;1;0;0;4;6;8;2;4;4;;0;6;;4;40;0;45;407;2;4;1000258;6345498;1113;62;H41;H
06597-10080-6-5R;672139;7;2016;52;52;R;0.700;0.02228169203286535;11.7;9.2;0.03899296105751436;0.01240;0;26;22;1;2;0;0;4;6;8;2;4;4;;0;6;;4;40;0;45;407;2;4;1000258;6345498;1113;62;H41;H
06597-10080-6-5R;672139;9;2016;52;52;R;0.880;0.028011269984173578;11.9;8.3;0.061624793965181876;0.02180;;;28;1;2;0;0;4;6;8;2;4;4;;0;6;;4;40;0;45;407;2;4;1000258;6345498;1113;62;H41;H
06597-15090-9-2R;636176;1;2016;5;5;F;0.520;0.016552114081557115;12.0;7.2;0.021517748306024247;0.00540;0;60;17;1;2;1;0;3;6;4;2;3;3;;0;7;;4;70;1;45;310;4;4;1049560;6318087;606;64;J24;J
06597-15090-9-2R;636176;2;2016;5;5;F;0.240;0.007639437268410976;5.2;2.0;0.0045836623610465855;0.00180;;;8;0;2;1;0;3;6;4;2;3;3;;0;7;;4;70;1;45;310;4;4;1049560;6318087;606;64;J24;J
06598-14090-0-2R;619446;1;2016;51;51;R;1.340;0.042653524748627956;16.6;14.6;0.14288930790790363;0.00350;1;80;43;1;2;0;0;4;4;8;4;3;3;;0;2;;5;47;0;55;338;5;4;1039448;6307988;139;67;J24;J
06598-14090-0-2R;619446;2;2016;57A;57;R;1.510;0.048064792813752394;17.8;13.3;0.18144459287191528;0.01150;0;97;48;1;2;0;0;4;4;8;4;3;3;;0;2;;5;47;0;55;338;5;4;1039448;6307988;139;67;J24;J
06598-14090-0-2R;619446;3;2016;28;28;F;0.340;0.010822536130248884;4.8;1.7;0.009199155710711551;0.01200;;;11;1;2;0;0;4;4;8;4;3;3;;0;2;;5;47;0;55;338;5;4;1039448;6307988;139;67;J24;J
08571-12070-8-8R;610940;1;2016;17C;17;F;1.620;0.05156620156177409;17.0;2.1;0.20884311632518507;0.01370;0;48;52;1;2;0;0;4;0;6;;0;0;;0;9;;9;0;0;55;330;8;4;824032;6923499;94;105;B51;B
08571-15010-9-6R;676976;1;2016;25M;25;F;0.260;0.008276057040778557;6.7;1.4;0.005379437076506062;0.01820;0;12;8;0;2;2;0;3;10;8;4;0;1;;7;9;2;6;10;0;55;330;9;1;847583;6915191;190;555;C12;C
08571-25010-5-6R;649523;1;2016;62;62;R;0.290;0.00923098669932993;4.9;2.4;0.0066924653570141985;0.02010;0;11;9;1;2;0;0;5;4;10;4;0;0;;5;7;4;9;5;0;50;230;4;4;848091;6955413;187;81;C20;C
09549-16070-1-8R;605522;1;2016;10;10;F;0.760;0.02419155134996809;14.0;3.3;0.04596394756493938;0.03620;0;17;24;0;2;0;0;4;7;9;1;1;3;;0;4;;6;56;0;31;110;3;4;557063;6196405;773;94;I21;I
09549-16070-1-8R;605522;9;2016;10;10;F;0.330;0.010504226244065093;9.6;5.0;0.0086659866513537;0.04350;;;11;2;2;0;0;4;7;9;1;1;3;;0;4;;6;56;0;31;110;3;4;557063;6196405;773;94;I21;I
10563-38010-1-6R;625275;1;2016;25FR;25;F;0.250;0.007957747154594767;5.2;1.5;0.0049735919716217296;0.01210;;;8;1;1;0;0;4;8;6;;3;3;;0;6;;4;0;0;55;381;0;4;777060;6795854;116;105;B51;B
10563-38010-1-6R;625275;2;2016;25FR;25;F;0.730;0.023236621691416718;8.2;1.5;0.042406834586835515;0.02670;;;23;1;2;0;0;4;8;6;;3;3;;0;6;;4;0;0;55;381;0;4;777060;6795854;116;105;B51;B
12-01-247-2-143R;738154;6;2017;14;14;F;0.317;0.010090423392026164;9.7;4.3;0.007996660538180735;0.03950;0;6;10;1;2;2;0;6;0;10;4;X;X;1;;7;;9;13;X;55;408;1;4;848971;6571856;204;17;C51;C
12-01-247-2-143R;738154;8;2017;14;14;F;0.385;0.012254930618075942;9.8;2.4;0.011795370719898094;0.04420;0;6;12;0;2;2;0;6;0;10;4;X;X;1;;7;;9;13;X;55;408;1;4;848971;6571856;204;17;C51;C
12-02-170-3-030R;770035;1;2017;17C;17;F;0.372;0.011841127766037013;6.4;2.8;0.011012248822414424;0.02190;0;14;12;0;2;0;0;;1;3;;0;3;1;;6;;7;0;X;55;911;0;4;734525;6988495;148;25;B22;B
12-02-170-3-030R;770035;2;2017;17C;17;F;0.267;0.008498873961107212;6.6;2.1;0.005672998369039064;0.01630;0;13;9;0;2;0;0;;1;3;;0;3;1;;6;;7;0;X;55;911;0;4;734525;6988495;148;25;B22;B
12-02-176-4-046R;732335;2;2017;21C;21;F;0.266;0.008467042972488832;9.9;3.5;0.005630583576705073;0.00990;0;11;9;0;2;1;0;4;10;10;3;0;0;2;5;9;2;9;8;X;40;330;4;4;735641;6933952;70;23;B41;B
12-02-176-4-046R;732335;3;2017;21C;21;F;0.303;0.009644789551368858;9.6;3.0;0.00730592808516191;0.00980;0;11;10;0;2;1;0;4;10;10;3;0;0;2;5;9;2;9;8;X;40;330;4;4;735641;6933952;70;23;B41;B
12-02-181-1-041T;747107;1;2017;19;19;F;1.064;0.03386817188995533;23.6;19.4;0.09008933722728117;0.01500;0;25;34;1;2;2;0;5;2;8;;X;X;2;2;8;7;9;0;X;45;333;8;4;756054;6943942;73;514;B43;B
12-02-181-1-041T;747107;3;2017;19;19;F;1.554;0.049465356312961076;29.2;12.3;0.19217290927585376;0.03120;;;49;1;2;2;0;5;2;8;;X;X;2;2;8;7;9;0;X;45;333;8;4;756054;6943942;73;514;B43;B
12-02-181-1-041T;747107;4;2017;19;19;F;0.695;0.022122537089773454;18.0;12.3;0.03843790819348137;0.02210;0;23;22;1;2;2;0;5;2;8;;X;X;2;2;8;7;9;0;X;45;333;8;4;756054;6943942;73;514;B43;B
12-02-181-3-044R;748223;1;2017;17C;17;F;0.418;0.01330535324248245;13.7;6.7;0.01390409413839416;0.01230;0;19;13;1;2;0;0;4;3;9;;X;X;2;H;9;3;9;0;X;81;330;8;4;753153;6935400;118;23;B41;B
12-03-195-1-159T;764808;1;2017;25C;25;F;0.594;0.018907607239317167;12.3;3.0;0.02807779675038599;0.03920;1;22;19;0;2;1;0;5;4;10;4;0;0;2;8;3;6;9;18;X;40;230;4;4;677180;6576785;345;32;G12;G
12-03-195-1-159T;764808;7;2017;2;2;F;1.386;0.04411775022507339;20.0;4.4;0.15286800452987928;0.02110;0;41;44;1;2;1;0;5;4;10;4;0;0;2;8;3;6;9;18;X;40;230;4;4;677180;6576785;345;32;G12;G
12-03-195-1-159T;764808;8;2017;25C;25;F;0.374;0.011904789743273773;9.0;4.3;0.011130978409960976;0.00790;;;12;0;1;1;0;5;4;10;4;0;0;2;8;3;6;9;18;X;40;230;4;4;677180;6576785;345;32;G12;G
12-03-208-4-151R;715828;1;2017;49EV;49;F;0.238;0.007575775291174219;6.2;1.5;0.00450758629824866;0.00440;;;8;1;2;0;0;4;8;9;;4;4;2;4;1;3;4;1;X;40;238;8;4;723716;6587203;222;639;G90;G
12-03-208-4-151R;715828;2;2017;17C;17;F;1.417;0.04510451087224314;15.0;3.3;0.15978272976492133;0.01210;;;45;1;2;0;0;4;8;9;;4;4;2;4;1;3;4;1;X;40;238;8;4;723716;6587203;222;639;G90;G
12-03-208-4-151R;715828;3;2017;17C;17;F;0.764;0.024318875304441608;13.3;5.7;0.04644905183148347;0.00860;0;34;24;1;2;0;0;4;8;9;;4;4;2;4;1;3;4;1;X;40;238;8;4;723716;6587203;222;639;G90;G
12-03-208-4-151R;715828;4;2017;18D;18;F;1.065;0.033900002878573705;13.2;7.3;0.0902587576642025;0.01200;;;34;1;2;0;0;4;8;9;;4;4;2;4;1;3;4;1;X;40;238;8;4;723716;6587203;222;639;G90;G
12-03-208-4-151R;715828;6;2017;21C;21;F;1.083;0.03447296067370453;11.8;2.8;0.09333554102405503;0.00440;1;45;34;1;2;0;0;4;8;9;;4;4;2;4;1;3;4;1;X;40;238;8;4;723716;6587203;222;639;G90;G
12-09-210-2-273R;748497;1;2017;17C;17;F;0.340;0.010822536130248884;9.8;4.7;0.009199155710711551;0.02560;;;11;1;2;0;0;4;9;7;;X;X;1;;4;;9;2;X;55;330;8;4;604909;6220605;289;114;F30;F
12-09-210-2-273R;748497;3;2017;23F;23;F;0.444;0.014132958946560307;10.5;3.3;0.01568758443068194;0.00150;0;180;14;0;1;0;0;4;9;7;;X;X;1;;4;;9;2;X;55;330;8;4;604909;6220605;289;114;F30;F
12-09-210-2-273R;748497;4;2017;23F;23;F;0.312;0.009931268448934268;10.5;8.0;0.00774638939016873;0.00100;;;10;0;1;0;0;4;9;7;;X;X;1;;4;;9;2;X;55;330;8;4;604909;6220605;289;114;F30;F
12-09-210-2-273R;748497;9;2017;23F;23;F;0.452;0.014387606855507338;10.5;2.4;0.016257995746723295;0.00130;0;170;14;1;1;0;0;4;9;7;;X;X;1;;4;;9;2;X;55;330;8;4;604909;6220605;289;114;F30;F
12-12-065-1-094T;743013;1;2017;10;10;F;1.384;0.04405408824783663;12.8;3.3;0.15242714533751475;0.00920;1;;44;0;2;2;0;5;2;9;1;3;3;1;;5;;4;35;0;31;810;4;4;656649;6393391;561;127;G50;G
12-12-065-1-094T;743013;2;2017;20P;20;F;2.382;0.07582141488897894;17.5;2.0;0.45151652566386963;0.00520;0;180;76;1;2;2;0;5;2;9;1;3;3;1;;5;;4;35;0;31;810;4;4;656649;6393391;561;127;G50;G
12-14-108-1-076R;713611;1;2017;23PC;23;F;2.580;0.082123950635418;11.1;2.8;0.529699481598446;0.01840;;;82;1;2;2;0;2;6;8;1;X;X;1;;4;;9;11;X;99;234;4;4;501733;6914040;58;141;B31;B
12-15-218-1-190T;737205;2;2017;22M;22;F;0.407;0.012955212367680281;9.8;4.5;0.013181928584114684;0.03750;0;9;13;1;2;0;0;5;8;7;2;2;2;1;;8;;7;11;0;50;230;8;4;713658;6460514;555;630;G90;G
12-17-111-2-206R;724926;7;2017;5;5;F;0.366;0.011650141834326739;11.4;3.1;0.010659879778408966;0.00540;;;12;1;2;2;0;6;2;10;;5;5;2;2;9;3;7;0;X;20;506;0;4;378189;6522420;18;172;F14;F
12-17-111-2-206R;724926;8;2017;51;51;R;1.006;0.032021974550089344;13.3;6.9;0.08053526599347469;0.03310;0;17;32;1;2;2;0;6;2;10;;5;5;2;2;9;3;7;0;X;20;506;0;4;378189;6522420;18;172;F14;F
12-17-111-2-206R;724926;9;2017;51;51;R;0.351;0.011172677005051052;12.0;7.3;0.0098040240719323;0.00970;;;11;1;2;2;0;6;2;10;;5;5;2;2;9;3;7;0;X;20;506;0;4;378189;6522420;18;172;F14;F
12-17-111-2-206R;724926;10;2017;51;51;R;0.584;0.018589297353133374;13.0;9.8;0.02714037413557473;0.00970;;;18;1;2;2;0;6;2;10;;5;5;2;2;9;3;7;0;X;20;506;0;4;378189;6522420;18;172;F14;F
12-17-111-2-206R;724926;11;2017;51;51;R;0.990;0.03151267873219528;11.3;8.3;0.07799387986218331;0.01200;0;;32;1;2;2;0;6;2;10;;5;5;2;2;9;3;7;0;X;20;506;0;4;378189;6522420;18;172;F14;F
12-17-111-2-206R;724926;17;2017;51;51;R;1.267;0.04032986257948628;12.9;3.9;0.12774483972052278;0.03040;;;40;1;2;2;0;6;2;10;;5;5;2;2;9;3;7;0;X;20;506;0;4;378189;6522420;18;172;F14;F
12-17-132-1-216T;746289;1;2017;51;51;R;0.412;0.013114367310772177;10.1;5.5;0.013507798330095341;0.02220;1;13;13;1;2;1;0;4;6;7;;0;0;2;6;9;4;9;0;X;99;230;0;4;430688;6470857;45;241;F23;F
12-17-132-1-216T;746289;2;2017;12V;12;F;0.320;0.010185916357881302;8.1;2.1;0.008148733086305041;0.02820;0;12;10;0;2;1;0;4;6;7;;0;0;2;6;9;4;9;0;X;99;230;0;4;430688;6470857;45;241;F23;F
12-17-132-1-216T;746289;3;2017;12V;12;F;0.503;0.016010987275044672;10.1;2.3;0.02013381649836867;0.02130;;;16;0;2;1;0;4;6;7;;0;0;2;6;9;4;9;0;X;99;230;0;4;430688;6470857;45;241;F23;F
12-18-171-1-129R;778354;1;2017;52;52;R;0.285;0.009071831756238035;4.7;1.7;0.0064636801263196;0.03800;0;5;9;1;2;2;0;4;9;9;;0;0;2;3;8;8;9;0;X;20;230;0;4;636270;6691274;136;416;B70;B
12-18-171-1-129R;778354;2;2017;52;52;R;0.279;0.00888084582452776;4.5;1.5;0.006194389962608112;0.03400;0;6;9;1;2;2;0;4;9;9;;0;0;2;3;8;8;9;0;X;20;230;0;4;636270;6691274;136;416;B70;B
12-18-172-1-128R;743243;1;2017;2;2;F;0.620;0.019735212943395024;9.4;3.0;0.030589580062262287;0.01560;;;20;0;2;2;0;4;7;7;;X;X;1;;2;;9;0;X;31;233;0;4;640415;6693525;142;416;B70;B
12-18-172-1-128R;743243;3;2017;2;2;F;0.819;0.026069579678452456;12.4;1.7;0.05337746439163141;0.02380;0;19;26;0;2;2;0;4;7;7;;X;X;1;;2;;9;0;X;31;233;0;4;640415;6693525;142;416;B70;B
12-18-172-1-128R;743243;4;2017;2;2;F;0.795;0.02530563595161136;13.6;4.1;0.05029495145382757;0.02610;0;20;25;0;2;2;0;4;7;7;;X;X;1;;2;;9;0;X;31;233;0;4;640415;6693525;142;416;B70;B
12-18-172-1-130R;710045;4;2017;52;52;R;0.394;0.012541409515641352;8.1;4.1;0.012353288372906734;0.02550;0;11;12;1;2;2;3;4;5;4;;X;X;1;;1;;9;0;X;22;233;0;4;637612;6687495;160;416;B70;B
12-18-172-1-130R;710045;5;2017;52;52;R;0.420;0.01336901521971921;9.4;5.1;0.014037465980705169;0.02150;0;11;13;1;2;2;3;4;5;4;;X;X;1;;1;;9;0;X;22;233;0;4;637612;6687495;160;416;B70;B
12-18-172-1-130R;710045;7;2017;52;52;R;0.905;0.028807044699633057;11.2;3.0;0.06517593863291979;0.01130;;;29;1;2;2;3;4;5;4;;X;X;1;;1;;9;0;X;22;233;0;4;637612;6687495;160;416;B70;B
12-18-172-3-122R;745783;4;2017;12V;12;F;0.476;0.015151550582348438;13.0;2.0;0.01803034519299464;0.00620;;;15;0;0;2;0;4;1;9;;0;1;1;;1;;9;0;X;28;236;0;4;646458;6710660;151;416;B70;B
12-18-172-3-122R;745783;5;2017;12V;12;F;0.381;0.012127606663602426;13.1;5.3;0.011551545347081311;0.00480;;;12;0;0;2;0;4;1;9;;0;1;1;;1;;9;0;X;28;236;0;4;646458;6710660;151;416;B70;B
12-18-172-3-122R;745783;8;2017;12V;12;F;0.795;0.02530563595161136;17.6;4.4;0.05029495145382757;0.00860;;;25;1;2;2;0;4;1;9;;0;1;1;;1;;9;0;X;28;236;0;4;646458;6710660;151;416;B70;B
12-18-172-3-122R;745783;12;2017;52;52;R;0.472;0.01502422662787492;17.5;11.2;0.017728587420892408;0.00230;;;15;1;2;2;0;4;1;9;;0;1;1;;1;;9;0;X;28;236;0;4;646458;6710660;151;416;B70;B
12-18-172-3-122R;745783;13;2017;52;52;R;1.053;0.03351803101515316;19.1;7.7;0.08823621664739069;0.02180;0;24;33;1;2;2;0;4;1;9;;0;1;1;;1;;9;0;X;28;236;0;4;646458;6710660;151;416;B70;B
12-18-172-3-122R;745783;16;2017;52;52;R;0.855;0.027215495268714106;16.2;4.6;0.0581731211368764;0.00720;0;24;27;1;2;2;0;4;1;9;;0;1;1;;1;;9;0;X;28;236;0;4;646458;6710660;151;416;B70;B
12-18-172-3-122R;745783;17;2017;24;24;F;0.333;0.010599719209920231;13.4;5.8;0.00882426624225859;0.01030;;;11;1;1;2;0;4;1;9;;0;1;1;;1;;9;0;X;28;236;0;4;646458;6710660;151;416;B70;B
12-18-176-2-129R;720482;1;2017;2;2;F;3.280;0.10440564266828335;27.0;1.8;0.8561262698799235;0.01980;0;58;104;1;2;1;0;6;10;6;;1;1;1;;2;;5;0;X;30;236;0;4;651259;6685908;241;181;B53;B
12-18-176-3-129R;744647;3;2017;25M;25;F;0.256;0.008148733086305041;7.0;3.5;0.005215189175235226;0.01980;;;8;0;2;1;0;5;2;8;;X;X;2;6;7;4;5;0;X;18;230;0;4;650809;6685912;240;416;B70;B
12-18-186-2-120R;703471;3;2017;49SN;49;F;0.284;0.009040000767619656;7.2;1.8;0.006418400545009956;0.00950;;;9;0;0;2;0;4;10;8;;0;0;2;2;3;5;9;0;X;40;236;0;4;689913;6702642;171;181;B53;B
12-18-186-2-120R;703471;4;2017;2;2;F;0.905;0.028807044699633057;12.7;2.6;0.06517593863291979;0.02120;0;18;29;1;2;2;0;4;10;8;;0;0;2;2;3;5;9;0;X;40;236;0;4;689913;6702642;171;181;B53;B
12-19-174-3-202R;725718;1;2017;14;14;F;0.697;0.02218619906701021;18.1;6.0;0.03865945187426529;0.01800;;;22;1;2;2;0;6;10;10;1;4;4;1;;6;;4;22;X;40;230;4;4;570081;6469861;267;196;G11;G
12-19-174-3-202R;725718;2;2017;64;64;R;1.524;0.0485104266544097;19.6;17.0;0.18482472555330098;0.02300;;;48;1;2;2;0;6;10;10;1;4;4;1;;6;;4;22;X;40;230;4;4;570081;6469861;267;196;G11;G
12-19-174-3-202R;725718;5;2017;4;4;F;0.412;0.013114367310772177;12.7;7.3;0.013507798330095341;0.02030;0;14;13;1;2;2;0;6;10;10;1;4;4;1;;6;;4;22;X;40;230;4;4;570081;6469861;267;196;G11;G
12-19-174-3-202R;725718;6;2017;22M;22;F;0.553;0.017602536705963626;11.9;5.0;0.02433550699599471;0.02250;1;15;18;1;2;2;0;6;10;10;1;4;4;1;;6;;4;22;X;40;230;4;4;570081;6469861;267;196;G11;G
12-19-174-3-202R;725718;7;2017;22M;22;F;0.373;0.011872958754655393;11.2;3.9;0.011071534038716154;0.01300;;;12;1;0;2;0;6;10;10;1;4;4;1;;6;;4;22;X;40;230;4;4;570081;6469861;267;196;G11;G
12-19-174-3-202R;725718;9;2017;14;14;F;0.863;0.027470143177661138;15.6;8.2;0.0592668339058039;0.02890;;;27;1;2;2;0;6;10;10;1;4;4;1;;6;;4;22;X;40;230;4;4;570081;6469861;267;196;G11;G
12-19-174-3-202R;725718;11;2017;49SN;49;F;0.251;0.007989578143213147;5.6;2.2;0.0050134602848662495;0.00090;;;8;0;0;2;0;6;10;10;1;4;4;1;;6;;4;22;X;40;230;4;4;570081;6469861;267;196;G11;G
12-19-184-1-194R;725640;2;2017;13G;13;F;0.421;0.013400846208337588;12.2;6.8;0.014104390634275312;0.01170;0;23;13;1;2;0;0;4;4;6;;X;X;2;H;4;7;9;3;X;80;230;8;4;608621;6483200;549;193;G13;G
12-19-185-1-191T;771588;1;2017;2;2;F;0.776;0.024700847167862156;21.1;1.8;0.04791964350565259;0.00220;;;25;1;2;1;0;5;2;10;3;4;4;1;;4;;5;31;0;22;230;5;4;614662;6491685;724;194;G21;G
12-19-185-1-191T;771588;2;2017;9;9;F;2.019;0.06426676602050733;22.0;3.0;0.32438650148851084;0.01100;;;64;0;2;1;0;5;2;10;3;4;4;1;;4;;5;31;0;22;230;5;4;614662;6491685;724;194;G21;G
12-19-185-1-191T;771588;3;2017;9;9;F;0.255;0.008116902097686661;11.1;2.6;0.005174525087275247;0.00100;;;8;1;0;1;0;5;2;10;3;4;4;1;;4;;5;31;0;22;230;5;4;614662;6491685;724;194;G21;G
12-19-185-1-191T;771588;5;2017;10;10;F;2.137;0.06802282267747607;23.8;4.7;0.36341193015441586;0.00300;;;68;0;2;1;0;5;2;10;3;4;4;1;;4;;5;31;0;22;230;5;4;614662;6491685;724;194;G21;G
12-19-185-1-191T;771588;7;2017;9;9;F;1.462;0.0465369053600702;23.0;6.6;0.17009238909105656;0.00830;0;66;46;1;2;1;0;5;2;10;3;4;4;1;;4;;5;31;0;22;230;5;4;614662;6491685;724;194;G21;G
12-19-185-1-191T;771588;10;2017;10;10;F;1.428;0.04545465174704531;22.0;5.1;0.16227310673695178;0.00440;;;46;0;2;1;0;5;2;10;3;4;4;1;;4;;5;31;0;22;230;5;4;614662;6491685;724;194;G21;G
12-19-185-1-191T;771588;11;2017;9;9;F;2.684;0.08543437345172943;27.5;3.6;0.5732646458611044;0.01690;0;;85;1;2;1;0;5;2;10;3;4;4;1;;4;;5;31;0;22;230;5;4;614662;6491685;724;194;G21;G
12-19-185-1-195R;767282;3;2017;9;9;F;1.395;0.044404229122638805;22.8;7.5;0.1548597490652028;0.00860;0;60;45;1;2;1;0;5;6;8;1;1;1;2;6;2;3;6;34;X;21;110;4;4;610228;6479812;565;193;G13;G
