"id_noeud";"xlt";"ylt";"geom"
831051;263744.6774834286;6737231.611036094;POINT (213199.99999987823 2300599.999998137)
831426;269723.60838590056;6735184.554664788;POINT (219199.99999988056 2298599.9999981318)
1068145;936862.9124641132;6226061.880900538;POINT (891199.9999999995 1794599.9999999728)
1078160;967852.2178141181;6228791.925530743;POINT (922200.0000000009 1797599.9999999714)
1094514;1158979.9640736033;6153214.281213435;POINT (1114200.0000000014 1723599.9999999697)
