"npp";"xl";"yl";"xlp";"ylp";"gapx";"gapy"
"24-31-210-1-260T";570679.0;1824897.0;571199.9999999979;1824599.9999999735;-520.9999999979045;297.0000000265427
"24-62-127-1-024T";557652.0;2615582.0;558199.9999999816;2615599.9999976084;-547.9999999816064;-17.99999760836363
"24-25-270-1-091T";919647.0;2272089.0;920200.0000001027;2271599.9999980708;-553.0000001026783;489.0000019292347
