"","npp","ser_86","esspre","sver","vh","hm"
"368","22-40-130-1-268T","F21","51","6",70.2353239364786,8.4
"369","22-40-130-1-274T","F21","51","6",294.971439189148,21.8
"370","22-40-132-1-250T","F21","51","2",34.7365851454229,7.5
"371","22-40-132-1-252T","F21","51","6",81.021143863867,12
"372","22-40-132-1-256T","F21","51","2",32.7519544014383,7.9
"373","22-40-132-1-262T","F21","51","6",222.555447551696,17.4
"374","22-40-132-1-266T","F21","51","2",73.6374918222431,9
"375","22-40-132-1-268T","F21","77","2",65.8942771229058,9.3
"376","22-40-132-1-270T","F21","51","2",10.8666688765728,6.5
"377","22-40-134-1-248T","F21","51","2",17.8736722320442,11.6
"378","22-40-134-1-264T","F21","02","4",73.0936831093271,19.1
"379","22-40-134-1-268T","F21","51","6",82.6079259210816,12
"380","22-40-134-1-270T","F21","51",NA,63.9024253177307,18.3
"381","22-40-136-1-246T","F21","51","6",109.767428673725,10.5
"382","22-40-136-1-248T","F21","51","2",55.657995508246,8.4
"383","22-40-136-1-252T","F21","51","2",21.9467186118689,6.9
"384","22-40-136-1-256T","F21","51","6",164.437345359329,16.1
"385","22-40-136-1-258T","F21","02","2",55.1054007916109,12.4
"386","22-40-136-1-260T","F21","51","6",135.680768725203,13.7
"387","22-40-136-1-266T","F21","51","5",402.903983234322,25.8
"388","22-40-136-1-268T","F21","51","2",45.81329466986,8.4
"389","22-40-138-1-252T","F21","51","5",115.461811871201,17.6
"390","22-40-138-1-256T","F21","51","6",91.6442666404234,10.4
"391","22-40-138-1-258T","F21","51","6",87.0793705239657,11.3
"392","22-40-138-1-260T","F21","51","6",79.3786228167123,9.5
"393","22-40-138-1-264T","F21","51","4",53.1906386212772,13.4
"394","22-40-140-1-250T","F21","14","5",189.861479958209,21.5
"395","22-40-140-1-252T","F21","51","2",3.33224318843577,4.9
"396","22-40-140-1-254T","F21","51","2",53.6703310130553,7.9
"397","22-40-140-1-256T","F21","51","2",46.8544809694382,7.9
"398","22-40-140-1-258T","F21","51","2",26.3241328401414,8.4
"399","22-40-140-1-260T","F21","51","4",1.22913263604875,5.1
"400","22-40-140-1-262T","F21","51","4",45.0270403900643,21.8
"401","22-40-140-1-268T","F21","51","4",15.3866447930404,13.4
"402","22-40-142-1-252T","F21","51","2",55.5988181145456,8
"403","22-40-142-1-254T","F21","51","6",167.119432186532,19.3
