"","npp","ser_86","esspre","sver","vh","hm"
"458","22-88-267-1-055T","D11","02","5",353.968441979025,24.5
"459","22-88-267-1-057T","D11","61","5",511.883605328265,30.3
"460","22-88-267-1-059T","D11","61","6",584.617608414032,35.8
"461","22-88-267-1-061T","D11","62","5",233.668734704636,28.2
"462","22-88-267-1-065T","D11","62","5",345.075811938376,24.6
"463","22-88-267-1-067T","D11","62","6",655.548156092886,36.9
"464","22-88-267-1-069T","D11","15","4",184.005929948841,23.1
"465","22-88-267-1-071T","D11","62","5",618.397427741239,34.9
"466","22-88-268-1-054T","D11","13","4",120.36866474179,18.1
"467","22-88-268-1-070T","D11","11","4",156.085461463103,26.5
"468","22-88-268-1-074T","D11","09","4",131.45483458903,23.2
"469","22-88-269-1-063T","D11","61","6",278.616973535164,34.4
"470","22-88-269-1-069T","D11","61","6",544.423660855654,31.2
"471","22-88-269-1-071T","D11","09","2",28.0072892697195,12.3
"472","22-88-269-1-073T","D11","31","4",157.368617530824,20.1
"473","22-88-270-1-060T","D11","61","4",202.282924029606,16.8
"474","22-88-270-1-062T","D11","62","5",434.696565787095,24.3
"475","22-88-270-1-064T","D11","61","6",701.491411237186,24.3
"476","22-88-270-1-066T","D11","61","5",403.672587274337,28.6
"477","22-88-270-1-068T","D11","09","5",261.984705510798,24.2
"478","22-88-270-1-070T","D11","62","6",421.659226665752,30.3
"479","22-88-270-1-074T","D11","09","5",279.286037321848,26.3
"480","22-88-271-1-057T","D11","62","6",453.31320332752,28.6
"481","22-88-271-1-059T","D11","62","6",373.66043749763,21
"482","22-88-271-1-063T","D11","62","6",403.400859754219,22.8
"483","22-88-271-1-073T","D11","09","5",145.679599189366,25.6
"484","22-90-270-1-076T","D11","61","4",361.815689292023,30.1
"485","22-90-274-1-076T","D11","03","5",171.032625568148,26.5
