"","npp","ser_86","esspre","sver","vh","hm"
"352","22-41-162-1-130T","B70","24","3",24.9664396182327,10.4
"353","22-41-163-1-127T","B70","03","5",285.474646508617,31
"354","22-41-163-1-129T","B70","02","5",134.522713397925,28
"355","22-41-164-1-126T","B70","02","6",59.6597032033656,12.8
"356","22-41-164-1-130T","B70","52","5",200.294700305654,18
"357","22-41-165-1-119T","B70","24","5",23.5026585906537,14.5
"358","22-41-165-1-121T","B70","52","5",279.067271872599,26.4
"359","22-41-165-1-123T","B70","02","6",182.269785774497,23.1
"360","22-41-165-1-125T","B70","02","6",126.553667400761,24.6
"361","22-41-165-1-131T","B70","02","4",55.1219168431419,18
"362","22-41-166-1-118T","B70","02","4",77.953491282073,24.5
"363","22-41-166-1-120T","B70","03","5",101.782195220071,26.1
"364","22-41-166-1-122T","B70","02","5",89.1371442502294,20.6
"365","22-41-166-1-126T","B70","12","6",212.645166889079,20
"366","22-41-167-1-123T","B70","12","6",108.888484884074,17
"367","22-41-167-1-125T","B70","52","6",163.519759662307,24.1
"368","22-41-167-1-127T","B70","10","4",282.03415846124,22
"369","22-41-167-1-129T","B70","24","5",131.401778390138,16.8
"370","22-41-167-1-131T","B70","02","5",194.869778827407,27
"371","22-41-168-1-130T","B70","02","5",115.31948771416,23.5
"372","22-41-169-1-119T","B70","02","5",52.7532599764172,27
"373","22-41-169-1-123T","B70","19","5",478.760770559335,30
"374","22-41-169-1-125T","B70","12","6",28.2392434048635,12.8
"375","22-41-169-1-127T","B70","02","6",151.142811376297,27.5
"376","22-41-169-1-129T","B70","52","6",97.5418951151373,20.1
"377","22-41-170-1-122T","B70","53","5",161.279366598396,25
"378","22-41-170-1-124T","B70","02","6",29.5819140521992,14.7
"379","22-41-170-1-126T","B70","52","6",609.530250525505,32.9
"380","22-41-170-1-128T","B70","52","4",86.9823402721682,13.8
"381","22-41-171-1-123T","B70","52","5",108.170714780895,19.8
"382","22-41-171-1-125T","B70","52","6",390.506913359188,28.7
"383","22-45-158-1-108T","B70","02","6",51.4680792433208,19.4
"384","22-45-158-1-116T","B70","02","5",150.710861721165,23.5
"385","22-45-158-1-118T","B70","02","4",47.1247244610274,18.6
"386","22-45-158-1-120T","B70","12","6",105.867117920492,22.8
"387","22-45-159-1-113T","B70","15","5",213.97134309013,31
"388","22-45-159-1-117T","B70","02","5",43.571473094769,13.9
"389","22-45-160-1-106T","B70","02","6",67.7670328971381,13
"390","22-45-160-1-114T","B70","10","5",249.922364511922,29.2
"391","22-45-160-1-118T","B70","14","5",103.42288888095,17
"392","22-45-161-1-107T","B70","03","5",303.221605151313,27.5
"393","22-45-161-1-117T","B70","14","6",23.1574980030509,12.1
"394","22-45-161-1-119T","B70","52","2",37.5144530878801,12.4
"395","22-45-162-1-110T","B70","02","4",53.0045197087553,15.2
"396","22-45-162-1-112T","B70","02","5",24.9223051717735,11.4
"397","22-45-163-1-105T","B70","52","5",361.443116337068,26.2
"398","22-45-163-1-117T","B70","02","6",67.5181261381371,24.8
"399","22-45-163-1-119T","B70","12","5",14.0399114559078,9.9
"400","22-45-164-1-106T","B70","03","5",247.613742430196,23.9
"401","22-45-164-1-110T","B70","14","5",96.9570724541079,18.2
"402","22-45-164-1-114T","B70","02","5",167.911316918119,25
"403","22-45-164-1-118T","B70","04","5",280.56747288292,27
"404","22-45-165-1-105T","B70","03","2",108.277268189135,38.9
"405","22-45-165-1-107T","B70","02","5",227.87899070568,29.8
"406","22-45-165-1-115T","B70","52","4",46.9154479411818,22.3
"407","22-45-166-1-104T","B70","03","5",295.958574455876,27.3
"408","22-45-166-1-106T","B70","53","6",139.421360232366,12.9
"409","22-45-166-1-108T","B70","03","5",221.700386323864,23.6
"410","22-45-166-1-110T","B70","53","5",392.180220250457,26.5
"411","22-45-166-1-116T","B70","12","6",247.972539585261,26.9
"412","22-45-167-1-105T","B70","03","2",5.69566047871798,6.5
"413","22-45-167-1-107T","B70","03","5",193.817428262707,28.9
"414","22-45-167-1-109T","B70","03","5",32.4881459644355,19.5
"415","22-45-167-1-115T","B70","25","6",103.718462204348,11.9
"416","22-45-167-1-117T","B70","02","6",67.3541039871727,11.6
"417","22-45-168-1-106T","B70","03","5",50.104440610516,12.4
"418","22-45-169-1-107T","B70","52","5",298.192337585333,27
"419","22-45-169-1-109T","B70","02","5",150.234693746156,22.2
"420","22-45-169-1-117T","B70","02","4",21.8379641854738,8.6
"421","22-45-170-1-106T","B70","03","5",166.826659979025,22.3
"422","22-45-170-1-116T","B70","02","6",22.8425777268241,8.9
"423","22-45-170-1-118T","B70","03","5",187.685416841687,23.8
"424","22-45-171-1-107T","B70","14","5",97.2654464789405,21.6
"425","22-45-171-1-109T","B70","03","6",68.7560432453489,13.8
"426","22-45-172-1-118T","B70","02","5",74.5686352365199,21
"427","22-45-173-1-111T","B70","03","6",201.984845457446,24.6
"428","22-45-173-1-115T","B70","25","4",58.6901937177192,10.5
"429","22-45-174-1-104T","B70","25","5",135.011532421802,18.8
"430","22-45-174-1-106T","B70","53","5",117.567182469951,20.8
"431","22-45-174-1-110T","B70","52","2",36.4338367525588,8.5
"432","22-45-174-1-112T","B70","51","4",102.136450581853,18.7
"433","22-45-175-1-115T","B70","02","6",162.482735880354,22.6
"434","22-45-176-1-110T","B70","03","5",171.545663703386,36.4
"435","22-45-177-1-109T","B70","03","6",158.467774445918,24.5
"436","22-45-177-1-111T","B70","52","6",113.77735164083,19.5
"437","22-45-177-1-115T","B70","02","5",394.980426913383,30.2
"438","22-45-178-1-108T","B70","53","5",279.934442947889,24.5
"439","22-45-180-1-106T","B70","02","5",292.342108576795,31.5
