npp,depbdv2,anrefbdv,codeTFVdis,codeTFVdiN,dist_bdfor
23-09-194-1-289T,09,2011,FF2G58-58,,1_DANS_BDFOR
23-31-182-1-293T,31,2013,FF1-00-00,,1_DANS_BDFOR
23-11-222-1-279T,11,2015,FF31,,1_DANS_BDFOR
23-66-228-1-277T,66,2015,FF1G06-06,,1_DANS_BDFOR
23-11-216-1-281T,11,2015,FF2G61-61,,1_DANS_BDFOR
23-09-210-1-283T,09,2011,FF1-09-09,,1_DANS_BDFOR
23-66-231-1-276T,66,2015,FF1G06-06,,1_DANS_BDFOR
23-09-198-1-287T,09,2011,FF1-09-09,,1_DANS_BDFOR
23-09-204-1-285T,09,2011,LA4,,1_DANS_BDFOR
23-31-183-1-292T,31,2013,FF1-09-09,,1_DANS_BDFOR
23-11-232-1-275T,11,2015,LA4,,1_DANS_BDFOR
23-11-226-1-277T,11,2015,FF1-09-09,,1_DANS_BDFOR
23-09-211-1-282T,09,2011,FF1-09-09,,1_DANS_BDFOR
23-11-220-1-279T,11,2015,FF2G61-61,,1_DANS_BDFOR
23-09-208-1-283T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-09-196-1-287T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-09-202-1-285T,09,2011,FF1-09-09,,1_DANS_BDFOR
23-09-214-1-281T,09,2011,FF2G61-61,,1_DANS_BDFOR
23-31-184-1-291T,31,2013,FF2G61-61,,1_DANS_BDFOR
23-09-190-1-289T,09,2011,LA4,,1_DANS_BDFOR
23-11-230-1-275T,11,2015,FF1-00-00,,1_DANS_BDFOR
23-65-166-1-297T,65,2006,FF2G58-58,,1_DANS_BDFOR
23-66-236-1-273T,66,2015,LA4,,1_DANS_BDFOR
23-11-224-1-277T,11,2015,FF1G01-01,,1_DANS_BDFOR
23-09-206-1-283T,09,2011,FF2G53-53,,1_DANS_BDFOR
23-11-218-1-279T,11,2015,FF2G61-61,,1_DANS_BDFOR
23-09-194-1-287T,09,2011,FF2G61-61,,1_DANS_BDFOR
23-09-209-1-282T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-09-212-1-281T,09,2011,FF2G61-61,,1_DANS_BDFOR
23-31-188-1-289T,31,2013,FF2G61-61,,1_DANS_BDFOR
23-09-200-1-285T,09,2011,FF1-09-09,,1_DANS_BDFOR
23-65-164-1-297T,65,2006,FF2G61-61,,1_DANS_BDFOR
23-11-234-1-273T,11,2015,LA4,,1_DANS_BDFOR
23-09-207-1-282T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-11-222-1-277T,11,2015,LA4,,4_HORS_BDFOR
23-09-213-1-280T,09,2011,FF1-09-09,,1_DANS_BDFOR
23-09-198-1-285T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-11-232-1-273T,11,2015,FF1G06-06,,1_DANS_BDFOR
23-11-220-1-277T,11,2015,FF1G01-01,,1_DANS_BDFOR
23-09-214-1-279T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-09-202-1-283T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-09-208-1-281T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-09-190-1-287T,09,2011,FF1-09-09,,1_DANS_BDFOR
23-31-184-1-289T,31,2013,FF1-09-09,,1_DANS_BDFOR
23-65-178-1-291T,65,2006,FF2G61-61,,1_DANS_BDFOR
23-11-236-1-271T,11,2015,LA4,,1_DANS_BDFOR
23-64-154-1-299T,64,2008,FF1-00-00,,2_BDFOR_15m
23-11-230-1-273T,11,2015,FF1-00-00,,1_DANS_BDFOR
23-11-218-1-277T,11,2015,FF1-00-00,,2_BDFOR_15m
23-09-212-1-279T,09,2011,FF1G01-01,,1_DANS_BDFOR
23-09-188-1-287T,09,2011,FF1-09-09,,1_DANS_BDFOR
23-09-197-1-284T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-09-200-1-283T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-09-194-1-285T,09,2011,FF1-09-09,,1_DANS_BDFOR
23-65-176-1-291T,65,2006,FF1-09-09,,1_DANS_BDFOR
23-31-185-1-288T,31,2013,FO1,,1_DANS_BDFOR
23-11-228-1-273T,11,2015,FF31,,1_DANS_BDFOR
23-31-182-1-289T,65,2006,FF2G61-61,,1_DANS_BDFOR
23-64-152-1-299T,64,2008,LA6,,1_DANS_BDFOR
23-11-234-1-271T,11,2015,FF1-00-00,,1_DANS_BDFOR
23-09-198-1-283T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-09-204-1-281T,09,2011,FF2-64-64,,1_DANS_BDFOR
23-31-186-1-287T,31,2013,FF2G61-61,,1_DANS_BDFOR
23-09-195-1-284T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-65-180-1-289T,65,2006,FF1-09-09,,1_DANS_BDFOR
23-11-226-1-273T,11,2015,FF1G06-06,,1_DANS_BDFOR
23-09-199-1-282T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-31-187-1-286T,31,2013,FF1-00-00,,1_DANS_BDFOR
23-09-193-1-284T,09,2011,FF1G01-01,,1_DANS_BDFOR
23-11-230-1-271T,11,2015,LA4,,1_DANS_BDFOR
23-65-181-1-288T,65,2006,FF1-00-00,,1_DANS_BDFOR
23-65-178-1-289T,65,2006,FF2G61-61,,1_DANS_BDFOR
23-11-224-1-273T,11,2015,FF1-00-00,,1_DANS_BDFOR
23-09-212-1-277T,09,2011,FF31,,2_BDFOR_15m
23-11-233-1-270T,11,2015,FF1-00-00,,1_DANS_BDFOR
23-65-166-1-293T,65,2006,FF1-09-09,,1_DANS_BDFOR
23-11-218-1-275T,11,2015,FF2-00-00,,1_DANS_BDFOR
23-09-200-1-281T,09,2011,FF1-09-09,,1_DANS_BDFOR
23-64-154-1-297T,64,2008,FF1-09-09,,1_DANS_BDFOR
23-09-194-1-283T,09,2011,FF1G01-01,,1_DANS_BDFOR
23-09-191-1-284T,09,2011,FF1-09-09,,1_DANS_BDFOR
23-09-203-1-280T,09,2011,FF2G53-53,,1_DANS_BDFOR
23-31-188-1-285T,31,2013,FF1-09-09,,1_DANS_BDFOR
23-31-185-1-286T,31,2013,FF1-00-00,,1_DANS_BDFOR
23-65-182-1-287T,65,2006,FF1-00-00,,1_DANS_BDFOR
23-65-176-1-289T,65,2006,FF31,,1_DANS_BDFOR
23-65-170-1-291T,65,2006,FF32,,1_DANS_BDFOR
23-11-228-1-271T,11,2015,LA4,,1_DANS_BDFOR
23-11-222-1-273T,11,2015,FF1-00-00,,1_DANS_BDFOR
23-11-234-1-269T,11,2015,FF1G06-06,,1_DANS_BDFOR
23-09-210-1-277T,09,2011,FO1,,1_DANS_BDFOR
23-11-216-1-275T,11,2015,LA4,,1_DANS_BDFOR
23-64-152-1-297T,64,2008,FF1-09-09,,1_DANS_BDFOR
23-09-192-1-283T,09,2011,FF1-09-09,,1_DANS_BDFOR
23-09-204-1-279T,09,2011,FF2-64-64,,1_DANS_BDFOR
23-31-186-1-285T,31,2013,FF1-00-00,,1_DANS_BDFOR
23-09-201-1-280T,09,2011,FF1-00-00,,1_DANS_BDFOR
23-65-174-1-289T,65,2006,LA6,,1_DANS_BDFOR
