"npp","incref","dep","u_pba_zone","u_pba_strate"
"20-64-127-1-287T",15,"64",1,"CHE_H2"
"20-64-130-1-284T",15,"64",1,"FEU_H1"
"20-64-131-1-287T",15,"64",1,"CHE_H2"
"20-64-131-1-295T",15,"64",1,"HET_H2"
"20-64-132-1-282T",15,"64",1,"FEU_H2"
"20-64-132-1-286T",15,"64",1,"CHE_H2"
"20-64-133-1-285T",15,"64",1,"CHE_H1"
"20-64-134-1-292T",15,"64",1,"CHE_H1"
"20-64-135-1-283T",15,"64",1,"CHE_H2"
"20-64-135-1-295T",15,"64",1,"FEU_H3"
"20-64-136-1-282T",15,"64",1,"CHE_H2"
"20-64-136-1-286T",15,"64",1,"FEU_H3"
"20-64-136-1-290T",15,"64",1,"CHE_H1"
"20-64-137-1-289T",15,"64",1,"CHE_H1"
"20-64-138-1-280T",15,"64",0,"RES_TT"
"20-64-138-1-288T",15,"64",1,"CHE_H2"
"20-64-138-1-292T",15,"64",1,"FEU_H3"
"20-64-138-1-296T",15,"64",1,"HET_H1"
"20-64-139-1-281T",15,"64",0,"CHE_H2"
"20-64-139-1-283T",15,"64",0,"FEU_H2"
"20-64-140-1-278T",15,"64",0,"CHE_H1"
"20-64-140-1-282T",15,"64",0,"CHE_H2"
"20-64-140-1-292T",15,"64",1,"HET_H2"
"20-64-140-1-296T",15,"64",1,"HET_H1"
"20-64-141-1-283T",15,"64",0,"FEU_H3"
"20-64-141-1-293T",15,"64",1,"HET_H1"
"20-64-141-1-295T",15,"64",1,"HET_H2"
"20-64-142-1-280T",15,"64",0,"CHE_H2"
"20-64-142-1-292T",15,"64",1,"FEU_H2"
"20-64-143-1-291T",15,"64",1,"FEU_H2"
"20-64-144-1-292T",15,"64",1,"FEU_H1"
"20-64-144-1-294T",15,"64",1,"HET_H2"
"20-64-144-1-296T",15,"64",1,"HET_H2"
"20-64-145-1-283T",15,"64",0,"FEU_H2"
"20-64-145-1-287T",15,"64",1,"FEU_H3"
"20-64-145-1-289T",15,"64",1,"RES_TT"
"20-64-146-1-284T",15,"64",0,"CHE_H2"
"20-64-146-1-288T",15,"64",1,"FEU_H2"
"20-64-147-1-281T",15,"64",0,"FEU_H2"
"20-64-147-1-289T",15,"64",0,"HET_H2"
"20-64-148-1-284T",15,"64",0,"CHE_H2"
"20-64-148-1-288T",15,"64",0,"FEU_H3"
"20-64-148-1-292T",15,"64",0,"FEU_H3"
"20-64-148-1-294T",15,"64",0,"HET_H2"
"20-64-149-1-289T",15,"64",0,"CHE_H2"
"20-64-149-1-291T",15,"64",0,"HET_H1"
"20-64-150-1-292T",15,"64",0,"FEU_H2"
"20-64-151-1-285T",15,"64",0,"FEU_H2"
"20-64-151-1-287T",15,"64",0,"FEU_H2"
"20-64-151-1-293T",15,"64",0,"FEU_H1"
"20-64-152-1-290T",15,"64",0,"FEU_H3"
"20-64-152-1-292T",15,"64",0,"FEU_H2"
"20-64-153-1-283T",15,"64",0,"CHE_H2"
"20-64-153-1-287T",15,"64",0,"FEU_H3"
"20-64-153-1-289T",15,"64",0,"FEU_H1"
"20-64-154-1-294T",15,"64",0,"HET_H1"
"20-64-155-1-285T",15,"64",0,"FEU_H3"
"20-64-155-1-289T",15,"64",0,"RES_TT"
"20-64-156-1-294T",15,"64",0,"HET_H1"
"20-64-157-1-285T",15,"64",0,"FEU_H1"
"20-64-157-1-287T",15,"64",0,"CHE_H1"
"20-64-158-1-290T",15,"64",0,"HET_H1"
"20-64-158-1-292T",15,"64",0,"HET_H1"
"20-64-158-1-294T",15,"64",0,"HET_H2"
"20-64-160-1-284T",15,"64",0,"FEU_H3"
"20-64-160-1-290T",15,"64",0,"FEU_H2"
"20-64-161-1-283T",15,"64",0,"FEU_H2"
